;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
201601;Enero de 2016;1;Andalucía;4;Almería;4073;Paterna del Río;62;3;8;21;4;6;20;23;0;2;36;1
201601;Enero de 2016;1;Andalucía;4;Almería;4074;Pechina;585;40;108;134;29;144;130;69;24;88;342;62
201601;Enero de 2016;1;Andalucía;4;Almería;4075;Pulpí;693;26;143;116;35;203;170;280;32;52;294;35
201601;Enero de 2016;1;Andalucía;4;Almería;4076;Purchena;244;14;39;58;9;57;67;31;57;17;111;28
201601;Enero de 2016;1;Andalucía;4;Almería;4077;Rágol;43;1;6;16;2;7;11;15;0;2;24;2
201601;Enero de 2016;1;Andalucía;4;Almería;4078;Rioja;228;18;46;61;8;37;58;30;12;31;129;26
201601;Enero de 2016;1;Andalucía;4;Almería;4079;Roquetas de Mar;11174;464;2446;2294;395;3152;2423;1774;393;1249;6913;845
201601;Enero de 2016;1;Andalucía;4;Almería;4080;Santa Cruz de Marchena;33;3;7;11;0;5;7;3;1;6;19;4
201601;Enero de 2016;1;Andalucía;4;Almería;4081;Santa Fe de Mondújar;64;4;9;19;4;9;19;8;2;4;45;5
201601;Enero de 2016;1;Andalucía;4;Almería;4082;Senés;43;1;7;13;2;5;15;6;0;7;27;3
201601;Enero de 2016;1;Andalucía;4;Almería;4083;Serón;233;12;23;69;17;51;61;40;16;17;135;25
201601;Enero de 2016;1;Andalucía;4;Almería;4084;Sierro;78;1;11;23;1;16;26;15;9;17;36;1
201601;Enero de 2016;1;Andalucía;4;Almería;4085;Somontín;61;2;3;20;2;14;20;26;2;4;26;3
