x,y,embalse_nombre,demarcación_hidrografica,cauce,google,openstreetmap,wikidata,image,imagen,uso,provincia,coordenadas
39.1511076260001,-6.41827824299997,BOQUERON,GUADIANA,REGATO DEL ROSAL,,,,,,Abastecimiento,Badajoz,"39.1511076260001,-6.41827824299997"
37.8754537890001,-1.31662193299996,JOSE BAUTISTA,SEGURA,RIO GUADALENTIN O SANGONERA,,,,,,Abastecimiento,Murcia,"37.8754537890001,-1.31662193299996"
37.8776016350001,-1.32124601899994,JOSE BAUTISTA,SEGURA,RIO GUADALENTIN O SANGONERA,,,,,,Abastecimiento,Murcia,"37.8776016350001,-1.32124601899994"
42.4527079760001,-7.71396403899996,SAN PEDRO,MIÑO-SIL,RÍO SIL,https://www.google.com/search?kgmid=/g/11p4cqtf9c,,https://www.wikidata.org/wiki/Q105729417,,,"Hidroeléctrico,Abastecimiento",Lugo,"42.4527079760001,-7.71396403899996"
39.974474851,-2.73818245399997,CAMPOS DEL PARAISO,GUADIANA,RIO DE VALDEJUDIOS,,,,,,Abastecimiento,Cuenca,"39.974474851,-2.73818245399997"
40.8732344370001,-5.49557555299998,VILLAGONZALO,DUERO,RÍO TORMES,https://www.google.com/search?kgmid=/g/122wtfys,,https://www.wikidata.org/wiki/Q5678462,Azud de Villagonzalo 02.jpg,https://commons.wikimedia.org/wiki/File:Azud_de_Villagonzalo_02.jpg,"Abastecimiento,Industrial,Hidroeléctrico,Ganadero,Defensa frente avenidas",Salamanca,"40.8732344370001,-5.49557555299998"
39.8898591060001,-0.524556912999969,"REGAJO, EL",JUCAR,RIU PALANCIA,,,,,,"Abastecimiento,Defensa frente avenidas","Castelló,Castellón","39.8898591060001,-0.524556912999969"
39.237347379,-5.47071172699998,CUBILAR,GUADIANA,RIO CUBILAR,,,,,,"Abastecimiento,Defensa frente avenidas",Cáceres,"39.237347379,-5.47071172699998"
37.2991506870001,-4.67681989599993,MALPASILLO JAUJA,GUADALQUIVIR,RÍO  GENIL,,,,,,"Hidroeléctrico,Ganadero,Defensa frente avenidas",Córdoba,"37.2991506870001,-4.67681989599993"
39.996548874,-4.84137628499997,"PORTIÑA, LA",TAJO,ARROYO DE LA PORTIÑA,,,https://www.wikidata.org/wiki/Q52673428,La Portiña.jpg,https://commons.wikimedia.org/wiki/File:La_Portiña.jpg,Abastecimiento,Toledo,"39.996548874,-4.84137628499997"
42.608002556,-8.61626161099997,CALDAS DE REIS,GALICIA-COSTA,RÍO UMIA,,,,,,"Abastecimiento,Ganadero,Defensa frente avenidas",Pontevedra,"42.608002556,-8.61626161099997"
39.787914266,-0.37682482699995,ALGAR,JUCAR,RIU PALANCIA,,,,,,"Abastecimiento,Defensa frente avenidas","València,Valencia","39.787914266,-0.37682482699995"
40.6897420190001,-4.47398559699997,SERONES,DUERO,RÍO VOLTOYA,,,,,,Abastecimiento,Ávila,"40.6897420190001,-4.47398559699997"
38.0435042350001,-2.95222543699992,AGUASCEBAS,GUADALQUIVIR,ARROYO DE LAS AGUASCEBAS CHICO,,,,,,Abastecimiento,Jaén,"38.0435042350001,-2.95222543699992"
42.5003709690001,0.991459934000034,SALLENTE,EBRO,BARRANC DE LA LORA,,,,,,Abastecimiento,Lleida,"42.5003709690001,0.991459934000034"
40.01298709,-4.70624804799996,CAZALEGAS,TAJO,RÍO ALBERCHE,https://www.google.com/search?kgmid=/g/11dfr4j268,,https://www.wikidata.org/wiki/Q30278314,Vista aerea Embalse Cazalegas 1.jpg,https://commons.wikimedia.org/wiki/File:Vista_aerea_Embalse_Cazalegas_1.jpg,"Abastecimiento,Defensa frente avenidas",Toledo,"40.01298709,-4.70624804799996"
42.5422861970001,1.04058219400002,LAGO NEGRO,EBRO,,,,,,,"Abastecimiento,Defensa frente avenidas",Lleida,"42.5422861970001,1.04058219400002"
41.294686266,-1.08744698599997,"TORCAS, LAS",EBRO,RÍO HUERVA,,,https://www.wikidata.org/wiki/Q23991169,Pantano de las Torcas - panoramio.jpg,https://commons.wikimedia.org/wiki/File:Pantano_de_las_Torcas_-_panoramio.jpg,"Abastecimiento,Defensa frente avenidas",Zaragoza,"41.294686266,-1.08744698599997"
40.244500658,-2.83518801499997,"BUJEDA, LA",TAJO,SIN NOMBRE,,,,,,"Abastecimiento,Defensa frente avenidas",Guadalajara,"40.244500658,-2.83518801499997"
39.6252768730001,-4.38550029999993,"TORCON, EL",TAJO,ARROYO DEL TORCÓN,,,,,,Abastecimiento,Toledo,"39.6252768730001,-4.38550029999993"
38.8679274180001,-3.16849076499994,PUERTO DE VALLEHERMOSO,GUADIANA,RIO AZUER,,,,,,Abastecimiento,Ciudad Real,"38.8679274180001,-3.16849076499994"
38.345277652,-6.69588046499996,BROVALES,GUADIANA,ARROYO DE BROVALES,,,,,,Abastecimiento,Badajoz,"38.345277652,-6.69588046499996"
40.2743056580001,-2.95882007899996,ALMOGUERA,TAJO,RÍO TAJO,https://www.google.com/search?kgmid=/g/12283wdk,,https://www.wikidata.org/wiki/Q5672943,,,"Abastecimiento,Ganadero,Defensa frente avenidas",Guadalajara,"40.2743056580001,-2.95882007899996"
42.782028102,-0.223491101999969,BACHIMAÑA ALTO,EBRO,RÍO CALDARÉS,,,https://www.wikidata.org/wiki/Q95674644,,,"Abastecimiento,Defensa frente avenidas",Huesca,"42.782028102,-0.223491101999969"
40.6649699230001,-4.11756322999997,"JAROSA, LA",TAJO,ARROYO DE LA JAROSA,,,https://www.wikidata.org/wiki/Q1329216,Embalse de La Jarosa.JPG,https://commons.wikimedia.org/wiki/File:Embalse_de_La_Jarosa.JPG,"Abastecimiento,Defensa frente avenidas",Madrid,"40.6649699230001,-4.11756322999997"
40.6707061490001,-4.11778914799993,"JAROSA, LA",TAJO,ARROYO DE FUENTE CORNEJA,,,https://www.wikidata.org/wiki/Q1329216,Embalse de La Jarosa.JPG,https://commons.wikimedia.org/wiki/File:Embalse_de_La_Jarosa.JPG,"Abastecimiento,Defensa frente avenidas",Madrid,"40.6707061490001,-4.11778914799993"
42.198660902,-1.39084274799995,MALVECINO,EBRO,BARRANCO DE ONZANOVA,,,,,,"Abastecimiento,Defensa frente avenidas",Zaragoza,"42.198660902,-1.39084274799995"
