Gestor de Red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc ;Nudo 0*;Comentarios;Comunidad Autónoma;Nombre Subestación
R1-299;Cádiz;Jerez de la Frontera;217652,8778;4066024,753;532175367;15;0;0;3;0;;;CARTUJA 220;0;0;;01 - Andalucía;AREASUR
R1-299;Cádiz;Rota;198307,955;4060313,068;59010492;66;0;0;0;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;ARVINA
R1-299;Cádiz;Rota;198307,955;4060313,068;59010492;15;0;0;0,8;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;ARVINA
R1-299;Cádiz;Tarifa;245793,2263;4001220,767;58012052;66;0;0;30;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;ATLANTER
R1-299;Cádiz;Tarifa;245793,2263;4001220,767;58012052;20;0;0;5;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;ATLANTER
R1-299;Cádiz;San Fernando;212532,2039;4040591,977;54033016;66;0;0;0;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;BAHIASUR
R1-299;Cádiz;San Fernando;212532,2039;4040591,977;54033016;20;0;0;0,2;5;;;PUERTO REAL 220;0;0;;01 - Andalucía;BAHIASUR
R1-299;Cádiz;Jerez de la Frontera;239666,0055;4060323,72;59017019;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;BARCAFLR
R1-299;Cádiz;Jerez de la Frontera;239666,0055;4060323,72;59017019;15;0;0;5,7;0;;;CARTUJA 220;0;0;;01 - Andalucía;BARCAFLR
R1-299;Cádiz;Barrios, Los;282360,7492;4007123,899;515003895;20;0;0;50,2;0;;;LOS BARRIOS 220;0;0;;01 - Andalucía;BARRIOS
R1-299;Cádiz;Conil de la Frontera;218161,7781;4025998,826;531226577;66;0;0;0;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;BARROSA
R1-299;Cádiz;Conil de la Frontera;218161,7781;4025998,826;531226577;20;0;0;4;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;BARROSA
R1-299;Cádiz;Arcos de la Frontera;253456,9064;4075238,379;59018971;66;0;0;4,6;0;;;CARTUJA 220;0;0;;01 - Andalucía;BORNOS
R1-299;Cádiz;Arcos de la Frontera;253456,9064;4075238,379;59018971;20;0;0;5;0;;;CARTUJA 220;0;0;;01 - Andalucía;BORNOS
R1-299;Cádiz;Arcos de la Frontera;253456,9064;4075238,379;59018971;15;0;0;9;0;;;CARTUJA 220;0;0;;01 - Andalucía;BORNOS
R1-299;Cádiz;Bosque, El;275191,3525;4071234,604;531099300;66;0;0;0;0;;;NUEVA CASARES 220;0;0;;01 - Andalucía;BOSQUE
R1-299;Cádiz;Bosque, El;275191,3525;4071234,604;531099300;20;0;0;5,1;0;;;NUEVA CASARES 220;0;0;;01 - Andalucía;BOSQUE
R1-299;Cádiz;Cádiz;207558,4024;4044886,178;532744839;132;0;0;0;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;CADIZ
R1-299;Cádiz;Barrios, Los;279539,3137;4010543,813;533105218;66;31,9;0;112,9;0;;;CAÑUELO 220;0;0;;01 - Andalucía;CANUELO
R1-299;Cádiz;Jerez de la Frontera;220971,2989;4057072,113;59018475;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;CARTUJA
R1-299;Cádiz;Jerez de la Frontera;220971,2989;4057072,113;59018475;15;0;0;29,8;0;;;CARTUJA 220;0;0;;01 - Andalucía;CARTUJA
R1-299;Cádiz;Chiclana de la Frontera;218886,2593;4033918,242;59010739;66;0;0;0;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;CHICLANA
