;;;;GASTOS DE PRESTACIONES POR DESEMPLEO (miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201604;Abril de 2016;1;Andalucía;29;Málaga;57695,92;28821,65;19593,34;4863,71;3767,7
201604;Abril de 2016;1;Andalucía;41;Sevilla;84601,23;36144,75;28873,84;6456,99;12118,92
201604;Abril de 2016;2;Aragón;22;Huesca;5787,93;4300,12;1228,11;238,22;0
201604;Abril de 2016;2;Aragón;44;Teruel;3409,16;2340,88;876,15;172,05;0
201604;Abril de 2016;2;Aragón;50;Zaragoza;27204,06;19788,62;5942,05;1374,17;0
201604;Abril de 2016;3;Asturias, Principado de;33;Asturias;31555,14;20999,91;8551,54;1924,74;0
201604;Abril de 2016;4;Balears, Illes;7;Balears, Illes;36142,82;22890,86;11990,51;1205,12;0
201604;Abril de 2016;5;Canarias;35;Palmas, Las;42374,34;24805,32;12727,31;4337,98;0
201604;Abril de 2016;5;Canarias;38;Santa Cruz de Tenerife;38650,87;20897,58;13267,52;4021,79;0
201604;Abril de 2016;6;Cantabria;39;Cantabria;17686,96;11905,99;4807,85;924,46;0
201604;Abril de 2016;7;Castilla y León;5;Ávila;4645,1;2661,69;1584,6;361,07;0
201604;Abril de 2016;7;Castilla y León;9;Burgos;11432;8028,88;2837,46;514,26;0
201604;Abril de 2016;7;Castilla y León;24;León;13865,1;9090,31;3934,45;794,5;0
201604;Abril de 2016;7;Castilla y León;34;Palencia;4486,33;3080,55;1164,26;224,11;0
201604;Abril de 2016;7;Castilla y León;37;Salamanca;9176,53;5489,55;2939,6;682,99;0
201604;Abril de 2016;7;Castilla y León;40;Segovia;3646,29;2490,48;962,11;186,29;0
201604;Abril de 2016;7;Castilla y León;42;Soria;2233,23;1578,2;545,29;105,05;0
201604;Abril de 2016;7;Castilla y León;47;Valladolid;13823,01;9617,42;3323,83;822,63;0
201604;Abril de 2016;7;Castilla y León;49;Zamora;4912,38;2892,35;1631,57;361,34;0
201604;Abril de 2016;8;Castilla - La Mancha;2;Albacete;12786,12;7335,91;3978,97;1302,39;0
201604;Abril de 2016;8;Castilla - La Mancha;13;Ciudad Real;16816,33;8741,56;5899,82;1808,78;0
