;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201102;Febrero de 2011;13;Madrid, Comunidad de;28;Madrid;316152;257450;55022;3680;0
201102;Febrero de 2011;14;Murcia, Región de;30;Murcia;79942;56874;20462;2606;0
201102;Febrero de 2011;15;Navarra, Comunidad Foral de;31;Navarra;33418;27012;6082;324;0
201102;Febrero de 2011;16;País Vasco;1;Araba/Álava;15745;13145;2521;79;0
201102;Febrero de 2011;16;País Vasco;20;Gipuzkoa;32743;27298;5152;293;0
201102;Febrero de 2011;16;País Vasco;48;Bizkaia;51698;42959;8306;433;0
201102;Febrero de 2011;17;Rioja, La;26;Rioja, La;15524;12318;2976;230;0
201102;Febrero de 2011;18;Ceuta;51;Ceuta;3300;1487;1672;141;0
201102;Febrero de 2011;19;Melilla;52;Melilla;2955;1520;1198;237;0
201103;Marzo de 2011;1;Andalucía;4;Almería;38512;22013;12921;1740;1838
201103;Marzo de 2011;1;Andalucía;11;Cádiz;77130;41679;24827;6061;4563
201103;Marzo de 2011;1;Andalucía;14;Córdoba;49923;24470;14339;1888;9226
201103;Marzo de 2011;1;Andalucía;18;Granada;54084;28610;16789;2094;6591
201103;Marzo de 2011;1;Andalucía;21;Huelva;34546;18848;10319;1262;4117
201103;Marzo de 2011;1;Andalucía;23;Jaén;39599;20863;10710;1474;6552
201103;Marzo de 2011;1;Andalucía;29;Málaga;97931;59083;29486;4521;4841
201103;Marzo de 2011;1;Andalucía;41;Sevilla;122439;65957;36489;5241;14752
201103;Marzo de 2011;2;Aragón;22;Huesca;9882;7955;1815;112;0
201103;Marzo de 2011;2;Aragón;44;Teruel;6338;4785;1476;77;0
201103;Marzo de 2011;2;Aragón;50;Zaragoza;48769;38310;9595;864;0
201103;Marzo de 2011;3;Asturias, Principado de;33;Asturias;52872;38555;13128;1189;0
201103;Marzo de 2011;4;Balears, Illes;7;Balears, Illes;72315;50649;20705;961;0
201103;Marzo de 2011;5;Canarias;35;Palmas, Las;67353;40878;21919;4556;0
201103;Marzo de 2011;5;Canarias;38;Santa Cruz de Tenerife;60724;37626;20155;2943;0
201103;Marzo de 2011;6;Cantabria;39;Cantabria;27661;21199;5812;650;0
201103;Marzo de 2011;7;Castilla y León;5;Ávila;7750;5314;2198;238;0
201103;Marzo de 2011;7;Castilla y León;9;Burgos;17996;14159;3504;333;0
201103;Marzo de 2011;7;Castilla y León;24;León;25339;19344;5445;550;0
201103;Marzo de 2011;7;Castilla y León;34;Palencia;7177;5404;1575;198;0
201103;Marzo de 2011;7;Castilla y León;37;Salamanca;14739;10358;3797;584;0
201103;Marzo de 2011;7;Castilla y León;40;Segovia;6159;4881;1197;81;0
201103;Marzo de 2011;7;Castilla y León;42;Soria;3565;2783;718;64;0
201103;Marzo de 2011;7;Castilla y León;47;Valladolid;24123;18909;4526;688;0
201103;Marzo de 2011;7;Castilla y León;49;Zamora;7674;5555;1872;247;0
