Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc ;Nudo 0*;Comentarios;Comunidad Autónoma;Nombre Subestación;Provincia;Municipio
R1-299;4;4075;616822,81;4138597,43;532737819;25;0;0;2,12;0;;;LITORAL 400;0;0;;01 - Andalucía;TERREROS;Almería;Pulpí
R1-299;4;4902;517485,07;4071482,52;532568060;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;TOMILLAR;Almería;Ejido, El
R1-299;4;4902;517485,07;4071482,52;532568060;20;0;0;0,06;0;;;BERJA 220;0;0;;01 - Andalucía;TOMILLAR;Almería;Ejido, El
R1-299;4;4013;549114,39;4080329,92;531971251;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;TORRECAR;Almería;Almería
R1-299;4;4013;549114,39;4080329,92;531971251;20;0;0;0,1;0;;;LITORAL 400;0;0;;01 - Andalucía;TORRECAR;Almería;Almería
R1-299;4;4013;559674,45;4079523,23;531541256;132;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;TOYO;Almería;Almería
R1-299;4;4013;559674,45;4079523,23;531541256;20;0;0;5,36;0;;;LITORAL 400;0;0;;01 - Andalucía;TOYO;Almería;Almería
R1-299;4;4094;567199,53;4097882,87;532538139;132;0;0;28,9;0;;;LITORAL 400;0;0;;01 - Andalucía;TURRILLA;Almería;Turrillas
R1-299;4;4100;598746,22;4123686,37;532691933;132;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;VERA;Almería;Vera
R1-299;4;4100;598746,22;4123686,37;532691933;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;VERA;Almería;Vera
R1-299;4;4100;598746,22;4123686,37;532691933;25;0;0;14,2;0;;;LITORAL 400;0;0;;01 - Andalucía;VERA;Almería;Vera
R1-299;4;4035;609517,66;4124211,58;531170481;66;0;0;22,3;0;;;LITORAL 400;0;0;;01 - Andalucía;VILLARIC;Almería;Cuevas del Almanzora
R1-299;4;4035;609517,66;4124211,58;531170481;25;0;0;0,17;0;;;LITORAL 400;0;0;;01 - Andalucía;VILLARIC;Almería;Cuevas del Almanzora
R1-299;11;11020;224460,2;4068472,99;531786912;66;0;0;0,1;44,04;;;MIRABAL 220;0;0;;01 - Andalucía;ABELLO;Cádiz;Jerez de la Frontera
R1-299;11;11020;223340,42;4065908,25;531081949;66;0;0;0;0;;;MIRABAL 220;0;0;;01 - Andalucía;ABIERTAS;Cádiz;Jerez de la Frontera
R1-299;11;11020;223340,42;4065908,25;531081949;15;0;0;10,96;0,99;;;MIRABAL 220;0;0;;01 - Andalucía;ABIERTAS;Cádiz;Jerez de la Frontera
R1-299;11;11020;224025,81;4069288,82;532723397;66;0;0;37,7;44,04;;;MIRABAL 220;0;0;;01 - Andalucía;AGROALIM;Cádiz;Jerez de la Frontera
R1-299;11;11020;224025,81;4069288,82;532723397;15;0;0;11,18;10;;;MIRABAL 220;0;0;;01 - Andalucía;AGROALIM;Cádiz;Jerez de la Frontera
R1-299;11;11033;289998,63;4013346,47;59009809;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;ALCAIDES;Cádiz;San Roque
R1-299;11;11033;289998,63;4013346,47;59009809;20;0;0;0,1;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;ALCAIDES;Cádiz;San Roque
R1-299;11;11033;285094,55;4006884,88;54032748;66;0;0;113,52;0;;;ALGECIRAS 220;0;0;;01 - Andalucía;ALGECIRA;Cádiz;San Roque
R1-299;11;11033;285094,55;4006884,88;54032748;15;0;0;0,23;0;;;ALGECIRAS 220;0;0;;01 - Andalucía;ALGECIRA;Cádiz;San Roque
R1-299;11;11005;284645,08;4083664,84;59018139;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;ALGODONA;Cádiz;Algodonales
R1-299;11;11005;284645,08;4083664,84;59018139;20;0;0;6,97;0;;;CARTUJA 220;0;0;;01 - Andalucía;ALGODONA;Cádiz;Algodonales
R1-299;11;11020;205782,07;4070351,52;531665566;66;0;0;24;0;;;CARTUJA 220;0;0;;01 - Andalucía;ALIJAR;Cádiz;Jerez de la Frontera
R1-299;11;11006;247867,49;4070740,81;59017078;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;ARCOS;Cádiz;Arcos de la Frontera
R1-299;11;11006;247867,49;4070740,81;59017078;15;0;0;20,03;0;;;CARTUJA 220;0;0;;01 - Andalucía;ARCOS;Cádiz;Arcos de la Frontera
R1-299;11;11020;217652,88;4066024,75;532175367;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;AREASUR;Cádiz;Jerez de la Frontera
R1-299;11;11020;217652,88;4066024,75;532175367;15;0;0;2,95;0;;;CARTUJA 220;0;0;;01 - Andalucía;AREASUR;Cádiz;Jerez de la Frontera
R1-299;11;11030;198307,96;4060313,07;59010492;66;41,47;0;0;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;ARVINA;Cádiz;Rota
R1-299;11;11030;198307,96;4060313,07;59010492;15;31,35;0;0,75;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;ARVINA;Cádiz;Rota
R1-299;11;11035;245793,23;4001220,77;58012052;66;3,3;0;30;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;ATLANTER;Cádiz;Tarifa
R1-299;11;11035;245793,23;4001220,77;58012052;20;3,3;0;4,95;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;ATLANTER;Cádiz;Tarifa
R1-299;11;11031;212532,2;4040591,98;54033016;66;0;0;0;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;BAHIASUR;Cádiz;San Fernando
R1-299;11;11031;212532,2;4040591,98;54033016;20;0;0;0,17;5;;;PUERTO REAL 220;0;0;;01 - Andalucía;BAHIASUR;Cádiz;San Fernando
R1-299;11;11020;239666,01;4060323,72;59017019;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;BARCAFLR;Cádiz;Jerez de la Frontera
R1-299;11;11020;239666,01;4060323,72;59017019;15;0;0;5,71;0;;;CARTUJA 220;0;0;;01 - Andalucía;BARCAFLR;Cádiz;Jerez de la Frontera
R1-299;11;11008;282360,75;4007123,9;515003895;20;0,52;0;50,21;0;;;LOS BARRIOS 220;0;0;;01 - Andalucía;BARRIOS;Cádiz;Barrios, Los
R1-299;11;11014;218161,78;4025998,83;531226577;66;13,72;0;0;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;BARROSA;Cádiz;Conil de la Frontera
R1-299;11;11014;218161,78;4025998,83;531226577;20;13,72;0;4;0;;;EL ZUMAJO 220;0;0;;01 - Andalucía;BARROSA;Cádiz;Conil de la Frontera
R1-299;11;11006;253456,91;4075238,38;59018971;66;0;0;4,64;0;;;CARTUJA 220;0;0;;01 - Andalucía;BORNOS;Cádiz;Arcos de la Frontera
R1-299;11;11006;253456,91;4075238,38;59018971;20;0;0;5;0;;;CARTUJA 220;0;0;;01 - Andalucía;BORNOS;Cádiz;Arcos de la Frontera
R1-299;11;11006;253456,91;4075238,38;59018971;15;0;0;9,01;0;;;CARTUJA 220;0;0;;01 - Andalucía;BORNOS;Cádiz;Arcos de la Frontera
R1-299;11;11011;275191,35;4071234,6;531099300;66;0;0;0;0;;;NUEVA CASARES 220;0;0;;01 - Andalucía;BOSQUE;Cádiz;Bosque, El
R1-299;11;11011;275191,35;4071234,6;531099300;20;0;0;5,05;0;;;NUEVA CASARES 220;0;0;;01 - Andalucía;BOSQUE;Cádiz;Bosque, El
R1-299;11;11012;207558,4;4044886,18;532744839;132;0;0;0;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;CADIZ;Cádiz;Cádiz
R1-299;11;11008;279539,31;4010543,81;533105218;66;0;0;143,92;0;;;CAÑUELO 220;0;0;;01 - Andalucía;CANUELO;Cádiz;Barrios, Los
R1-299;11;11020;220971,3;4057072,11;59018475;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;CARTUJA;Cádiz;Jerez de la Frontera
R1-299;11;11020;220971,3;4057072,11;59018475;15;0;0;29,8;0;;;CARTUJA 220;0;0;;01 - Andalucía;CARTUJA;Cádiz;Jerez de la Frontera
R1-299;11;11015;218886,26;4033918,24;59010739;66;0;0;0;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;CHICLANA;Cádiz;Chiclana de la Frontera
R1-299;11;11015;218886,26;4033918,24;59010739;20;0;0;12,4;0;;;PUERTO REAL 220;0;0;;01 - Andalucía;CHICLANA;Cádiz;Chiclana de la Frontera
R1-299;11;11016;196651,99;4070539,83;533335836;66;25,67;0;0;0;;;PUERTO DE SANTA MARIA 220;0;0;;01 - Andalucía;CHIPIONA;Cádiz;Chipiona
