Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2021S004842;26/03/2021;23:20;CALL. TORRELAGUNA / CALL. MARTINEZ VILLERGAS;-;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;
2021S004856;26/03/2021;23:20;CALL. ARTURO SORIA / CALL. ULISES;-;CIUDAD LINEAL;Colisión lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 30 A 34 AÑOS;Hombre;02
2021S004856;26/03/2021;23:20;CALL. ARTURO SORIA / CALL. ULISES;-;CIUDAD LINEAL;Colisión lateral;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;14
2021S004888;26/03/2021;23:20;AUTOV. M-30, +00000E ACCESO A M-11;-;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;02
2021S004882;26/03/2021;23:10;PASEO. LA HABANA / CALL. BALBINA VALVERDE;-;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;14
2021S004882;26/03/2021;23:10;PASEO. LA HABANA / CALL. BALBINA VALVERDE;-;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Pasajero;DE 21 A 24 AÑOS;Mujer;14
2021S004882;26/03/2021;23:10;PASEO. LA HABANA / CALL. BALBINA VALVERDE;-;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Mujer;14
2021S004882;26/03/2021;23:10;PASEO. LA HABANA / CALL. BALBINA VALVERDE;-;CHAMARTÍN;Colisión frontal;Despejado;Ciclomotor;Conductor;DE 21 A 24 AÑOS;Mujer;07
2021S004864;26/03/2021;23:10;CALL. JACINTO VERDAGUER;17;CARABANCHEL;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14
2021S004864;26/03/2021;23:10;CALL. JACINTO VERDAGUER;17;CARABANCHEL;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 30 A 34 AÑOS;Hombre;06
2021S005073;26/03/2021;23:05;PLAZA. REPUBLICA DOMINICANA / CALL. PRINCIPE DE VERGARA;-;CHAMARTÍN;Colisión lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;14
2021S005073;26/03/2021;23:05;PLAZA. REPUBLICA DOMINICANA / CALL. PRINCIPE DE VERGARA;-;CHAMARTÍN;Colisión lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 18 A 20 AÑOS;Hombre;06
