ID_ACCIDENTE,ANYO,MES,DIA_SEMANA,HORA,COD_PROVINCIA,COD_MUNICIPIO,ISLA,ZONA,ZONA_AGRUPADA,CARRETERA,KM,SENTIDO_1F,TITULARIDAD_VIA,TIPO_VIA,TIPO_ACCIDENTE,TOTAL_MU24H,TOTAL_HG24H,TOTAL_HL24H,TOTAL_VICTIMAS_24H,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,TOTAL_VICTIMAS_30DF,TOTAL_VEHICULOS,TOT_PEAT_MU24H,TOT_BICI_MU24H,TOT_CICLO_MU24H,TOT_MOTO_MU24H,TOT_TUR_MU24H,TOT_FURG_MU24H,TOT_CAM_MENOS3500_MU24H,TOT_CAM_MAS3500_MU24H,TOT_BUS_MU24H,TOT_OTRO_MU24H,TOT_SINESPECIF_MU24H,TOT_PEAT_MU30DF,TOT_BICI_MU30DF,TOT_CICLO_MU30DF,TOT_MOTO_MU30DF,TOT_TUR_MU30DF,TOT_FURG_MU30DF,TOT_CAM_MENOS3500_MU30DF,TOT_CAM_MAS3500_MU30DF,TOT_BUS_MU30DF,TOT_VMP_MU30DF,TOT_OTRO_MU30DF,TOT_SINESPECIF_MU30DF,NUDO,NUDO_INFO,CARRETERA_CRUCE,PRIORI_NORMA,PRIORI_AGENTE,PRIORI_SEMAFORO,PRIORI_VERT_STOP,PRIORI_VERT_CEDA,PRIORI_HORIZ_STOP,PRIORI_HORIZ_CEDA,PRIORI_MARCAS,PRIORI_PEA_NO_ELEV,PRIORI_PEA_ELEV,PRIORI_MARCA_CICLOS,PRIORI_CIRCUNSTANCIAL,PRIORI_OTRA,CONDICION_NIVEL_CIRCULA,CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,CONDICION_VIENTO,VISIB_RESTRINGIDA_POR,ACERA,TRAZADO_PLANTA
43,2024,2,7,10,1,00000,,1,1,A-132,23,1,3,6,19,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,,,1,998,1
44,2024,10,7,20,1,01059,,3,2,No inventariada,0,4,4,9,2,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,0,0,1,0,0,0,0,0,0,0,0,0,0,6,9,4,1,,,18,998,998
45,2024,2,3,19,1,00000,,3,2,No inventariada,0,4,4,9,1,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,1,,,1,998,998
46,2024,2,4,22,1,00000,,1,1,A-3012,35,1,3,6,14,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,3,6,4,,,1,998,1
47,2024,2,6,12,1,00000,,1,1,AP-1,81,1,2,2,12,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,3,1,3,,,1,998,2
48,2024,2,6,9,1,00000,,1,1,A-124,69,1,3,14,4,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,,,1,998,1
49,2024,2,1,18,1,00000,,1,1,N-622,20,2,5,3,15,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,4,6,4,,,17,998,1
50,2024,2,2,12,1,00000,,1,1,A-4001,4,2,3,6,2,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,1,4,,,1,998,1
51,2024,2,6,13,1,00000,,3,2,No inventariada,0,4,5,14,19,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,,,1,998,998
52,2024,2,4,17,1,00000,,1,1,A-1,366,1,3,3,4,0,0,3,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,3,1,3,,,1,998,1
53,2024,2,4,17,1,00000,,1,1,A-624,26,1,3,14,14,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,3,1,4,,,5,998,2
54,2024,2,4,13,1,00000,,1,1,A-2122,35,1,3,6,19,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,2,,,1,998,1
55,2024,2,5,20,1,01059,,1,1,A-1,355,2,3,3,4,0,0,3,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6,2,,,1,998,2
56,2024,2,2,17,1,00000,,1,1,A-3322,23,2,3,6,14,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,,,1,998,3
57,2024,3,5,18,1,00000,,1,1,A-624,49,2,3,6,2,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,2,2,,,1,998,1
58,2024,2,7,3,1,00000,,1,1,A-2126,54,2,3,6,16,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,6,1,,,1,998,3
59,2024,3,1,6,1,01051,,3,2,No inventariada,0,4,5,14,2,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,3,2,,,1,998,998
60,2024,3,6,20,1,01059,,1,1,N-104,358,3,5,6,5,0,3,2,5,0,3,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,2,3,,,5,998,1
61,2024,3,6,12,1,01051,,1,1,A-2128,25,2,3,14,2,0,0,3,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,1,998,1
62,2024,3,7,19,1,01059,,1,1,A-132,10,2,3,5,15,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,,,1,998,1
63,2024,2,6,21,1,01059,,3,2,No inventariada,0,4,4,9,7,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,6,1,4,1,,,18,999,998
64,2024,2,3,7,1,01059,,3,2,No inventariada,0,4,4,9,7,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,3,1,,,18,999,998
65,2024,1,2,17,1,01059,,3,2,No inventariada,0,4,4,9,2,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,6,1,1,1,,,18,998,998
66,2024,1,3,2,1,01059,,3,2,No inventariada,0,4,4,9,2,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,0,0,0,0,1,0,1,0,0,0,0,0,0,6,1,4,1,,,18,998,998
67,2024,1,3,5,1,01059,,3,2,No inventariada,0,4,4,9,10,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,6,3,4,3,,,18,998,998
68,2024,2,3,10,1,01036,,2,2,A-625,366,2,3,12,10,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,3,1,2,,,3,998,3
69,2024,3,6,10,1,00000,,1,1,A-3941,25,2,3,6,15,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,,,1,998,2
70,2024,1,3,12,1,01059,,3,2,No inventariada,0,4,4,9,2,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,6,9,1,7,,,18,998,998
71,2024,1,3,12,1,01059,,3,2,No inventariada,0,4,4,9,7,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,1,7,,,18,999,998
72,2024,1,3,17,1,01059,,3,2,No inventariada,0,4,4,9,2,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,6,1,1,1,,,18,998,998
73,2024,1,4,18,1,01059,,3,2,No inventariada,0,4,4,9,10,0,0,3,3,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,6,9,1,7,,,18,998,998
74,2024,1,6,11,1,01059,,3,2,No inventariada,0,4,4,9,2,0,0,3,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,6,9,1,7,,,18,998,998
75,2024,1,6,21,1,01059,,3,2,No inventariada,0,4,4,9,7,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,4,3,,,18,999,998
76,2024,1,6,22,1,01059,,3,2,No inventariada,0,4,4,9,1,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,6,4,4,4,,,5,998,998
