trip_minutes,unlock_date,unlock_station_name,lock_station_name
19.48,2022-04-01T00:31:34,40 - Conde de Romanones,45 - Puerta de Toledo
15.52,2022-04-01T00:31:45,200 - Quevedo,62 - O'Donnell
0.5,2022-04-01T00:31:52,40 - Conde de Romanones,40 - Conde de Romanones
4.07,2022-04-01T00:32:24,127 - Fernando el Católico,202 - Parque Santander
6.27,2022-04-01T00:32:24,9 - Plaza de San Miguel,161 - Paseo de la Florida
0.85,2022-04-01T00:32:34,44 - Plaza de Nelson Mandela,44 - Plaza de Nelson Mandela
13.08,2022-04-01T00:32:35,29 - Marqués de Cubas,227 - Concordia
56.98,2022-04-01T00:32:52,25a - Plaza de Celenque A,2 - Miguel Moya
12.13,2022-04-01T00:32:58,108 - Mártires Concepcionistas,196 - Prosperidad
16.33,2022-04-01T00:33:04,51 - Ronda de Atocha,194 - Avenida de América 2
20.08,2022-04-01T00:33:05,40 - Conde de Romanones,45 - Puerta de Toledo
8.4,2022-04-01T00:33:29,111b - Arcipreste de Hita B,58 - Augusto Figueroa
5.1,2022-04-01T00:33:31,190 - Velázquez-Diego de León,10 - Marqués de la Ensenada
14.3,2022-04-01T00:33:48,44 - Plaza de Nelson Mandela,227 - Concordia
2.32,2022-04-01T00:33:55,30 - San Quintín,30 - San Quintín
14.0,2022-04-01T00:34:03,9 - Plaza de San Miguel,165 - Entrada Matadero
8.13,2022-04-01T00:34:06,10 - Marqués de la Ensenada,61 - Narváez
5.07,2022-04-01T00:34:08,12 - San Hermenegildo,211 - Desengaño
10.15,2022-04-01T00:34:19,1a - Puerta del Sol A,61 - Narváez
7.18,2022-04-01T00:34:20,25b - Plaza de Celenque B,27 - Huertas
7.55,2022-04-01T00:34:27,27 - Huertas,167 - Segovia 45
11.32,2022-04-01T00:34:29,40 - Conde de Romanones,51 - Ronda de Atocha
12.12,2022-04-01T00:34:43,130 - Santa Engracia 127,161 - Paseo de la Florida
0.25,2022-04-01T00:35:28,204 - Cuatro Caminos 2,204 - Cuatro Caminos 2
51.12,2022-04-01T00:35:52,197 - Parque Berlín,255 - López Pozas
6.23,2022-04-01T00:35:55,1a - Puerta del Sol A,167 - Segovia 45
12.65,2022-04-01T00:36:02,12 - San Hermenegildo,
14.1,2022-04-01T00:36:11,154 - Orense 36,13 - Conde Duque
17.78,2022-04-01T00:36:16,23 - Santo Domingo,242 - Avenida Bruselas
9.8,2022-04-01T00:36:24,53 - Plaza de Lavapiés,76 - Puerta de Mariano de Cavia
5.92,2022-04-01T00:36:28,30 - San Quintín,161 - Paseo de la Florida
8.0,2022-04-01T00:36:32,162 - Metro Pirámides,172 - Delicias
4.97,2022-04-01T00:36:45,5 - Fuencarral,31 - Calle Mayor
6.0,2022-04-01T00:37:13,201 - Canal,111b - Arcipreste de Hita B
6.75,2022-04-01T00:37:14,129 - José Abascal,245 - Galileo
11.58,2022-04-01T00:37:34,41 - Antón Martín,224 - Caramuel
7.4,2022-04-01T00:37:49,8 - Alonso Martínez,144 - Juan Bravo 50
19.45,2022-04-01T00:38:03,179 - Puente de Vallecas,194 - Avenida de América 2
0.55,2022-04-01T00:38:06,205 - Estrecho,205 - Estrecho
1.17,2022-04-01T00:38:07,204 - Cuatro Caminos 2,204 - Cuatro Caminos 2
21.28,2022-04-01T00:38:28,205 - Estrecho,218 - Camino Vinateros
0.7,2022-04-01T00:39:00,150 - Castellana frente a Hermanos Pinzón,150 - Castellana frente a Hermanos Pinzón
16.0,2022-04-01T00:39:08,111b - Arcipreste de Hita B,168 - Batalla del Salado
2.32,2022-04-01T00:39:11,115 - Ferraz,115 - Ferraz
8.98,2022-04-01T00:39:24,91 - Príncipe de Vergara,67 - Almadén
8.73,2022-04-01T00:39:31,30 - San Quintín,246 - Santa Engracia 87
12.92,2022-04-01T00:40:03,52 - Plaza de Santa Ana,212 - Marqués de Vadillo
14.35,2022-04-01T00:40:05,39 - Plaza de la Cebada,18 - Plaza de Pedro Zerolo
0.48,2022-04-01T00:40:08,204 - Cuatro Caminos 2,204 - Cuatro Caminos 2
0.4,2022-04-01T00:40:09,39 - Plaza de la Cebada,39 - Plaza de la Cebada
0.23,2022-04-01T00:40:11,150 - Castellana frente a Hermanos Pinzón,150 - Castellana frente a Hermanos Pinzón
0.25,2022-04-01T00:40:17,39 - Plaza de la Cebada,39 - Plaza de la Cebada
5.93,2022-04-01T00:40:23,181 - Retiro-Ibiza,178 - Junta Municipal Retiro
11.0,2022-04-01T00:40:44,39 - Plaza de la Cebada,211 - Desengaño
13.37,2022-04-01T00:41:03,39 - Plaza de la Cebada,18 - Plaza de Pedro Zerolo
20.5,2022-04-01T00:41:21,157 - Castellana 164,51 - Ronda de Atocha
9.83,2022-04-01T00:41:24,182 - Parque Roma,178 - Junta Municipal Retiro
7.32,2022-04-01T00:41:25,204 - Cuatro Caminos 2,155 - San Germán 57
9.72,2022-04-01T00:41:35,58 - Augusto Figueroa,127 - Fernando el Católico
0.37,2022-04-01T00:41:46,115 - Ferraz,115 - Ferraz
7.9,2022-04-01T00:41:58,222 - Antonio López,171 - Embajadores-Cáceres
0.28,2022-04-01T00:42:04,198 - Rubén Darío,198 - Rubén Darío
9.6,2022-04-01T00:42:09,39 - Plaza de la Cebada,211 - Desengaño
27.07,2022-04-01T00:43:02,40 - Conde de Romanones,215 - Gutierre de Cetina
4.32,2022-04-01T00:43:08,33 - Carretas,2 - Miguel Moya
6.85,2022-04-01T00:43:15,33 - Carretas,14 - Ventura Rodríguez
17.08,2022-04-01T00:43:21,207 - Remonta,72 - Sainz de Baranda
0.2,2022-04-01T00:43:27,48 - Embajadores 2,48 - Embajadores 2
2.17,2022-04-01T00:43:27,115 - Ferraz,115 - Ferraz
13.08,2022-04-01T00:43:49,198 - Rubén Darío,41 - Antón Martín
13.18,2022-04-01T00:43:50,79 - Puerta de Granada,88 - Embajada de Italia
18.27,2022-04-01T00:44:06,89 - Conde Peñalver,48 - Embajadores 2
6.37,2022-04-01T00:44:07,48 - Embajadores 2,236 - Paseo Imperial
9.32,2022-04-01T00:44:22,48 - Embajadores 2,167 - Segovia 45
7.52,2022-04-01T00:44:23,54 - Barceló,97 - Alcalá
0.25,2022-04-01T00:44:29,205 - Estrecho,205 - Estrecho
8.75,2022-04-01T00:44:47,33 - Carretas,172 - Delicias
11.2,2022-04-01T00:44:57,26 - Plaza de las Salesas,191 - Diego de león
0.23,2022-04-01T00:45:05,205 - Estrecho,205 - Estrecho
9.13,2022-04-01T00:45:08,26 - Plaza de las Salesas,145 - Ortega y Gasset 87
4.38,2022-04-01T00:45:17,43 - Jesús y María,171 - Embajadores-Cáceres
14.05,2022-04-01T00:45:31,53 - Plaza de Lavapiés,49 - Casa Encendida
4.32,2022-04-01T00:45:34,83 - Pío Baroja,61 - Narváez
12.97,2022-04-01T00:45:49,11 - San Andrés,43 - Jesús y María
6.75,2022-04-01T00:46:01,15 - San Vicente Ferrer,58 - Augusto Figueroa
9.82,2022-04-01T00:46:15,79 - Puerta de Granada,171 - Embajadores-Cáceres
42.43,2022-04-01T00:46:39,104 - Castellana,104 - Castellana
0.13,2022-04-01T00:46:42,4 - Malasaña,4 - Malasaña
16.45,2022-04-01T00:46:44,115 - Ferraz,235 - Embajadores 191
5.95,2022-04-01T00:46:45,15 - San Vicente Ferrer,58 - Augusto Figueroa
0.58,2022-04-01T00:46:54,167 - Segovia 45,167 - Segovia 45
16.87,2022-04-01T00:47:38,59 - Plaza de Juan Pujol,212 - Marqués de Vadillo
0.9,2022-04-01T00:47:58,13 - Conde Duque,13 - Conde Duque
56.83,2022-04-01T00:48:00,167 - Segovia 45,39 - Plaza de la Cebada
23.07,2022-04-01T00:48:10,111b - Arcipreste de Hita B,205 - Estrecho
15.43,2022-04-01T00:48:23,49 - Casa Encendida,131 - Bravo Murillo 44
59.58,2022-04-01T00:48:26,111b - Arcipreste de Hita B,111b - Arcipreste de Hita B
9.53,2022-04-01T00:48:27,4 - Malasaña,110 - Moncloa
1.43,2022-04-01T00:48:41,111b - Arcipreste de Hita B,111b - Arcipreste de Hita B
15.37,2022-04-01T00:48:48,104 - Castellana,118 - Juan Martín
11.68,2022-04-01T00:48:58,49 - Casa Encendida,70 - Puerta del Doce de Octubre
0.18,2022-04-01T00:49:03,24 - Palacio de Oriente,24 - Palacio de Oriente
0.6,2022-04-01T00:49:34,71 - Doce de Octubre,71 - Doce de Octubre
21.43,2022-04-01T00:49:45,111b - Arcipreste de Hita B,205 - Estrecho
10.12,2022-04-01T00:49:46,75 - Menéndez Pelayo,52 - Plaza de Santa Ana
0.12,2022-04-01T00:49:50,24 - Palacio de Oriente,24 - Palacio de Oriente
6.77,2022-04-01T00:49:50,13 - Conde Duque,7 - Hortaleza
0.5,2022-04-01T00:50:10,24 - Palacio de Oriente,24 - Palacio de Oriente
7.58,2022-04-01T00:50:10,44 - Plaza de Nelson Mandela,236 - Paseo Imperial
6.87,2022-04-01T00:50:35,58 - Augusto Figueroa,30 - San Quintín
7.35,2022-04-01T00:50:46,18 - Plaza de Pedro Zerolo,31 - Calle Mayor
9.93,2022-04-01T00:50:49,91 - Príncipe de Vergara,75 - Menéndez Pelayo
3.27,2022-04-01T00:50:54,71 - Doce de Octubre,75 - Menéndez Pelayo
7.62,2022-04-01T00:51:01,162 - Metro Pirámides,177 - Legazpi
11.35,2022-04-01T00:51:25,91 - Príncipe de Vergara,121 - Santa María de la Cabeza
5.05,2022-04-01T00:51:41,24 - Palacio de Oriente,39 - Plaza de la Cebada
14.35,2022-04-01T00:51:46,16 - San Bernardo,120 - Palos de la Frontera
0.72,2022-04-01T00:51:52,111b - Arcipreste de Hita B,111b - Arcipreste de Hita B
4.85,2022-04-01T00:52:11,243 - Cartagena,196 - Prosperidad
12.2,2022-04-01T00:52:30,199 - Fernando el Católico,24 - Palacio de Oriente
0.6,2022-04-01T00:52:58,111b - Arcipreste de Hita B,111b - Arcipreste de Hita B
0.17,2022-04-01T00:53:08,48 - Embajadores 2,48 - Embajadores 2
18.23,2022-04-01T00:53:16,52 - Plaza de Santa Ana,160 - Colombia
1.02,2022-04-01T00:53:23,123 - Guzmán el Bueno,123 - Guzmán el Bueno
16.83,2022-04-01T00:53:34,22 - Jacometrezo,237 - Pablo Iglesias
26.28,2022-04-01T00:53:41,184 - Marqués de Zafra,179 - Puente de Vallecas
18.53,2022-04-01T00:54:09,111b - Arcipreste de Hita B,205 - Estrecho
7.8,2022-04-01T00:54:22,48 - Embajadores 2,9 - Plaza de San Miguel
3.55,2022-04-01T00:54:46,123 - Guzmán el Bueno,12 - San Hermenegildo
5.18,2022-04-01T00:55:19,85 - Puerta de Madrid,73 - Plaza de los Astros
23.23,2022-04-01T00:55:56,235 - Embajadores 191,220 - Plaza del Encuentro
4.63,2022-04-01T00:56:18,123 - Guzmán el Bueno,124 - Manuel Silvela
3.4,2022-04-01T00:56:21,6 - Colegio Arquitectos,16 - San Bernardo
0.38,2022-04-01T00:56:46,18 - Plaza de Pedro Zerolo,18 - Plaza de Pedro Zerolo
9.73,2022-04-01T00:56:54,18 - Plaza de Pedro Zerolo,162 - Metro Pirámides
9.25,2022-04-01T00:57:16,18 - Plaza de Pedro Zerolo,162 - Metro Pirámides
14.95,2022-04-01T00:57:22,110 - Moncloa,167 - Segovia 45
14.32,2022-04-01T00:57:31,216 - Puerta del Ángel,75 - Menéndez Pelayo
9.42,2022-04-01T00:57:55,162 - Metro Pirámides,235 - Embajadores 191
9.77,2022-04-01T00:57:58,58 - Augusto Figueroa,145 - Ortega y Gasset 87
5.45,2022-04-01T00:58:34,33 - Carretas,53 - Plaza de Lavapiés
