Provincia de origen;Provincia de origen;CCAA y provincia de destino;CCAA y provincia de destino;CCAA y provincia de destino;Concepto turístico;Periodo;Total
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2023M06;237.509
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2023M05;210.825
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2023M04;230.861
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2023M03;141.188
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2023M02;122.399
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2023M01;144.130
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2022M12;143.655
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2022M11;137.827
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2022M10;173.281
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2022M09;266.673
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2022M08;467.997
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2022M07;401.102
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2022M06;251.859
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2022M05;208.560
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2022M04;217.253
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2022M03;126.610
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2022M02;116.373
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2022M01;132.657
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2021M12;147.245
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2021M11;136.880
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2021M10;180.049
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2021M09;288.339
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2021M08;519.724
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2021M07;391.128
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2021M06;268.534
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2021M05;184.742
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2021M04;115.904
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2021M03;119.956
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2021M02;87.802
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2021M01;116.578
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2020M12;111.903
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2020M11;86.077
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2020M10;142.186
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2020M09;219.584
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2020M08;406.591
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2020M07;288.383
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2020M06;129.680
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2020M05;47.933
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2020M04;41.123
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2020M03;140.141
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2020M02;190.342
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2020M01;186.947
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2019M12;185.423
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2019M11;171.350
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2019M10;192.226
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2019M09;320.877
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2019M08;542.876
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2019M07;399.405
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2024M03;403.715
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2024M02;388.936
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2024M01;351.802
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2023M12;392.888
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2023M11;311.879
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2023M10;459.812
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2023M09;638.935
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2023M08;1.137.554
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2023M07;1.133.112
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2023M06;601.741
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2023M05;577.404
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2023M04;561.194
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2023M03;343.600
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2023M02;342.111
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2023M01;341.316
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2022M12;342.648
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2022M11;317.579
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2022M10;392.539
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2022M09;627.658
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2022M08;1.093.511
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2022M07;1.034.520
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2022M06;620.317
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2022M05;614.810
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2022M04;490.335
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2022M03;298.978
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2022M02;292.676
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2022M01;309.637
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2021M12;341.012
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2021M11;307.183
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2021M10;406.629
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2021M09;681.254
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2021M08;1.216.495
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2021M07;983.670
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2021M06;685.152
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2021M05;531.911
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2021M04;176.078
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2021M03;155.743
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2021M02;101.838
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2021M01;190.108
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2020M12;180.120
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2020M11;139.751
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2020M10;338.487
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2020M09;569.318
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2020M08;1.080.782
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2020M07;844.895
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2020M06;421.114
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2020M05;85.567
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2020M04;97.938
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2020M03;363.448
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2020M02;469.576
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2020M01;390.775
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2019M12;418.756
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2019M11;334.394
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2019M10;394.133
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2019M09;731.177
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2019M08;1.187.017
Total Nacional;;Total Nacional;Andalucía;Cádiz;Turistas;2019M07;997.751
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2024M03;228.720
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2024M02;190.100
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2024M01;213.046
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2023M12;240.555
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2023M11;214.757
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2023M10;237.645
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2023M09;195.285
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2023M08;171.022
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2023M07;176.070
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2023M06;195.380
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2023M05;270.316
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2023M04;258.839
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2023M03;211.419
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2023M02;185.691
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2023M01;219.460
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2022M12;233.015
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2022M11;221.071
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2022M10;237.050
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2022M09;206.427
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2022M08;189.405
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2022M07;181.205
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2022M06;185.990
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2022M05;277.372
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2022M04;252.918
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2022M03;198.649
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2022M02;173.809
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2022M01;190.329
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2021M12;226.008
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2021M11;232.121
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2021M10;236.345
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2021M09;202.851
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2021M08;200.054
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2021M07;177.139
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2021M06;189.966
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2021M05;207.739
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2021M04;126.730
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2021M03;120.616
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2021M02;86.760
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2021M01;129.618
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2020M12;127.690
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2020M11;101.981
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2020M10;177.782
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2020M09;172.624
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2020M08;185.566
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2020M07;165.280
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2020M06;135.832
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2020M05;66.989
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2020M04;62.355
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2020M03;180.961
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2020M02;256.897
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2020M01;265.387
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2019M12;289.820
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2019M11;254.317
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2019M10;250.004
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2019M09;253.993
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2019M08;217.300
Total Nacional;;Total Nacional;Andalucía;Córdoba;Turistas;2019M07;188.923
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2024M03;379.424
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2024M02;347.684
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2024M01;371.027
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2023M12;368.631
Total Nacional;;Total Nacional;Andalucía;Granada;Turistas;2023M11;300.854
