Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;;
2020S000090;01/01/2020;14:10;PLAZA. GRECIA / AVDA. LUIS ARAGONES;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Pasajero;DESCONOCIDA;Hombre;;;
2020S000090;01/01/2020;14:10;PLAZA. GRECIA / AVDA. LUIS ARAGONES;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Conductor;DESCONOCIDA;;;;
2020S000045;01/01/2020;13:00;AVDA. ALBUFERA;67;PUENTE DE VALLECAS;Choque contra obstáculo fijo;;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;;;
2020S000047;01/01/2020;12:39;CALL. ANSAR;82;LATINA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;14;;
2020S000198;01/01/2020;12:25;AVDA. CIUDAD DE BARCELONA;10;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 65 A 69 AÑOS;Hombre;07;;
2020S000198;01/01/2020;12:25;AVDA. CIUDAD DE BARCELONA;10;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 35 A 39 AÑOS;Mujer;07;;
2020S000206;01/01/2020;12:00;TRVA. COSTA BRAVA / CALL. COSTA BRAVA;-;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Mujer;;;
2020S000206;01/01/2020;12:00;TRVA. COSTA BRAVA / CALL. COSTA BRAVA;-;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Hombre;;;
2020S000206;01/01/2020;12:00;TRVA. COSTA BRAVA / CALL. COSTA BRAVA;-;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 15 A 17 AÑOS;Mujer;;;
2020S000022;01/01/2020;10:00;PLAZA. AGUSTIN GONZALEZ,  CON AVDA DAROCA;-;CIUDAD LINEAL;Alcance;Despejado;Turismo;Conductor;DESCONOCIDA;Hombre;14;;
