Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO EDAD;SEXO;LESIVIDAD*;* La correspondencia de los códigos se encuentra descrito en la estructura del fichero.
2019S004992;21/01/2019;15:15;AUTOV. M-30, CALZADA 2ª PK. 9;-;MORATALAZ;Colisión múltiple;Despejado;Furgoneta;Pasajero;DE 40 A 44 AÑOS;Hombre;;
2019S004992;21/01/2019;15:15;AUTOV. M-30, CALZADA 2ª PK. 9;-;MORATALAZ;Colisión múltiple;Despejado;Turismo;Conductor;DE 65 A 69 AÑOS;Hombre;;
2019S006572;21/01/2019;15:00;AVDA. OPORTO;73;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;14;
2019S006572;21/01/2019;15:00;AVDA. OPORTO;73;CARABANCHEL;Alcance;Despejado;Furgoneta;Conductor;DE 40 A 44 AÑOS;Hombre;14;
2019S004916;21/01/2019;14:47;CALL. VELAZQUEZ;27;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 60 A 64 AÑOS;Hombre;14;
2019S004916;21/01/2019;14:47;CALL. VELAZQUEZ;27;SALAMANCA;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 45 A 49 AÑOS;Hombre;07;
2019S009805;21/01/2019;14:30;CALL. PEIRONCELY / CALL. LAGARTERA;-;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Tractocamión;Conductor;DE 60 A 64 AÑOS;Hombre;;
2019S009805;21/01/2019;14:30;CALL. PEIRONCELY / CALL. LAGARTERA;-;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S004810;21/01/2019;14:25;AUTOV. M-30 calzada 2ª central km 8.200;-;MORATALAZ;Alcance;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;14;
2019S004810;21/01/2019;14:25;AUTOV. M-30 calzada 2ª central km 8.200;-;MORATALAZ;Alcance;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Mujer;02;
2019S004810;21/01/2019;14:25;AUTOV. M-30 calzada 2ª central km 8.200;-;MORATALAZ;Alcance;Despejado;Turismo;Pasajero;DE 21 A 24 AÑOS;Mujer;02;
2019S004799;21/01/2019;13:50;AVDA. CANILLEJAS A VICALVARO / CALL. OSIRIS;-;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;;
2019S004799;21/01/2019;13:50;AVDA. CANILLEJAS A VICALVARO / CALL. OSIRIS;-;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;;Turismo;Pasajero;DE 40 A 44 AÑOS;Mujer;;
2019S004799;21/01/2019;13:50;AVDA. CANILLEJAS A VICALVARO / CALL. OSIRIS;-;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;;
2019S004852;21/01/2019;13:40;AVDA. MONFORTE DE LEMOS;163;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Furgoneta;Conductor;DE 50 A 54 AÑOS;Hombre;;
2019S004852;21/01/2019;13:40;AVDA. MONFORTE DE LEMOS;163;FUENCARRAL-EL PARDO;Colisión lateral;Despejado;Autobús;Conductor;DE 50 A 54 AÑOS;Hombre;;
2019S004855;21/01/2019;13:30;CALL. ENCOMIENDA DE PALACIOS;156;MORATALAZ;Alcance;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;;
2019S004855;21/01/2019;13:30;CALL. ENCOMIENDA DE PALACIOS;156;MORATALAZ;Alcance;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;;
2019S004600;21/01/2019;13:30;AVDA. GRAN VIA DE VILLAVERDE;20;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;01;
2019S004600;21/01/2019;13:30;AVDA. GRAN VIA DE VILLAVERDE;20;VILLAVERDE;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S004807;21/01/2019;13:22;AUTOV. M-30, +02000I;-;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;;
2019S004807;21/01/2019;13:22;AUTOV. M-30, +02000I;-;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;;
2019S004807;21/01/2019;13:22;AUTOV. M-30, +02000I;-;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 35 A 39 AÑOS;Hombre;;
2019S004807;21/01/2019;13:22;AUTOV. M-30, +02000I;-;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 50 A 54 AÑOS;Hombre;;
2019S004823;21/01/2019;13:00;RONDA. COMUNICACION;3;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S004823;21/01/2019;13:00;RONDA. COMUNICACION;3;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;;
2019S004591;21/01/2019;12:40;CALL. ALONSO CANO;41;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14;
2019S004591;21/01/2019;12:40;CALL. ALONSO CANO;41;CHAMBERÍ;Colisión fronto-lateral;Despejado;Motocicleta > 125cc;Conductor;DE 25 A 29 AÑOS;Hombre;02;
2019S004591;21/01/2019;12:40;CALL. ALONSO CANO;41;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;14;
2019S004806;21/01/2019;12:38;AUTOV. M-30 / CALL. GINZO DE LIMIA;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;;
2019S004806;21/01/2019;12:38;AUTOV. M-30 / CALL. GINZO DE LIMIA;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 65 A 69 AÑOS;Hombre;;
2019S004587;21/01/2019;12:37;CALL. PRINCIPE DE VERGARA / CALL. JUAN BRAVO;-;SALAMANCA;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 35 A 39 AÑOS;Hombre;07;
2019S004587;21/01/2019;12:37;CALL. PRINCIPE DE VERGARA / CALL. JUAN BRAVO;-;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;14;
2019S004587;21/01/2019;12:37;CALL. PRINCIPE DE VERGARA / CALL. JUAN BRAVO;-;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 40 A 44 AÑOS;Mujer;14;
2019S004588;21/01/2019;12:35;CALL. CONDE DE PEÑALVER / CALL. DON RAMON DE LA CRUZ;-;SALAMANCA;Atropello a persona;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;14;
2019S004588;21/01/2019;12:35;CALL. CONDE DE PEÑALVER / CALL. DON RAMON DE LA CRUZ;-;SALAMANCA;Atropello a persona;Despejado;Turismo;Peatón;MAYOR DE 74 AÑOS;Hombre;02;
2019S004580;21/01/2019;11:40;CALL. CABEZA;15;CENTRO;Colisión lateral;Despejado;Furgoneta;Conductor;DE 45 A 49 AÑOS;Hombre;;
2019S004580;21/01/2019;11:40;CALL. CABEZA;15;CENTRO;Colisión lateral;Despejado;Camión rígido;Conductor;DE 25 A 29 AÑOS;Hombre;;
2019S004801;21/01/2019;10:25;CALL. EMILIO MUÑOZ / CALL. MIGUEL YUSTE;-;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Mujer;;
2019S004801;21/01/2019;10:25;CALL. EMILIO MUÑOZ / CALL. MIGUEL YUSTE;-;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Vehículo articulado;Conductor;DE 55 A 59 AÑOS;Hombre;;
2019S004822;21/01/2019;9:40;CALL. LA ADRADA;26;VILLA DE VALLECAS;Atropello a persona;Se desconoce;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;14;
2019S004822;21/01/2019;9:40;CALL. LA ADRADA;26;VILLA DE VALLECAS;Atropello a persona;Se desconoce;Turismo;Peatón;DE 30 A 34 AÑOS;Mujer;07;
2019S004809;21/01/2019;9:35;AVDA. CONSEJO DE EUROPA / LUGAR. GLORIETA PERDIDA;-;BARAJAS;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;14;
2019S004809;21/01/2019;9:35;AVDA. CONSEJO DE EUROPA / LUGAR. GLORIETA PERDIDA;-;BARAJAS;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;07;
2019S004808;21/01/2019;9:28;AVDA. ALFONSO XIII; 119A;CHAMARTÍN;Colisión lateral;Despejado;Motocicleta > 125cc;Conductor;DE 25 A 29 AÑOS;Mujer;07;
2019S004808;21/01/2019;9:28;AVDA. ALFONSO XIII; 119A;CHAMARTÍN;Colisión lateral;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Mujer;14;
2019S004808;21/01/2019;9:28;AVDA. ALFONSO XIII; 119A;CHAMARTÍN;Colisión lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;14;
2019S008220;21/01/2019;9:20;AVDA. ALBUFERA / AUTOV. M-40;-;PUENTE DE VALLECAS;Alcance;Despejado;Furgoneta;Conductor;DE 50 A 54 AÑOS;Hombre;14;
2019S008220;21/01/2019;9:20;AVDA. ALBUFERA / AUTOV. M-40;-;PUENTE DE VALLECAS;Alcance;Despejado;Furgoneta;Pasajero;DE 40 A 44 AÑOS;Hombre;07;
2019S008220;21/01/2019;9:20;AVDA. ALBUFERA / AUTOV. M-40;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DESCONOCIDA;;;
2019S004821;21/01/2019;9:15;CTRA. VALDEMINGOMEZ;5;VILLA DE VALLECAS;Choque contra obstáculo fijo;;Autobús;Conductor;DE 60 A 64 AÑOS;Hombre;;
2019S004805;21/01/2019;9:10;AUTOV. M-30, +01900I;-;MONCLOA-ARAVACA;Alcance;;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;;
2019S004805;21/01/2019;9:10;AUTOV. M-30, +01900I;-;MONCLOA-ARAVACA;Alcance;;Motocicleta > 125cc;Conductor;DE 40 A 44 AÑOS;Hombre;;
2019S004574;21/01/2019;8:55;CALL. CARTAGENA / CALL. MEJICO;-;SALAMANCA;Caída;Despejado;Motocicleta > 125cc;Conductor;DE 50 A 54 AÑOS;Hombre;14;
2019S004574;21/01/2019;8:55;CALL. CARTAGENA / CALL. MEJICO;-;SALAMANCA;Caída;Despejado;Autobús;Conductor;DE 40 A 44 AÑOS;Mujer;14;
2019S004818;21/01/2019;8:40;CALL. LAGUNA DEL MARQUESADO;36;VILLAVERDE;Alcance;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Mujer;07;
2019S004818;21/01/2019;8:40;CALL. LAGUNA DEL MARQUESADO;36;VILLAVERDE;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;07;
2019S004818;21/01/2019;8:40;CALL. LAGUNA DEL MARQUESADO;36;VILLAVERDE;Alcance;Despejado;Turismo;Peatón;DE 35 A 39 AÑOS;Hombre;14;
2019S011432;21/01/2019;8:40;CALL. PABLO SERRANO;13;HORTALEZA;Colisión frontal;;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;14;
2019S011432;21/01/2019;8:40;CALL. PABLO SERRANO;13;HORTALEZA;Colisión frontal;;Furgoneta;Conductor;DESCONOCIDA;;;
2019S004564;21/01/2019;8:04;PASEO. QUINCE DE MAYO;28;CARABANCHEL;Caída;Despejado;Motocicleta > 125cc;Conductor;DE 30 A 34 AÑOS;Hombre;;
2019S004556;21/01/2019;5:55;GRAN VIA;-;CENTRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;14;
2019S004556;21/01/2019;5:55;GRAN VIA;-;CENTRO;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 30 A 34 AÑOS;Mujer;14;
2019S004556;21/01/2019;5:55;GRAN VIA;-;CENTRO;Colisión fronto-lateral;Despejado;Ciclomotor;Conductor;DE 35 A 39 AÑOS;Hombre;01;
2019S004555;21/01/2019;0:45;AVDA. NUESTRA SEÑORA DE FATIMA;42;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;14;
2019S004555;21/01/2019;0:45;AVDA. NUESTRA SEÑORA DE FATIMA;42;CARABANCHEL;Alcance;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Hombre;14;
2019S004555;21/01/2019;0:45;AVDA. NUESTRA SEÑORA DE FATIMA;42;CARABANCHEL;Alcance;Despejado;Turismo;Pasajero;DE 30 A 34 AÑOS;Mujer;07;
2019S004555;21/01/2019;0:45;AVDA. NUESTRA SEÑORA DE FATIMA;42;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;14;
2019S004555;21/01/2019;0:45;AVDA. NUESTRA SEÑORA DE FATIMA;42;CARABANCHEL;Alcance;Despejado;Turismo;Pasajero;DE 50 A 54 AÑOS;Mujer;06;
2019S007324;22/01/2019;23:40;CALL. MARIBLANCA;4;USERA;Choque contra obstáculo fijo;;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14;
2019S007324;22/01/2019;23:40;CALL. MARIBLANCA;4;USERA;Choque contra obstáculo fijo;;Turismo;Pasajero;DE 21 A 24 AÑOS;Mujer;14;
2019S007324;22/01/2019;23:40;CALL. MARIBLANCA;4;USERA;Choque contra obstáculo fijo;;Turismo;Conductor;DESCONOCIDA;;;
2019S004944;22/01/2019;23:29;PASEO. CHOPERA;1;ARGANZUELA;Choque contra obstáculo fijo;Lluvia débil;Turismo;Conductor;DE 65 A 69 AÑOS;Hombre;;
2019S004952;22/01/2019;23:10;CALL. ALCALDE SAINZ DE BARANDA / CALL. DOCTOR ESQUERDO;-;RETIRO;Colisión lateral;;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;;
2019S004952;22/01/2019;23:10;CALL. ALCALDE SAINZ DE BARANDA / CALL. DOCTOR ESQUERDO;-;RETIRO;Colisión lateral;;Camión rígido;Conductor;DE 30 A 34 AÑOS;Hombre;;
