Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc;Nudo 0*;Comentarios;Nombre Subestación;" Capacidad admitida y no resuelta (MW) 
Eólica";" Capacidad admitida y no resuelta (MW)
 Solar";" Capacidad admitida y no resuelta (MW) 
Almacenamiento";" Capacidad admitida y no resuelta (MW) 
Otras"
R1-005;Cantabria;Astillero (El);431.891,4;4.807.170,8;707;12;0;0;0;0;;;Astillero 220 kV;0;0;;MALIAÑO;0;0;0;0
R1-005;Cantabria;Astillero (El);431.891,4;4.807.170,8;707;55;0;0;0;0;;;Astillero 220 kV;0;0;;MALIAÑO;0;0;0;0
R1-005;Cantabria;Valdeolea;405.287,5;4.748.069,4;370;30;3;0;8,2;0;;;Mataporquera 220 kV;0;0;;MATAPORQUERA;0;0;0;0
R1-005;Cantabria;Valdeolea;405.287,5;4.748.069,4;370;132;0;0;53,3;0;;;Mataporquera 220 kV;0;0;;MATAPORQUERA;0;0;0;0
R1-005;Cantabria;Entrambasaguas;439.861,3;4.805.281,8;373;12;0;0;0;0;;;Astillero 220 kV;0;0;;M_CUDEYO;0;0;0;0
R1-005;Cantabria;Entrambasaguas;439.861,3;4.805.281,8;373;55;0;0;0;0;;;Astillero 220 kV;0;1;;M_CUDEYO;0;0;0;0
R1-005;Cantabria;Corrales de Buelna (Los);414.042,1;4.789.819,0;1013;55;0;1;0;0;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;MECOBUSA;0;0;0;0
R1-005;Cantabria;Meruelo;450.821,4;4.808.860,6;1782;12;0;0;12,794;0;;;Cicero 220 kV;0;0;;MERUELO;0;0;0;0
R1-005;Cantabria;Meruelo;450.821,4;4.808.860,6;1782;55;0;0;17;0;;;Cicero 220 kV;0;1;;MERUELO;0;0;0;0
R1-005;Cantabria;Camargo;431.818,1;4.809.732,5;1000;12;4,656;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;N_MONTAÑA;0;0;0;0
R1-005;Cantabria;Camargo;431.818,1;4.809.732,5;1000;55;50;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;N_MONTAÑA;0;0;0;0
R1-005;Cantabria;Cillorigo de Liébana;369.208,8;4.780.375,5;704;12;0,2;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;OJEDO;0;0;0;0
R1-005;Cantabria;Cillorigo de Liébana;369.208,8;4.780.375,5;704;30;0,2;1;4,99;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;OJEDO;0;0;0;0
R1-005;Cantabria;Penagos;433.166,0;4.799.697,5;329;12;0;0;0,7;0;;;Astillero 220 kV;0;0;;PENAGOS;0;0;0;0
R1-005;Cantabria;Penagos;433.166,0;4.799.697,5;329;55;0;0;4,8;0;;;Astillero 220 kV;0;1;;PENAGOS;0;0;0;0
R1-005;Cantabria;Tudanca;387.945,2;4.778.316,5;26;12;0;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;PEÑA BEJO;0;0;0;0
R1-005;Cantabria;Tudanca;387.945,2;4.778.316,5;26;55;0;1;20,8;0;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;PEÑA BEJO;0;0;0;0
R1-005;Cantabria;Valderredible;422.461,6;4.739.548,3;903;12;0;0;1,5;0;;;Mataporquera 220 kV;0;0;;POLIENTES;0;0;0;0
R1-005;Cantabria;Valderredible;422.461,6;4.739.548,3;903;30;0;0;0;0;;;Mataporquera 220 kV;0;0;;POLIENTES;0;0;0;0
R1-005;Cantabria;Santander;428.907,2;4.811.172,5;8;12;6,038;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;PT_SANTANDER;0;0;0;0
R1-005;Cantabria;Santander;428.907,2;4.811.172,5;8;55;50;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;PT_SANTANDER;0;0;0;0
R1-005;Cantabria;Santander;432.594,1;4.810.079,2;13;12;6,038;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;PUERTO;0;0;0;0
R1-005;Cantabria;Santander;432.594,1;4.810.079,2;13;55;50;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;PUERTO;0;0;0;0
R1-005;Cantabria;Ramales de la Victoria;461.950,8;4.789.972,8;87;12;0;0;0;1,2;;;Cicero 220 kV;0;0;;RAMALES;0;1,2;0;0
R1-005;Cantabria;Ramales de la Victoria;461.950,8;4.789.972,8;87;55;0;0;39,5;0;;;Cicero 220 kV;0;1;;RAMALES;0;0;0;0
R1-005;Cantabria;Reinosa;406.855,6;4.760.129,9;302;12;0;0;0,2;2,392;;;Mataporquera 220 kV;0;0;;REINOSA;0;0;2,392;0
R1-005;Cantabria;Reinosa;406.855,6;4.760.129,9;302;30;0;0;16,95;2,392;;;Mataporquera 220 kV;0;0;;REINOSA;0;0;2,392;0
R1-005;Cantabria;Reinosa;406.855,6;4.760.129,9;302;132;0;0;0;0;;;Mataporquera 220 kV;0;0;;REINOSA;0;0;0;0
R1-005;Cantabria;Piélagos;422.496,8;4.801.167,8;756;12;0;0;4,56;0;;;Astillero 220 kV;0;0;;RENEDO;0;0;0;0
R1-005;Cantabria;Piélagos;422.496,8;4.801.167,8;756;55;0;0;0;60;;;Astillero 220 kV;0;0;;RENEDO;60;0;0;0
R1-005;Cantabria;Reocín;410.888,0;4.798.668,4;99;12;0;1;13,61;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;REOCIN;0;0;0;0
R1-005;Cantabria;Reocín;410.888,0;4.798.668,4;99;55;0;1;10;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;REOCIN;0;0;0;0
R1-005;Cantabria;Santillana del Mar;414.701,5;4.802.234,0;1759;12;0;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;RIAÑO;0;0;0;0
R1-005;Cantabria;Santillana del Mar;414.701,5;4.802.234,0;1759;55;0;1;0;45;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;RIAÑO;0;0;45;0
R1-005;Cantabria;Rionansa;387.417,2;4.786.475,2;1071;55;1,04;1;11,8;0;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;ROZADIO;0;0;0;0
