Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación ;Nivel de tensión (kV);Capacidad firme disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad de acceso firme de demanda ocupada (MW);Capacidad de acceso firme admitida y no evaluada (MW);Posiciones ocupadas;Posiciones libres;Nudo 0*;Comentarios;Nombre subestación
R1-005;Cantabria;Valderredible;422.461,6;4.739.548,3;903;12;0,31;0;5,51;0;0;0;0;;POLIENTES
R1-005;Cantabria;Valderredible;422.461,6;4.739.548,3;903;30;0;0;0;0;0;0;1;;POLIENTES
R1-005;Cantabria;Santander;428.907,2;4.811.172,5;8;12;2,17;0;17,83;0;0;0;0;;PT_SANTANDER
R1-005;Cantabria;Santander;428.907,2;4.811.172,5;8;55;0;0;0;0;0;0;0;;PT_SANTANDER
R1-005;Cantabria;Santander;432.594,1;4.810.079,2;13;12;2,2;0;3,45;0;0;0;0;;PUERTO
R1-005;Cantabria;Santander;432.594,1;4.810.079,2;13;55;0;0;32,15;0;0;0;0;;PUERTO
R1-005;Cantabria;Ramales de la Victoria;461.950,8;4.789.972,8;87;12;0,85;0;4,57;0;0;0;0;;RAMALES
R1-005;Cantabria;Ramales de la Victoria;461.950,8;4.789.972,8;87;55;0;0;0;0;0;0;0;;RAMALES
R1-005;Cantabria;Reinosa;406.855,6;4.760.129,9;302;12;0;0;9,85;3,19;0;0;0;;REINOSA
R1-005;Cantabria;Reinosa;406.855,6;4.760.129,9;302;30;0;0;21,65;2,39;0;0;0;;REINOSA
R1-005;Cantabria;Reinosa;406.855,6;4.760.129,9;302;132;0;0;0;0;0;0;0;;REINOSA
R1-005;Cantabria;Piélagos;422.496,8;4.801.167,8;756;12;0,53;0;15,7;0,9;0;0;0;;RENEDO
R1-005;Cantabria;Piélagos;422.496,8;4.801.167,8;756;55;0;0;0;0;0;0;0;;RENEDO
R1-005;Cantabria;Reocín;410.888,0;4.798.668,4;99;12;3,37;0;13,29;0;0;0;0;;REOCIN
R1-005;Cantabria;Reocín;410.888,0;4.798.668,4;99;55;0;0;4,36;0;0;0;0;;REOCIN
R1-005;Cantabria;Santillana del Mar;414.701,5;4.802.234,0;1759;12;0,53;0;19,97;3,8;0;0;0;;RIAÑO
R1-005;Cantabria;Santillana del Mar;414.701,5;4.802.234,0;1759;55;0;0;0;0;0;0;0;;RIAÑO
R1-005;Cantabria;Rionansa;387.417,2;4.786.475,2;1071;55;0;0;0;0;0;0;0;;ROZADIO
R1-005;Cantabria;Torrelavega;412.682,9;4.801.069,2;957;12;0;0;26,16;0;0;0;1;;SAN_MIGUEL
R1-005;Cantabria;Torrelavega;412.682,9;4.801.069,2;957;55;0;0;45,09;0;0;0;0;;SAN_MIGUEL
R1-005;Cantabria;Torrelavega;412.682,9;4.801.069,2;957;132;0;0;0;0;0;0;0;;SAN_MIGUEL
R1-005;Cantabria;Torrelavega;415.233,9;4.803.069,0;23;55;0;0;57,2;0;0;0;0;;SOLVAY_N
R1-005;Cantabria;San Vicente de la Barquera;387.436,7;4.801.607,0;996;12;0;0;18,42;0;0;0;1;;S_VICENTE
R1-005;Cantabria;San Vicente de la Barquera;387.436,7;4.801.607,0;996;55;0;0;0;0;0;0;0;;S_VICENTE
R1-005;Cantabria;Torrelavega;415.152,4;4.797.765,9;1010;12;0,64;0;20,49;3,54;0;0;0;;TANOS
