ID;TERMS (PT-NPT);RELATIONS;PT;MT
7984;Agencia Europea de Sustancias y Preparados Químicos;USE;Agencia Europea de Sustancias y Mezclas Químicas;1006 instituciones de la Unión Europea y función pública europea
8439;Agencia Europea de la Guardia de Fronteras y Costas;USE;Frontex;1006 instituciones de la Unión Europea y función pública europea
428;Agencia Europea para la Energía Nuclear;USE;Agencia para la Energía Nuclear;7621 organizaciones mundiales
5426;Agencia Europea para la Evaluación de Medicamentos;USE;Agencia Europea de Medicamentos;1006 instituciones de la Unión Europea y función pública europea
c_8a658bb0;Agencia Europea para la Gestión Operativa de Sistemas Informáticos de Gran Magnitud en el Espacio de Libertad, Seguridad y Justicia;;;1006 instituciones de la Unión Europea y función pública europea
8439;Agencia Europea para la Gestión de la Cooperación Operativa en las Fronteras Exteriores de los Estados Miembros de la Unión Europea;USE;Frontex;1006 instituciones de la Unión Europea y función pública europea
5427;Agencia Europea para la Seguridad y la Salud en el Trabajo;;;1006 instituciones de la Unión Europea y función pública europea
7985;Agencia Ferroviaria Europea;USE;Agencia Ferroviaria de la Unión Europea;1006 instituciones de la Unión Europea y función pública europea
7985;Agencia Ferroviaria Europea para la Seguridad y la Interoperabilidad;USE;Agencia Ferroviaria de la Unión Europea;1006 instituciones de la Unión Europea y función pública europea
7985;Agencia Ferroviaria de la Unión Europea;;;1006 instituciones de la Unión Europea y función pública europea
1024;Agencia Internacional de Energía;;;7621 organizaciones mundiales
c_7bf10a38;Agencia Internacional de Energías Renovables;;;7621 organizaciones mundiales
c_2f64fd66;Agencia Mundial Antidopaje;;;7626 organizaciones no gubernamentales
388;Agencia de Abastecimiento de Euratom;;;1016 construcción europea
447958;Agencia de Asilo de la Unión Europea;;;1006 instituciones de la Unión Europea y función pública europea
447917;Agencia de Cooperación de los Reguladores de la Energía;USE;Agencia de la Unión Europea para la Cooperación de los Reguladores de la Energía;1006 instituciones de la Unión Europea y función pública europea
c_4768a12e;Agencia de apoyo al ORECE;USE;Organismo de Reguladores Europeos de las Comunicaciones Electrónicas;1006 instituciones de la Unión Europea y función pública europea
388;Agencia de aprovisionamiento CEEA;USE;Agencia de Abastecimiento de Euratom;1016 construcción europea
3654;Agencia de coordinación de la investigación europea;USE;Eureka;6416 investigación y propiedad intelectual
7938;Agencia de la Unión Europea para la Ciberseguridad;;;1006 instituciones de la Unión Europea y función pública europea
5630;Agencia de la Unión Europea para la Cooperación Policial;USE;Europol;1016 construcción europea
447917;Agencia de la Unión Europea para la Cooperación de los Reguladores de la Energía;;;1006 instituciones de la Unión Europea y función pública europea
7986;Agencia de la Unión Europea para la Formación Policial;USE;CEPOL;1016 construcción europea
6219;Agencia de los Derechos Fundamentales de la Unión Europea;;;1006 instituciones de la Unión Europea y función pública europea
447660;Agencia del GNSS Europeo;;;1006 instituciones de la Unión Europea y función pública europea
6723;Agencia europea para el refuerzo de la cooperación judicial;USE;Eurojust;1016 construcción europea
428;Agencia para la Energía Nuclear;;;7621 organizaciones mundiales
5658;Agrupación Europea de Interés Económico;;;4016 forma jurídica de la sociedad
6252;Ahvenanmaa;USE;Islas Åland;7211 regiones de los Estados miembros de la UE
6252;Ahvenanmaa;USE;Islas Åland;7236 geografía política
6252;Alanda;USE;Islas Åland;7211 regiones de los Estados miembros de la UE
6252;Alanda;USE;Islas Åland;7236 geografía política
8499;Alba;;;7211 regiones de los Estados miembros de la UE
1125;Albania;;;7206 Europa
1125;Albania;;;7231 geografía económica
1125;Albania;;;7236 geografía política
1318;Alemania;;;7206 Europa
1318;Alemania;;;7231 geografía económica
1318;Alemania;;;7236 geografía política
1318;Alemania Federal;USE;Alemania;7206 Europa
1318;Alemania Federal;USE;Alemania;7231 geografía económica
1318;Alemania Federal;USE;Alemania;7236 geografía política
1318;Alemania Occidental;USE;Alemania;7206 Europa
1318;Alemania Occidental;USE;Alemania;7231 geografía económica
1318;Alemania Occidental;USE;Alemania;7236 geografía política
1308;Alemania Oriental;USE;Alemania RDA;7236 geografía política
1308;Alemania RDA;;;7236 geografía política
1318;Alemania RF;USE;Alemania;7206 Europa
1318;Alemania RF;USE;Alemania;7231 geografía económica
1318;Alemania RF;USE;Alemania;7236 geografía política
1308;Alemania del Este;USE;Alemania RDA;7236 geografía política
1177;Alentejo;;;7211 regiones de los Estados miembros de la UE
1187;Algarbe;;;7211 regiones de los Estados miembros de la UE
2199;Alianza Atlántica;USE;OTAN;7621 organizaciones mundiales
c_5bad9438;Alianza del Pacífico;;;7616 organizaciones extraeuropeas
7869;Alitus;;;7211 regiones de los Estados miembros de la UE
5845;Alpes;USE;región alpina;1616 región y política regional
1430;Alsacia;;;7211 regiones de los Estados miembros de la UE
6195;Alta Austria;;;7211 regiones de los Estados miembros de la UE
5327;Alta Autoridad;USE;CECA;1016 construcción europea
c_e6d358a0;Alta Croacia;;;7211 regiones de los Estados miembros de la UE
1235;Alta Normandía;;;7211 regiones de los Estados miembros de la UE
8385;Alto Comisionado de las Naciones Unidas para los Derechos Humanos;USE;Alto Comisionado para los Derechos Humanos;7606 Naciones Unidas
3710;Alto Comisionado de las Naciones Unidas para los Refugiados;USE;ACNUR;7606 Naciones Unidas
8385;Alto Comisionado para los Derechos Humanos;;;7606 Naciones Unidas
6288;Alto Representante de la Unión para Asuntos Exteriores y Política de Seguridad;;;1006 instituciones de la Unión Europea y función pública europea
6288;Alto Representante para la PESC;USE;Alto Representante de la Unión para Asuntos Exteriores y Política de Seguridad;1006 instituciones de la Unión Europea y función pública europea
1236;Alto Volta;USE;Burkina Faso;7221 África
1236;Alto Volta;USE;Burkina Faso;7231 geografía económica
c_bbd07d89;Altos de Francia;;;7211 regiones de los Estados miembros de la UE
1664;Amnistía Internacional;;;7626 organizaciones no gubernamentales
1587;América;;;7216 América
1606;América Central;;;7216 América
1632;América Latina;;;7216 América
1615;América anglosajona;USE;América del Norte;7216 América
1615;América del Norte;;;7216 América
1624;América del Sur;;;7216 América
1873;Andalucía;;;7211 regiones de los Estados miembros de la UE
1874;Andorra;;;7206 Europa
1874;Andorra;;;7236 geografía política
1876;Angola;;;7221 África
1876;Angola;;;7231 geografía económica
3402;Anguila;;;7216 América
3402;Anguila;;;7241 países y territorios de ultramar
3402;Anguilla;USE;Anguila;7216 América
3402;Anguilla;USE;Anguila;7241 países y territorios de ultramar
3401;Antigua;USE;Antigua y Barbuda;7216 América
3401;Antigua;USE;Antigua y Barbuda;7231 geografía económica
