season,series,datetime,demand_mw
summer,Forecasted,2024-07-15T17:05:00.000+02:00,34361
summer,Forecasted,2024-07-15T17:10:00.000+02:00,34418
summer,Forecasted,2024-07-15T17:15:00.000+02:00,34471
summer,Forecasted,2024-07-15T17:20:00.000+02:00,34522
summer,Forecasted,2024-07-15T17:25:00.000+02:00,34569
summer,Forecasted,2024-07-15T17:30:00.000+02:00,34613
summer,Forecasted,2024-07-15T17:35:00.000+02:00,34655
summer,Forecasted,2024-07-15T17:40:00.000+02:00,34695
summer,Forecasted,2024-07-15T17:45:00.000+02:00,34733
summer,Forecasted,2024-07-15T17:50:00.000+02:00,34770
summer,Forecasted,2024-07-15T17:55:00.000+02:00,34806
summer,Forecasted,2024-07-15T18:00:00.000+02:00,34839
summer,Forecasted,2024-07-15T18:05:00.000+02:00,34875
summer,Forecasted,2024-07-15T18:10:00.000+02:00,34917
summer,Forecasted,2024-07-15T18:15:00.000+02:00,34963
summer,Forecasted,2024-07-15T18:20:00.000+02:00,35011
summer,Forecasted,2024-07-15T18:25:00.000+02:00,35055
summer,Forecasted,2024-07-15T18:30:00.000+02:00,35095
summer,Forecasted,2024-07-15T18:35:00.000+02:00,35146
summer,Forecasted,2024-07-15T18:40:00.000+02:00,35223
summer,Forecasted,2024-07-15T18:45:00.000+02:00,35326
summer,Forecasted,2024-07-15T18:50:00.000+02:00,35396
summer,Forecasted,2024-07-15T18:55:00.000+02:00,35376
summer,Forecasted,2024-07-15T19:00:00.000+02:00,35265
summer,Forecasted,2024-07-15T19:05:00.000+02:00,35155
summer,Forecasted,2024-07-15T19:10:00.000+02:00,35134
summer,Forecasted,2024-07-15T19:15:00.000+02:00,35205
summer,Forecasted,2024-07-15T19:20:00.000+02:00,35308
summer,Forecasted,2024-07-15T19:25:00.000+02:00,35384
summer,Forecasted,2024-07-15T19:30:00.000+02:00,35435
summer,Forecasted,2024-07-15T19:35:00.000+02:00,35472
summer,Forecasted,2024-07-15T19:40:00.000+02:00,35507
summer,Forecasted,2024-07-15T19:45:00.000+02:00,35540
summer,Forecasted,2024-07-15T19:50:00.000+02:00,35577
summer,Forecasted,2024-07-15T19:55:00.000+02:00,35628
summer,Forecasted,2024-07-15T20:00:00.000+02:00,35692
summer,Forecasted,2024-07-15T20:05:00.000+02:00,35750
summer,Forecasted,2024-07-15T20:10:00.000+02:00,35784
summer,Forecasted,2024-07-15T20:15:00.000+02:00,35793
summer,Forecasted,2024-07-15T20:20:00.000+02:00,35789
summer,Forecasted,2024-07-15T20:25:00.000+02:00,35783
summer,Forecasted,2024-07-15T20:30:00.000+02:00,35777
summer,Forecasted,2024-07-15T20:35:00.000+02:00,35762
summer,Forecasted,2024-07-15T20:40:00.000+02:00,35731
summer,Forecasted,2024-07-15T20:45:00.000+02:00,35684
summer,Forecasted,2024-07-15T20:50:00.000+02:00,35640
summer,Forecasted,2024-07-15T20:55:00.000+02:00,35617
summer,Forecasted,2024-07-15T21:00:00.000+02:00,35616
summer,Forecasted,2024-07-15T21:05:00.000+02:00,35611
summer,Forecasted,2024-07-15T21:10:00.000+02:00,35575
summer,Forecasted,2024-07-15T21:15:00.000+02:00,35508
summer,Forecasted,2024-07-15T21:20:00.000+02:00,35425
summer,Forecasted,2024-07-15T21:25:00.000+02:00,35341
summer,Forecasted,2024-07-15T21:30:00.000+02:00,35256
summer,Forecasted,2024-07-15T21:35:00.000+02:00,35164
summer,Forecasted,2024-07-15T21:40:00.000+02:00,35062
summer,Forecasted,2024-07-15T21:45:00.000+02:00,34949
summer,Forecasted,2024-07-15T21:50:00.000+02:00,34829
summer,Forecasted,2024-07-15T21:55:00.000+02:00,34706
summer,Forecasted,2024-07-15T22:00:00.000+02:00,34579
summer,Forecasted,2024-07-15T22:05:00.000+02:00,34445
summer,Forecasted,2024-07-15T22:10:00.000+02:00,34298
summer,Forecasted,2024-07-15T22:15:00.000+02:00,34137
summer,Forecasted,2024-07-15T22:20:00.000+02:00,33965
summer,Forecasted,2024-07-15T22:25:00.000+02:00,33784
summer,Forecasted,2024-07-15T22:30:00.000+02:00,33594
summer,Forecasted,2024-07-15T22:35:00.000+02:00,33393
summer,Forecasted,2024-07-15T22:40:00.000+02:00,33182
summer,Forecasted,2024-07-15T22:45:00.000+02:00,32961
summer,Forecasted,2024-07-15T22:50:00.000+02:00,32744
summer,Forecasted,2024-07-15T22:55:00.000+02:00,32549
summer,Forecasted,2024-07-15T23:00:00.000+02:00,32375
summer,Forecasted,2024-07-15T23:05:00.000+02:00,32203
summer,Forecasted,2024-07-15T23:10:00.000+02:00,32016
summer,Forecasted,2024-07-15T23:15:00.000+02:00,31812
summer,Forecasted,2024-07-15T23:20:00.000+02:00,31612
summer,Forecasted,2024-07-15T23:25:00.000+02:00,31436
summer,Forecasted,2024-07-15T23:30:00.000+02:00,31283
summer,Forecasted,2024-07-15T23:35:00.000+02:00,31133
summer,Forecasted,2024-07-15T23:40:00.000+02:00,30964
summer,Forecasted,2024-07-15T23:45:00.000+02:00,30777
summer,Forecasted,2024-07-15T23:50:00.000+02:00,30626
summer,Forecasted,2024-07-15T23:55:00.000+02:00,30568
summer,Scheduled,2024-07-15T00:00:00.000+02:00,27927
summer,Scheduled,2024-07-15T00:05:00.000+02:00,27927
summer,Scheduled,2024-07-15T00:10:00.000+02:00,27927
summer,Scheduled,2024-07-15T00:15:00.000+02:00,27512
summer,Scheduled,2024-07-15T00:20:00.000+02:00,27512
summer,Scheduled,2024-07-15T00:25:00.000+02:00,27512
summer,Scheduled,2024-07-15T00:30:00.000+02:00,27020
summer,Scheduled,2024-07-15T00:35:00.000+02:00,27020
summer,Scheduled,2024-07-15T00:40:00.000+02:00,27020
summer,Scheduled,2024-07-15T00:45:00.000+02:00,26830
summer,Scheduled,2024-07-15T00:50:00.000+02:00,26830
summer,Scheduled,2024-07-15T00:55:00.000+02:00,26830
summer,Scheduled,2024-07-15T01:00:00.000+02:00,26285
summer,Scheduled,2024-07-15T01:05:00.000+02:00,26285
summer,Scheduled,2024-07-15T01:10:00.000+02:00,26285
summer,Scheduled,2024-07-15T01:15:00.000+02:00,25935
summer,Scheduled,2024-07-15T01:20:00.000+02:00,25935
summer,Scheduled,2024-07-15T01:25:00.000+02:00,25935
summer,Scheduled,2024-07-15T01:30:00.000+02:00,25381
summer,Scheduled,2024-07-15T01:35:00.000+02:00,25381
summer,Scheduled,2024-07-15T01:40:00.000+02:00,25381
summer,Scheduled,2024-07-15T01:45:00.000+02:00,25141
summer,Scheduled,2024-07-15T01:50:00.000+02:00,25141
summer,Scheduled,2024-07-15T01:55:00.000+02:00,25141
summer,Scheduled,2024-07-15T02:00:00.000+02:00,24800
summer,Scheduled,2024-07-15T02:05:00.000+02:00,24800
summer,Scheduled,2024-07-15T02:10:00.000+02:00,24800
summer,Scheduled,2024-07-15T02:15:00.000+02:00,24370
summer,Scheduled,2024-07-15T02:20:00.000+02:00,24370
summer,Scheduled,2024-07-15T02:25:00.000+02:00,24370
summer,Scheduled,2024-07-15T02:30:00.000+02:00,24120
summer,Scheduled,2024-07-15T02:35:00.000+02:00,24120
summer,Scheduled,2024-07-15T02:40:00.000+02:00,24120
summer,Scheduled,2024-07-15T02:45:00.000+02:00,23953
summer,Scheduled,2024-07-15T02:50:00.000+02:00,23953
summer,Scheduled,2024-07-15T02:55:00.000+02:00,23953
summer,Scheduled,2024-07-15T03:00:00.000+02:00,23862
summer,Scheduled,2024-07-15T03:05:00.000+02:00,23862
summer,Scheduled,2024-07-15T03:10:00.000+02:00,23862
summer,Scheduled,2024-07-15T03:15:00.000+02:00,23722
summer,Scheduled,2024-07-15T03:20:00.000+02:00,23722
summer,Scheduled,2024-07-15T03:25:00.000+02:00,23722
summer,Scheduled,2024-07-15T03:30:00.000+02:00,23602
summer,Scheduled,2024-07-15T03:35:00.000+02:00,23602
summer,Scheduled,2024-07-15T03:40:00.000+02:00,23602
summer,Scheduled,2024-07-15T03:45:00.000+02:00,23582
summer,Scheduled,2024-07-15T03:50:00.000+02:00,23582
summer,Scheduled,2024-07-15T03:55:00.000+02:00,23582
summer,Scheduled,2024-07-15T04:00:00.000+02:00,23430
summer,Scheduled,2024-07-15T04:05:00.000+02:00,23430
summer,Scheduled,2024-07-15T04:10:00.000+02:00,23430
summer,Scheduled,2024-07-15T04:15:00.000+02:00,23318
summer,Scheduled,2024-07-15T04:20:00.000+02:00,23318
summer,Scheduled,2024-07-15T04:25:00.000+02:00,23318
summer,Scheduled,2024-07-15T04:30:00.000+02:00,23418
summer,Scheduled,2024-07-15T04:35:00.000+02:00,23418
summer,Scheduled,2024-07-15T04:40:00.000+02:00,23418
summer,Scheduled,2024-07-15T04:45:00.000+02:00,23668
summer,Scheduled,2024-07-15T04:50:00.000+02:00,23668
summer,Scheduled,2024-07-15T04:55:00.000+02:00,23668
summer,Scheduled,2024-07-15T05:00:00.000+02:00,23740
summer,Scheduled,2024-07-15T05:05:00.000+02:00,23740
summer,Scheduled,2024-07-15T05:10:00.000+02:00,23740
summer,Scheduled,2024-07-15T05:15:00.000+02:00,23910
summer,Scheduled,2024-07-15T05:20:00.000+02:00,23910
summer,Scheduled,2024-07-15T05:25:00.000+02:00,23910
summer,Scheduled,2024-07-15T05:30:00.000+02:00,24430
summer,Scheduled,2024-07-15T05:35:00.000+02:00,24430
summer,Scheduled,2024-07-15T05:40:00.000+02:00,24430
summer,Scheduled,2024-07-15T05:45:00.000+02:00,24980
summer,Scheduled,2024-07-15T05:50:00.000+02:00,24980
summer,Scheduled,2024-07-15T05:55:00.000+02:00,24980
summer,Scheduled,2024-07-15T06:00:00.000+02:00,25758
summer,Scheduled,2024-07-15T06:05:00.000+02:00,25758
