;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
201301;Enero de 2013;1;Andalucía;4;Almería;4087;Suflí;2;1;0;0;0;1;0;0;1;0;1
201301;Enero de 2013;1;Andalucía;4;Almería;4088;Tabernas;104;0;44;0;0;60;0;31;4;8;61
201301;Enero de 2013;1;Andalucía;4;Almería;4089;Taberno;15;0;7;0;0;8;0;6;0;0;9
201301;Enero de 2013;1;Andalucía;4;Almería;4090;Tahal;7;0;2;0;0;5;0;6;0;0;1
201301;Enero de 2013;1;Andalucía;4;Almería;4091;Terque;10;0;7;0;0;3;0;0;0;5;5
201301;Enero de 2013;1;Andalucía;4;Almería;4092;Tíjola;64;1;38;0;0;24;1;30;0;11;23
201301;Enero de 2013;1;Andalucía;4;Almería;4093;Turre;26;0;10;0;0;13;3;8;1;7;10
201301;Enero de 2013;1;Andalucía;4;Almería;4094;Turrillas;8;0;5;0;0;3;0;2;0;2;4
201301;Enero de 2013;1;Andalucía;4;Almería;4095;Uleila del Campo;24;0;10;0;0;14;0;5;1;0;18
201301;Enero de 2013;1;Andalucía;4;Almería;4096;Urrácal;16;0;8;0;0;8;0;11;0;0;5
201301;Enero de 2013;1;Andalucía;4;Almería;4097;Velefique;0;0;0;0;0;0;0;0;0;0;0
201301;Enero de 2013;1;Andalucía;4;Almería;4098;Vélez-Blanco;39;0;18;0;0;21;0;8;0;5;26
201301;Enero de 2013;1;Andalucía;4;Almería;4099;Vélez-Rubio;71;2;30;1;4;34;0;8;10;6;47
201301;Enero de 2013;1;Andalucía;4;Almería;4100;Vera;275;6;178;1;5;80;5;54;3;65;153
201301;Enero de 2013;1;Andalucía;4;Almería;4101;Viator;283;6;132;7;8;129;1;3;16;17;247
201301;Enero de 2013;1;Andalucía;4;Almería;4102;Vícar;635;7;312;2;0;310;4;313;15;30;277
201301;Enero de 2013;1;Andalucía;4;Almería;4103;Zurgena;14;0;5;0;0;9;0;7;0;0;7
201301;Enero de 2013;1;Andalucía;4;Almería;4901;Tres Villas, Las;1;0;0;0;0;1;0;1;0;0;0
201301;Enero de 2013;1;Andalucía;4;Almería;4902;Ejido, El;3545;48;1595;18;34;1837;13;1333;72;140;2000
201301;Enero de 2013;1;Andalucía;4;Almería;4903;Mojonera, La;277;3;122;1;4;147;0;153;13;0;111
201301;Enero de 2013;1;Andalucía;11;Cádiz;11001;Alcalá de los Gazules;243;0;174;0;0;69;0;131;2;5;105
201301;Enero de 2013;1;Andalucía;11;Cádiz;11002;Alcalá del Valle;464;0;232;0;0;232;0;293;2;6;163
201301;Enero de 2013;1;Andalucía;11;Cádiz;11003;Algar;37;0;13;0;0;24;0;5;0;5;27
201301;Enero de 2013;1;Andalucía;11;Cádiz;11004;Algeciras;1913;39;1115;39;36;638;46;35;109;239;1530
201301;Enero de 2013;1;Andalucía;11;Cádiz;11005;Algodonales;307;0;175;0;2;130;0;178;1;17;111
201301;Enero de 2013;1;Andalucía;11;Cádiz;11006;Arcos de la Frontera;1177;2;681;2;8;481;3;259;40;163;715
201301;Enero de 2013;1;Andalucía;11;Cádiz;11007;Barbate;362;6;231;0;3;120;2;17;80;104;161
201301;Enero de 2013;1;Andalucía;11;Cádiz;11008;Barrios, Los;616;12;375;16;18;186;9;68;132;102;314
201301;Enero de 2013;1;Andalucía;11;Cádiz;11009;Benaocaz;35;0;17;0;0;18;0;1;3;1;30
201301;Enero de 2013;1;Andalucía;11;Cádiz;11010;Bornos;154;1;102;0;1;50;0;46;4;41;63
201301;Enero de 2013;1;Andalucía;11;Cádiz;11011;Bosque, El;78;0;44;0;0;34;0;4;4;11;59
201301;Enero de 2013;1;Andalucía;11;Cádiz;11012;Cádiz;3860;32;2051;31;45;1661;40;53;267;354;3186
201301;Enero de 2013;1;Andalucía;11;Cádiz;11013;Castellar de la Frontera;138;0;112;0;0;25;1;92;1;2;43
