substation_name,provincia,municipio,utm_x,utm_y,available_capacity_mw,voltage_kv,distributor_network,latitude,longitude
3605,Albacete,Albacete,603778.109112699,4322254.99168226,0.0,132.0,i-DE,39.043202618677036,-1.800813011523232
3605,Albacete,Albacete,603778.109112699,4322254.99168226,0.0,20.0,i-DE,39.043202618677036,-1.800813011523232
3605,Albacete,Albacete,603778.109112699,4322254.99168226,0.0,20.0,i-DE,39.043202618677036,-1.800813011523232
3368,Albacete,Pozohondo,599707.964540099,4279594.36787977,0.0,132.0,i-DE,38.659314227124064,-1.8540204226878856
3640,Albacete,Albacete,587173.076855334,4310604.35103155,0.0,132.0,i-DE,38.94004549415719,-1.9941459140187623
3640,Albacete,Albacete,587173.076855334,4310604.35103155,0.0,20.0,i-DE,38.94004549415719,-1.9941459140187623
3640,Albacete,Albacete,587173.076855334,4310604.35103155,0.0,20.0,i-DE,38.94004549415719,-1.9941459140187623
3412,Albacete,Socovos,596931.652322112,4240157.76780191,0.0,132.0,i-DE,38.30428061856564,-1.8913810302077885
3351,Albacete,Tobarra,608631.743967347,4272582.00420302,0.0,132.0,i-DE,38.59508461805008,-1.7525731666778475
3351,Albacete,Tobarra,608631.743967347,4272582.00420302,0.0,20.0,i-DE,38.59508461805008,-1.7525731666778475
3559,Albacete,Villarrobledo,534609.139271263,4348440.85073536,0.0,132.0,i-DE,39.2846395193673,-2.598706159732986
3559,Albacete,Villarrobledo,534609.139271263,4348440.85073536,0.0,66.0,i-DE,39.2846395193673,-2.598706159732986
3559,Albacete,Villarrobledo,534609.139271263,4348440.85073536,0.0,20.0,i-DE,39.2846395193673,-2.598706159732986
3559,Albacete,Villarrobledo,534609.139271263,4348440.85073536,0.0,20.0,i-DE,39.2846395193673,-2.598706159732986
4243,Albacete,Alpera,651462.520763845,4311563.34693199,0.0,66.0,i-DE,38.9399363389747,-1.252377754598825
4123,Albacete,Bonete,643075.202541205,4305322.14817275,0.0,66.0,i-DE,38.885125871915854,-1.3504169673901327
4123,Albacete,Bonete,643075.202541205,4305322.14817275,0.0,20.0,i-DE,38.885125871915854,-1.3504169673901327
4123,Albacete,Bonete,643075.202541205,4305322.14817275,0.0,20.0,i-DE,38.885125871915854,-1.3504169673901327
4140,Albacete,Caudete,677345.776851033,4286767.84428893,0.0,66.0,i-DE,38.71177863607151,-0.9602767497265018
4140,Albacete,Caudete,677345.776851033,4286767.84428893,0.0,20.0,i-DE,38.71177863607151,-0.9602767497265018
4140,Albacete,Caudete,677345.776851033,4286767.84428893,0.0,20.0,i-DE,38.71177863607151,-0.9602767497265018
5080,Albacete,Casas de Ves,643139.778598021,4340816.01737606,0.0,66.0,i-DE,39.20482721802768,-1.3422148829496237
5088,Albacete,Liétor,584641.392590003,4266580.5211055,0.0,66.0,i-DE,38.54361897826129,-2.0287426358447656
5088,Albacete,Liétor,584641.392590003,4266580.5211055,0.0,20.0,i-DE,38.54361897826129,-2.0287426358447656
5086,Albacete,Jorquera,619333.927029311,4335292.53852409,0.0,66.0,i-DE,39.15866608787702,-1.6188161398314502
5086,Albacete,Jorquera,619333.927029311,4335292.53852409,0.0,20.0,i-DE,39.15866608787702,-1.6188161398314502
4202,Albacete,Chinchilla de Monte-Aragón,606853.313508456,4311624.77112694,0.0,66.0,i-DE,38.947061361103096,-1.7669490199389117
4202,Albacete,Chinchilla de Monte-Aragón,606853.313508456,4311624.77112694,0.0,20.0,i-DE,38.947061361103096,-1.7669490199389117
5238,Albacete,Caudete,677470.766759927,4286991.87053158,0.0,66.0,i-DE,38.713771150220786,-0.9587826387629894
4262,Albacete,Almansa,663154.151830455,4303712.674429,0.0,20.0,i-DE,38.86713087492359,-1.1194082591133516
4262,Albacete,Almansa,663154.151830455,4303712.674429,0.0,66.0,i-DE,38.86713087492359,-1.1194082591133516
4126,Albacete,Albacete,593649.365002449,4303275.48794926,0.0,66.0,i-DE,38.87334537982781,-1.9204313147151821
4126,Albacete,Albacete,593649.365002449,4303275.48794926,0.0,20.0,i-DE,38.87334537982781,-1.9204313147151821
4126,Albacete,Albacete,593649.365002449,4303275.48794926,0.0,20.0,i-DE,38.87334537982781,-1.9204313147151821
4007,Albacete,Albacete,597928.286815951,4315433.64838357,0.0,66.0,i-DE,38.98242055461776,-1.8693758805659604
4007,Albacete,Albacete,597928.286815951,4315433.64838357,0.0,20.0,i-DE,38.98242055461776,-1.8693758805659604
4007,Albacete,Albacete,597928.286815951,4315433.64838357,0.0,20.0,i-DE,38.98242055461776,-1.8693758805659604
4122,Albacete,Pozo Cañada,609404.054691321,4296574.46454089,0.0,66.0,i-DE,38.81115315527035,-1.7399182052971047
4122,Albacete,Pozo Cañada,609404.054691321,4296574.46454089,0.0,20.0,i-DE,38.81115315527035,-1.7399182052971047
4122,Albacete,Pozo Cañada,609404.054691321,4296574.46454089,0.0,20.0,i-DE,38.81115315527035,-1.7399182052971047
