substation_name,provincia,municipio,latitude,longitude,available_capacity_mw,distributor_network,voltage_kv,grid_status,is_friction
3057,Araba/Álava,Laudio/Llodio,43.14363373458771,-2.952192570837284,0.0,i-DE,132.0,Congested,True
3058,Burgos,Pinilla de los Barruecos,41.9431856791488,-3.295711637302384,0.0,i-DE,132.0,Congested,True
3060,Bizkaia,Abanto y Ciérvana-Abanto Zierbena,43.32842467924023,-3.0872923789060844,0.0,i-DE,132.0,Congested,True
3061,Salamanca,Villarino de los Aires,41.25283379658696,-6.489912995454122,0.0,i-DE,45.0,Congested,True
3062,Gipuzkoa,Zestoa,43.21561549726467,-2.2568061857033412,0.0,i-DE,132.0,Congested,True
3063,Cáceres,Abertura,39.21750912216819,-5.788580450023285,0.0,i-DE,132.0,Congested,True
3065,Gipuzkoa,Oiartzun,43.31295835737843,-1.88392500552958,0.0,i-DE,132.0,Congested,True
3066,Gipuzkoa,Aduna,43.20584117731662,-2.037362279460932,0.0,i-DE,132.0,Congested,True
3067,Navarra,Orkoien,42.81906173026193,-1.7089890198460866,0.0,i-DE,66.0,Congested,True
3068,Bizkaia,Ortuella,43.3143072668434,-3.0377045030850995,0.0,i-DE,132.0,Congested,True
3071,Albacete,Lezuza,38.96409616583647,-2.289032146818482,0.0,i-DE,132.0,Congested,True
3073,Bizkaia,Gatika,43.349569783767755,-2.880348896774105,0.0,i-DE,132.0,Congested,True
3074,"Rioja, La",Logroño,42.45796172665894,-2.4901784669923805,9.71,i-DE,66.0,Sufficient,False
3075,Navarra,Tudela,42.05091704885066,-1.615263587114424,34.03,i-DE,66.0,Sufficient,False
3078,Cáceres,Cáceres,39.47976204849065,-6.357791864574858,0.0,i-DE,45.0,Congested,True
3079,Madrid,Leganés,40.34636872775912,-3.782582125391507,0.0,i-DE,45.0,Congested,True
3080,Bizkaia,Barakaldo,43.28528535057748,-3.002025278077467,0.0,i-DE,132.0,Congested,True
3081,Zamora,Villalcampo,41.49121837168333,-6.088495143425717,112.34,i-DE,132.0,Sufficient,False
3082,Bizkaia,Zeanuri,43.079506476772465,-2.7352746111260906,0.0,i-DE,132.0,Congested,True
3083,Salamanca,Saucelle,41.043469450119815,-6.806917633188911,0.0,i-DE,45.0,Congested,True
3087,Valladolid,Medina del Campo,41.327532837003304,-4.911556332226568,0.0,i-DE,45.0,Congested,True
3088,Gipuzkoa,Donostia/San Sebastián,43.3039586162836,-1.9522924473442271,0.0,i-DE,132.0,Congested,True
3089,León,Garrafe de Torío,42.75011737345204,-5.611761391777184,0.0,i-DE,132.0,Congested,True
3090,León,León,42.55288403154566,-5.576142497355346,0.0,i-DE,132.0,Congested,True
3091,Burgos,Miranda de Ebro,42.69584865635379,-2.921204307745899,0.0,i-DE,30.0,Congested,True
3092,Bizkaia,Mungia,43.35147265105089,-2.821627412106159,0.0,i-DE,132.0,Congested,True
3093,Gipuzkoa,Oiartzun,43.30531239604166,-1.8431582776743096,3.52,i-DE,132.0,Moderate,True
3094,Madrid,Parla,40.22246491981526,-3.7650537927578145,0.0,i-DE,15.0,Congested,True
3095,Valladolid,Zaratán,41.639064123969106,-4.812729465713843,0.0,i-DE,45.0,Congested,True
3096,Salamanca,Villamayor,40.98964047962142,-5.689798854639535,0.0,i-DE,132.0,Congested,True
3097,Navarra,Tafalla,42.50259130384178,-1.68331961144026,1.0,i-DE,66.0,Moderate,True
3098,Badajoz,Don Benito,38.9479466991198,-5.852735971943249,0.0,i-DE,132.0,Congested,True
3099,Valencia/València,Aldaia,39.45166185762172,-0.5010661367933381,0.0,i-DE,20.0,Congested,True
3101,Araba/Álava,Vitoria-Gasteiz,42.88376311001866,-2.6031086140386908,0.0,i-DE,30.0,Congested,True
3102,Araba/Álava,Ayala/Aiara,43.08366894641058,-3.0110564737923857,0.0,i-DE,30.0,Congested,True
3103,Bizkaia,Bilbao,43.27750783084792,-2.952127657797962,0.0,i-DE,132.0,Congested,True
3105,Bizkaia,Güeñes,43.20374606317843,-3.104119963175255,0.0,i-DE,30.0,Congested,True
3106,Bizkaia,Lemoa,43.212032779731565,-2.7585177962025904,0.0,i-DE,132.0,Congested,True
3107,Gipuzkoa,Azpeitia,43.21301143727343,-2.2525103640946154,0.0,i-DE,132.0,Congested,True
3108,Salamanca,Béjar,40.3933237895866,-5.777967584649756,0.0,i-DE,132.0,Congested,True
3109,Navarra,Tudela,42.09756301322518,-1.6670946199542296,0.0,i-DE,66.0,Congested,True
3111,Cáceres,Navalmoral de la Mata,39.91107688912429,-5.510412992336891,0.0,i-DE,45.0,Congested,True
3112,Palencia,Palencia,41.99943500086659,-4.499246283656971,0.0,i-DE,45.0,Congested,True
3113,Navarra,Sangüesa/Zangoza,42.59850040613745,-1.275882847761134,33.73,i-DE,66.0,Sufficient,False
3117,Salamanca,Aldeadávila de la Ribera,41.208732900418326,-6.686390815914479,0.0,i-DE,45.0,Congested,True
3120,Bizkaia,Getxo,43.34398559516628,-2.9980417664683308,0.0,i-DE,132.0,Congested,True
3121,"Rioja, La",Quel,42.27815563189984,-2.0185250364212433,0.0,i-DE,66.0,Congested,True
3122,Bizkaia,Zaldibar,43.17505436705484,-2.5301032033756425,0.0,i-DE,132.0,Congested,True
3123,Bizkaia,Santurtzi,43.338176279619496,-3.052464917291534,0.0,i-DE,30.0,Congested,True
3124,Toledo,Toledo,39.85757586842092,-3.965395291852869,0.0,i-DE,132.0,Congested,True
3126,"Rioja, La",Arrúbal,42.41772824646206,-2.2523673024052635,0.0,i-DE,66.0,Congested,True
3127,Araba/Álava,Vitoria-Gasteiz,42.83630323296136,-2.746707035783041,0.0,i-DE,30.0,Congested,True
3128,Burgos,Trespaderne,42.79556140180706,-3.396243885448838,0.0,i-DE,132.0,Congested,True
3130,Salamanca,Salamanca,40.97724280530392,-5.643005815919576,0.0,i-DE,132.0,Congested,True
3135,Soria,Coscurita,41.438553718604766,-2.5036861866645745,0.0,i-DE,132.0,Congested,True
3139,Alicante/Alacant,Villena,38.71925606001461,-0.923730424614966,31.16,i-DE,132.0,Sufficient,False
3140,Araba/Álava,Lantarón,42.7653661499928,-3.0824054026313874,0.0,i-DE,132.0,Congested,True
3141,Burgos,Valle de Tobalina,42.78559087388668,-3.262208563169795,0.0,i-DE,132.0,Congested,True
3144,Cáceres,Casatejada,39.97550388417665,-5.703344844946114,6.0,i-DE,45.0,Sufficient,False
3145,Burgos,Merindad de Valdivielso,42.852877876513695,-3.637644677487604,0.0,i-DE,45.0,Congested,True
3155,Gipuzkoa,Donostia/San Sebastián,43.25762489485475,-2.036979828447975,0.0,i-DE,132.0,Congested,True
3156,Ourense,A Pobra de Trives,42.34467920465397,-7.281365673258312,70.0,i-DE,132.0,Sufficient,False
3158,Lugo,Quiroga,42.390228568204286,-7.172376323351513,35.0,i-DE,132.0,Sufficient,False
3159,Soria,Burgo de Osma-Ciudad de Osma,41.59261655504953,-3.0548188657712076,0.0,i-DE,132.0,Congested,True
3160,Madrid,Alcalá de Henares,40.492331567239894,-3.393300189480744,0.0,i-DE,132.0,Congested,True
3162,Valencia/València,Alginet,39.259670516687,-0.4592975658662374,0.0,i-DE,132.0,Congested,True
3167,Ávila,Langa,41.01908308691276,-4.870720607528016,0.0,i-DE,132.0,Congested,True
3168,Madrid,San Martín de Valdeiglesias,40.346161159359234,-4.444832769605586,0.0,i-DE,132.0,Congested,True
3169,Madrid,Villaviciosa de Odón,40.34947035225323,-3.903425124259077,0.0,i-DE,15.0,Congested,True
3170,Lugo,Ribas de Sil,42.45613729027779,-7.252664015962074,0.0,i-DE,132.0,Congested,True
3172,Madrid,Navas del Rey,40.33002062292865,-4.247483327347292,0.0,i-DE,132.0,Congested,True
3173,Ávila,El Tiemblo,40.42654274196897,-4.525087821671041,0.0,i-DE,132.0,Congested,True
3174,Ávila,El Tiemblo,40.41266535100589,-4.441629739704232,0.0,i-DE,132.0,Congested,True
3175,Salamanca,Pelayos,40.66720887094532,-5.600359962556521,0.0,i-DE,132.0,Congested,True
3186,Ourense,Chandrexa de Queixa,42.3198922205446,-7.347414235440043,0.0,i-DE,132.0,Congested,True
3187,Bizkaia,Zamudio,43.301250288023354,-2.864062947187423,0.0,i-DE,30.0,Congested,True
3188,Badajoz,Talarrubias,39.04388869474603,-5.227567498308357,0.0,i-DE,132.0,Congested,True
3189,Salamanca,Peñaranda de Bracamonte,40.92301167134431,-5.207177083496525,0.0,i-DE,132.0,Congested,True
3191,Madrid,Móstoles,40.34091116722373,-3.8832550887812327,0.0,i-DE,45.0,Congested,True
3192,Madrid,Pinto,40.25355464176503,-3.740011455991675,0.0,i-DE,45.0,Congested,True
3193,Bizkaia,Lemoiz,43.42930721167846,-2.8834952801042433,0.0,i-DE,132.0,Congested,True
3197,Salamanca,Villares de la Reina,41.00075902898339,-5.640108382723018,0.0,i-DE,132.0,Congested,True
3198,Alicante/Alacant,Calp,38.63989931588193,0.0186623996212846,0.0,i-DE,132.0,Congested,True
3199,Cáceres,Hervás,40.266977429481685,-5.908091358672675,0.0,i-DE,132.0,Congested,True
3201,Castellón/Castelló,Vall d'Alba,40.16634292598038,-0.0055031916352183,0.0,i-DE,132.0,Congested,True
3202,Alicante/Alacant,Elx/Elche,38.29944757727727,-0.6203304746347806,0.0,i-DE,20.0,Congested,True
3203,Alicante/Alacant,Benidorm,38.57461815716082,-0.1493907422660671,0.0,i-DE,132.0,Congested,True
3204,Araba/Álava,Barrundia,42.89255788839672,-2.450243646779712,0.0,i-DE,30.0,Congested,True
3210,Madrid,Algete,40.59298191486881,-3.5519200096488497,0.0,i-DE,66.0,Congested,True
3212,Madrid,Arroyomolinos,40.26394752852062,-3.9068228895622945,0.0,i-DE,45.0,Congested,True
3214,Madrid,Daganzo de Arriba,40.553474663028894,-3.479034558817652,0.0,i-DE,20.0,Congested,True
3221,Valencia/València,Benicull de Xúquer,39.18504242052895,-0.4021678837026837,0.0,i-DE,20.0,Congested,True
