segment_id,Carretera,road_prefix,PK_inicio,PK_fin,length_km,imd_total,imd_ligeros,imd_pesados,n_stations,is_tent,max_spacing_km,cod_prov
24,A-23,A,2.34,117.12,114.5190625,16353.517857142857,12831.30357142857,3522.214285714286,56.0,True,60,12
25,A-23,A,117.12,176.27,59.16262109375,10213.125,6920.875,3292.25,8.0,True,60,44
26,A-23,A,176.27,209.85,33.6176171875,8867.4375,6052.125,2815.3125,16.0,True,60,44
27,A-23,A,209.85,277.01,67.1852734375,12828.375,9959.5,2868.875,24.0,True,60,50
28,A-23,A,277.01,277.6,0.6664176635742187,19014.0,18389.75,624.25,4.0,False,120,50
29,A-23,A,291.3,298.43,7.13774072265625,18935.25,15754.75,3180.5,4.0,True,60,50
30,A-23,A,298.43,362.06,63.12998046875,19066.64285714286,16924.321428571428,2142.3214285714284,28.0,True,60,22
31,A-23,A,362.06,381.375,18.94403125,8993.75,8214.5,779.25,8.0,True,60,22
32,A-23,A,381.375,381.38,0.004020787715911865,11520.75,,,,False,120,22
33,A-23,A,381.38,384.526,2.755139404296875,11520.75,,,,True,60,22
34,A-23,A,384.526,384.53,0.01563569736480713,11520.75,,,,True,60,22
35,A-23,A,384.53,390.0,8.19111376953125,11520.75,,,,True,60,22
36,A-23,A,390.0,394.5,5.0231572265625,8007.0,7187.25,819.75,4.0,True,60,22
37,A-23,A,403.293,406.28,3.07336767578125,7183.5,6221.25,962.25,4.0,True,60,22
38,A-23,A,406.28,406.281,0.0010044301748275758,11520.75,,,,False,120,22
39,A-23,A,413.4,424.07,10.691798828125,7707.5,7095.5,612.0,4.0,True,60,22
40,A-23,A,424.07,424.108,0.022787527084350587,11520.75,,,,False,120,22
41,A-26,A,63.24,63.99,0.8772500610351562,14400.764705882353,,,,False,120,17
42,A-26,A,63.99,83.93,19.995333984375,14400.764705882353,13056.176470588236,1344.5882352941176,17.0,False,120,17
43,A-27,A,0.0,3.81,3.929346435546875,25707.833333333332,22228.333333333332,3479.5,12.0,True,60,43
44,A-27,A,3.81,29.309,25.31344921875,21133.75,18842.25,2291.5,12.0,True,60,43
45,A-3,A,3.8,6.833,2.991106201171875,44162.333333333336,42829.25,1333.0833333333333,12.0,False,120,28
46,A-3,A,6.833,33.17,26.125583984375,65651.55,61118.725,4532.825,40.0,True,60,28
47,A-3,A,33.17,80.42,47.0211484375,31633.25,27198.6875,4434.5625,16.0,True,60,28
48,A-3,A,80.42,84.91,4.57468994140625,28484.25,23749.5,4734.75,4.0,True,60,16
49,A-3,A,84.91,178.06,92.788640625,24078.96875,19464.75,4614.21875,32.0,True,60,16
50,A-3,A,178.06,327.47,148.867625,24586.291666666668,17633.770833333332,6952.520833333333,48.0,True,60,46
51,A-3,A,327.47,340.06,12.5045244140625,62115.5,50136.25,11979.25,12.0,True,60,46
52,A-3,A,340.06,348.26,8.10466943359375,61221.5,49442.25,11779.25,4.0,True,60,46
53,A-3,A,348.26,352.05,3.76862109375,37897.79166666667,,,,False,120,46
54,A-30,A,0.28,111.61,110.227515625,14681.022727272728,11638.75,3042.2727272727275,44.0,True,60,02
55,A-30,A,111.61,135.129,23.4965078125,46830.125,40247.3125,6582.8125,16.0,True,60,30
56,A-30,A,135.129,135.13,0.0008220828175544739,54109.732954545456,,,,False,120,30
57,A-55,A,26.78,31.23,4.72482861328125,21221.75,18672.875,2548.875,8.0,True,60,36
58,A-55,A,31.23,31.406,0.09074537658691406,36506.3125,,,,False,120,36
59,A-56,A,40.3,49.105,8.9974169921875,922.6666666666666,790.3333333333334,132.33333333333334,6.0,False,120,27
60,A-58,A,0.0,45.527,45.56689453125,4945.071428571428,4690.392857142857,254.67857142857142,28.0,False,120,10
61,A-5R,A,0.0,2.68,2.810882568359375,121782.25,116675.5,5106.75,4.0,False,120,28
62,A-6,A,7.5,11.15,3.716494140625,17205.75,,,,False,120,28
63,A-6,A,11.15,22.09,11.1392802734375,66503.95,63619.95,2884.0,20.0,True,60,28
64,A-6,A,22.09,39.56,17.788310546875,57399.9375,51291.0625,6108.875,16.0,True,60,28
65,A-6,A,110.5,110.57,0.05243044662475586,17205.75,,,,False,120,05
66,A-6,A,110.57,181.75,73.2580390625,19871.725,16170.55,3701.175,40.0,True,60,47
67,A-6,A,181.75,181.78,0.03821421051025391,17205.75,,,,True,60,47
68,A-6,A,181.78,183.92,2.669201904296875,17205.75,,,,True,60,47
69,A-6,A,183.92,255.2,71.70871875,16907.1,13328.05,3579.05,20.0,True,60,47
70,A-6,A,255.2,257.52,2.140528564453125,17205.75,13576.75,3629.0,4.0,True,60,49
71,A-6,A,257.52,268.34,11.163201171875,20716.166666666668,15089.916666666666,5626.25,12.0,True,60,49
72,A-6,A,268.34,323.62,54.98529296875,7338.464285714285,5465.964285714285,1872.5,28.0,True,60,24
73,A-6,A,323.62,388.19,64.77646484375,13365.4,10511.85,2853.55,20.0,True,60,24
74,A-6,A,388.19,488.51,100.492390625,9270.805555555555,6857.305555555556,2413.5,36.0,True,60,27
75,A-6,A,488.51,523.01,34.657640625,18134.5,15107.833333333334,3026.6666666666665,24.0,True,60,27
76,A-6,A,523.01,570.29,47.54838671875,17182.214285714286,14239.57142857143,2942.6428571428573,28.0,True,60,15
77,A-6,A,570.29,586.17,15.87676171875,17997.5,16045.5,1952.0,8.0,True,60,15
78,A-6,A,586.17,593.0,7.00185595703125,12487.5,11217.5,1270.0,4.0,False,120,15
79,A-60,A,0.0,15.57,15.2130498046875,9084.0,8080.25,1003.75,8.0,False,120,47
80,A-60,A,103.38,131.74,27.004623046875,10717.5,9377.0,1340.5,12.0,False,120,24
81,A-62,A,7.6,87.81,80.677390625,13926.395833333334,8987.9375,4938.458333333333,48.0,True,60,09
82,A-62,A,87.81,118.3,30.6676953125,28764.6,22532.95,6231.65,20.0,True,60,47
83,A-62,A,118.3,125.09,6.8295625,27673.25,22420.25,5253.0,8.0,True,60,47
84,A-62,A,125.09,151.98,27.0466875,39567.4375,33098.5,6468.9375,16.0,True,60,47
85,A-62,A,153.36,155.28,1.9296767578125,19825.25,13872.75,5952.5,4.0,True,60,47
86,A-62,A,155.28,238.7,83.838578125,13113.272727272728,9187.977272727272,3925.2954545454545,44.0,True,60,49
87,A-62,A,238.7,243.95,5.276296875,26745.25,20929.5,5815.75,4.0,True,60,37
88,A-62,A,243.95,352.166,108.7586875,8017.0,5273.795454545455,2743.2045454545455,44.0,True,60,37
89,A-62,A,352.166,352.17,0.003999267578125,19825.25,,,,False,120,37
90,A-62,A,352.17,355.346,3.192255126953125,5353.0,2790.0,2563.0,1.0,True,60,37
91,A-63,A,0.34,30.65,30.408619140625,12148.875,11415.833333333334,733.0416666666666,24.0,False,120,33
92,A-63R,A,0.0,2.8,2.33743310546875,5740.9375,,,,False,120,33
93,A-64,A,0.0,31.85,32.297521484375,25337.5,23637.875,1699.625,16.0,True,60,33
94,A-65,A,0.23,11.38,10.7217568359375,7984.0,6646.916666666667,1337.0833333333333,12.0,True,60,34
95,A-66,A,11.24,24.07,12.587216796875,52440.5,48611.75,3828.75,4.0,True,60,33
96,A-66,A,24.07,32.28,8.364625,43787.25,40390.416666666664,3396.8333333333335,12.0,True,60,33
97,A-66,A,32.28,46.83,14.578580078125,25299.666666666668,23050.916666666668,2248.75,12.0,True,60,33
98,A-66,A,46.83,65.08,18.1367265625,18215.0,16143.833333333334,2071.1666666666665,12.0,True,60,33
99,A-66,A,65.08,65.1,0.018184913635253906,13543.339583333334,,,,False,120,33
100,A-66,A,143.1,152.4,9.197583984375,10966.5,9314.875,1651.625,8.0,True,60,24
101,A-66,A,152.4,205.61,53.26650390625,11197.875,9356.75,1841.125,16.0,True,60,24
102,A-66,A,205.61,207.41,1.697255859375,13543.339583333334,,,,True,60,49
103,A-66,A,216.5,267.3,51.22741015625,6660.6875,5457.125,1203.5625,16.0,True,60,49
104,A-66,A,267.3,276.1,8.7889072265625,7160.25,6190.0,970.25,8.0,True,60,49
105,A-66,A,276.1,336.5,62.704640625,7929.71875,6790.65625,1139.0625,32.0,True,60,49
106,A-66,A,339.85,343.07,3.36603076171875,21576.75,17572.75,4004.0,4.0,True,60,37
107,A-66,A,343.07,478.66,129.5529609375,11010.085714285715,8619.171428571428,2390.9142857142856,70.0,True,60,37
