segment_id,route_segment,corridor,is_tent,daily_bev_traffic_2027,seasonal_multiplier,n_chargers_det,n_chargers_abm,n_chargers_stoch,delta_seasonal,delta_mc_noise,simulated_charging_rate,capacity_kw_abm
115,A-67,Atlantic,True,625.2,1.5,4,4,4,0,0,0.1275,600
116,A-67,Atlantic,True,1805.0,1.5,5,7,7,2,0,0.123,1050
117,A-67,Atlantic,False,605.3,1.5,2,3,3,1,0,0.1235,450
118,A-68,Atlantic,False,892.8,1.5,2,3,4,1,1,0.1365,450
119,A-68,Atlantic,False,671.6,1.5,2,3,3,1,0,0.127,450
120,A-68,Atlantic,False,892.8,1.5,2,3,3,1,0,0.1125,450
121,A-68,Atlantic,False,1642.5,1.5,4,6,6,2,0,0.13,900
122,A-68,Atlantic,False,1091.1,1.5,3,4,4,1,0,0.1185,600
123,A-68,Atlantic,False,884.2,1.5,2,3,4,1,1,0.1225,450
124,A-7,Mediterranean,False,1120.5,2.5,3,7,7,4,0,0.1305,1050
125,A-7,Mediterranean,False,1482.9,2.5,4,9,9,5,0,0.1265,1350
126,A-7,Mediterranean,True,2854.8,2.5,7,12,12,5,0,0.1275,1800
127,A-7,Mediterranean,True,2302.0,2.5,6,12,12,6,0,0.125,1800
128,A-7,Mediterranean,True,2562.1,2.5,6,12,12,6,0,0.121,1800
129,A-7,Mediterranean,True,2061.1,2.5,5,12,12,7,0,0.1405,1800
130,A-7,Mediterranean,False,682.8,2.5,2,4,5,2,1,0.1285,600
131,A-7,Mediterranean,False,1482.9,2.5,4,9,9,5,0,0.1205,1350
132,A-7,Mediterranean,True,84.0,2.5,4,4,4,0,0,0.136,600
133,A-7,Mediterranean,True,1814.1,2.5,5,11,12,6,1,0.133,1650
134,A-7,Mediterranean,True,1652.0,2.5,4,10,10,6,0,0.1215,1500
135,A-7,Mediterranean,True,1313.8,2.5,4,8,9,4,1,0.1345,1200
136,A-7,Mediterranean,True,492.4,2.5,4,4,4,0,0,0.1345,600
137,A-7,Mediterranean,False,1110.5,2.5,3,7,6,4,-1,0.116,1050
138,A-70,Mediterranean,True,2590.7,2.5,6,12,12,6,0,0.1275,1800
139,A-70,Mediterranean,True,2355.0,2.5,6,12,12,6,0,0.123,1800
140,A-70,Mediterranean,True,1898.7,2.5,5,11,11,6,0,0.125,1650
141,A-73,Mediterranean,True,177.5,2.5,4,4,4,0,0,0.1215,600
142,A-73,Mediterranean,False,177.5,2.5,2,2,2,0,0,0.1305,300
143,A-73R,Mediterranean,False,107.1,2.5,2,2,2,0,0,0.1275,300
144,A-75,Mediterranean,True,118.5,2.5,4,4,4,0,0,0.139,600
145,A-75,Mediterranean,True,118.5,2.5,4,4,4,0,0,0.1255,600
146,A-77,Mediterranean,False,658.6,2.5,2,4,4,2,0,0.125,600
147,A-77A,Mediterranean,False,1165.9,2.5,3,7,8,4,1,0.14,1050
148,A-79,Mediterranean,False,339.9,2.5,2,2,3,0,1,0.1305,300
149,A-8,Atlantic,True,675.9,1.5,4,4,4,0,0,0.1095,600
150,A-8,Atlantic,False,675.9,1.5,2,3,3,1,0,0.12,450
151,A-8,Atlantic,True,675.9,1.5,4,4,4,0,0,0.1265,600
152,A-8,Atlantic,True,1254.5,1.5,4,5,5,1,0,0.121,750
153,A-8,Atlantic,True,715.9,1.5,4,4,4,0,0,0.1365,600
154,A-8,Atlantic,True,1474.9,1.5,4,5,6,1,1,0.129,750
155,A-8,Atlantic,True,957.4,1.5,4,4,4,0,0,0.129,600
156,A-8,Atlantic,True,399.9,1.5,4,4,4,0,0,0.121,600
157,A-8,Atlantic,True,534.1,1.5,4,4,4,0,0,0.1425,600
158,A-8,Atlantic,True,708.6,1.5,4,4,4,0,0,0.116,600
159,AP-7R,Mediterranean,False,988.0,2.5,3,6,7,3,1,0.143,900
160,AP-9,Atlantic,True,1025.8,1.5,4,4,4,0,0,0.115,600
161,AP-9,Atlantic,True,760.4,1.5,4,4,4,0,0,0.12,600
162,AP-9,Atlantic,True,551.7,1.5,4,4,4,0,0,0.115,600
163,AP-9,Atlantic,True,914.2,1.5,4,4,4,0,0,0.125,600
164,AP-9,Atlantic,True,1456.0,1.5,4,5,5,1,0,0.1165,750
165,AP-9,Atlantic,True,753.2,1.5,4,4,4,0,0,0.137,600
166,AP-9,Atlantic,False,216.6,1.5,2,2,2,0,0,0.113,300
167,AP-9F,Atlantic,True,664.3,1.5,4,4,4,0,0,0.119,600
168,AP-9V,Atlantic,False,1758.6,1.5,4,6,7,2,1,0.1235,900
169,N-1,Standard,False,146.8,1.0,2,2,2,0,0,0.152,300
170,N-1,Standard,False,86.2,1.0,2,2,2,0,0,0.1345,300
171,N-1,Standard,False,86.2,1.0,2,2,2,0,0,0.129,300
172,N-1,Standard,False,86.2,1.0,2,2,2,0,0,0.127,300
173,N-1,Standard,False,111.7,1.0,2,2,2,0,0,0.124,300
174,N-1,Standard,False,86.2,1.0,2,2,2,0,0,0.1145,300
175,N-1,Standard,False,17.1,1.0,2,2,2,0,0,0.134,300
176,N-1,Standard,False,86.2,1.0,2,2,2,0,0,0.1165,300
