segment_id,route_segment,daily_bev_traffic_2027,n_chargers_needed,seasonal_multiplier,is_tent,tent_tier,imd_total,length_km
139,A-70,2355.0,12,2.5,True,core,68688.8,4.953470703125
140,A-70,1898.7,11,2.5,True,core,55379.0,9.2824970703125
141,A-73,177.5,4,2.5,True,comprehensive,5178.0,9.9518994140625
142,A-73,177.5,2,2.5,False,none,5178.0,0.3244554748535156
143,A-73R,107.1,2,2.5,False,none,3124.0,0.5280252075195313
144,A-75,118.5,4,2.5,True,comprehensive,3455.6,12.754431640625
145,A-75,118.5,4,2.5,True,comprehensive,3455.6,0.0017716336250305177
146,A-77,658.6,4,2.5,False,none,19208.0,7.2349716796875
147,A-77A,1165.9,7,2.5,False,none,34006.2,3.6365458984375
148,A-79,339.9,2,2.5,False,none,9915.0,6.572265625
149,A-8,675.9,4,1.5,True,core,19712.4,8.8744453125
150,A-8,675.9,3,1.5,False,none,19712.4,0.310095458984375
151,A-8,675.9,4,1.5,True,core,19712.4,9.209908203125
152,A-8,1254.5,5,1.5,True,core,36589.0,59.98544140625
153,A-8,715.9,4,1.5,True,core,20879.9,30.457134765625
154,A-8,1474.9,5,1.5,True,core,43017.5,1.0172723388671876
155,A-8,957.4,4,1.5,True,core,27924.2,43.00023828125
156,A-8,399.9,4,1.5,True,core,11662.4,20.94788671875
157,A-8,534.1,4,1.5,True,core,15577.8,65.724734375
158,A-8,708.6,4,1.5,True,core,20668.9,18.912595703125
159,AP-7R,988.0,6,2.5,False,none,28815.3,2.117697509765625
160,AP-9,1025.8,4,1.5,True,core,29918.2,11.162439453125
161,AP-9,760.4,4,1.5,True,core,22177.8,2.0422757568359375
162,AP-9,551.7,4,1.5,True,core,16090.0,51.50725390625
163,AP-9,914.2,4,1.5,True,core,26663.8,65.25265234375
164,AP-9,1456.0,5,1.5,True,core,42467.0,27.3904921875
165,AP-9,753.2,4,1.5,True,comprehensive,21969.2,2.328515380859375
166,AP-9,216.6,2,1.5,False,none,6317.1,15.741556640625
167,AP-9F,664.3,4,1.5,True,comprehensive,19375.5,36.20519140625
168,AP-9V,1758.6,6,1.5,False,none,51292.5,4.68233544921875
169,N-1,146.8,2,1.0,False,none,4282.0,3.8854140625
170,N-1,86.2,2,1.0,False,none,2513.0,0.40038104248046874
171,N-1,86.2,2,1.0,False,none,2513.0,3.093501953125
172,N-1,86.2,2,1.0,False,none,2513.0,2.056424072265625
173,N-1,111.7,2,1.0,False,none,3256.9,71.6010625
174,N-1,86.2,2,1.0,False,none,2513.0,1.8425579833984376
175,N-1,17.1,2,1.0,False,none,498.0,3.472529541015625
176,N-1,86.2,2,1.0,False,none,2513.0,1.5472586669921875
177,N-110,45.9,2,1.0,False,none,1339.4,22.8813125
178,N-110,120.8,2,1.0,False,none,3523.3,0.004893952369689941
179,N-110,68.2,2,1.0,False,none,1988.6,37.8539609375
180,N-110,109.3,2,1.0,False,none,3189.1,52.59285546875
181,N-110,200.7,2,1.0,False,none,5853.8,4.11115966796875
182,N-110,132.3,2,1.0,False,none,3857.6,51.64276171875
183,N-110,138.0,2,1.0,False,none,4024.6,144.57571875
184,N-110A,43.3,2,1.0,False,none,1261.8,4.955947265625
185,N-110A,1.4,2,1.0,False,none,41.0,1.547527099609375
186,N-110A,5.5,2,1.0,False,none,159.5,1.5315350341796874
187,N-110A,5.1,2,1.0,False,none,147.5,1.39512451171875
188,N-110A,0.3,2,1.0,False,none,9.5,1.1863839111328125
189,N-110A,5.1,2,1.0,False,none,147.5,1.61374072265625
190,N-111,151.3,2,1.0,False,none,4412.4,4.8315888671875
191,N-111,11.1,2,1.0,False,none,322.8,38.5884140625
192,N-111,8.3,2,1.0,False,none,243.4,12.7927724609375
193,N-111,230.9,2,1.0,False,none,6734.2,2.898229248046875
194,N-111,151.3,2,1.0,False,none,4412.4,96.147578125
195,N-111,757.5,2,1.0,False,none,22094.8,1.140230224609375
196,N-111A,0.9,2,1.0,False,none,27.0,10.7633505859375
197,N-111R,6.8,2,1.0,False,none,199.2,1.347956787109375
198,N-113,179.2,4,1.0,True,comprehensive,5227.6,16.587392578125
199,N-113,147.5,2,1.0,False,none,4300.8,1.499635498046875
200,N-113,147.5,4,1.0,True,comprehensive,4300.8,4.74687060546875
201,N-113,115.7,4,1.0,True,comprehensive,3373.9,3.4979150390625
202,N-113,147.5,4,1.0,True,comprehensive,4300.8,18.76801171875
203,N-120,86.8,2,1.0,False,none,2532.0,1.9832606201171874
204,N-120,60.6,2,1.0,False,none,1768.8,27.961087890625
205,N-120,161.3,2,1.0,False,none,4703.8,60.0671171875
206,N-120,163.0,2,1.0,False,none,4754.3,0.8075451049804687
207,N-120,67.4,2,1.0,False,none,1965.2,55.484109375
208,N-120,12.9,2,1.0,False,none,376.8,90.1682890625
209,N-120,163.0,2,1.0,False,none,4754.3,0.8124131469726562
210,N-120,163.0,4,1.0,True,comprehensive,4754.3,2.460872802734375
211,N-120,422.4,4,1.0,True,comprehensive,12319.5,3.802884521484375
212,N-120,297.3,4,1.0,True,comprehensive,8672.2,1.1892943115234376
213,N-120,163.0,4,1.0,True,comprehensive,4754.3,0.5033509216308594
214,N-120,337.0,2,1.0,False,none,9829.9,34.17252734375
215,N-120,164.7,2,1.0,False,none,4804.8,74.3466640625
216,N-120,163.0,2,1.0,False,none,4754.3,2.20559765625
217,N-120,173.2,2,1.0,False,none,5051.8,62.6248515625
218,N-120,163.0,2,1.0,False,none,4754.3,1.1029691162109374
219,N-120,213.2,2,1.0,False,none,6218.8,0.5570244140625
220,N-120,163.0,2,1.0,False,none,4754.3,0.3593700866699219
221,N-125,299.9,4,1.0,True,comprehensive,8748.2,4.61203125
222,N-125,299.9,4,1.0,True,comprehensive,8748.2,1.520674560546875
223,N-126,226.9,2,1.0,False,none,6616.5,1.719106201171875
224,N-141,14.4,2,1.0,False,none,419.8,8.2955078125
225,N-145,476.2,2,1.0,False,none,13888.6,9.1598134765625
226,N-152,269.5,4,1.0,True,comprehensive,7859.8,1.742572509765625
227,N-154,245.6,2,1.0,False,none,7164.2,1.4635465087890625
228,N-154,231.9,2,1.0,False,none,6762.8,4.65664892578125
229,N-155,66.9,2,1.0,False,none,1952.5,0.5685567626953125
230,N-156,255.8,2,1.0,False,none,7462.0,0.5299515380859375
231,N-156,173.5,2,1.0,False,none,5060.8,1.0523287353515625
232,N-1A,421.4,2,1.0,False,none,12290.0,1.1157965087890624
233,N-1A,515.3,2,1.0,False,none,15031.0,0.42210958862304687
234,N-1A,156.6,2,1.0,False,none,4566.2,2.6125771484375
235,N-1A,104.1,2,1.0,False,none,3035.0,5.44273486328125
236,N-1A,119.4,2,1.0,False,none,3481.6,1.9096358642578124
237,N-1A,16.2,2,1.0,False,none,473.2,1.40176953125
238,N-1A,119.4,2,1.0,False,none,3481.6,2.478205810546875
239,N-1A,8.1,2,1.0,False,none,235.0,1.277353759765625
240,N-1A,119.4,2,1.0,False,none,3481.6,0.6323081665039062
241,N-1A,134.7,2,1.0,False,none,3928.2,2.248974609375
242,N-1A,180.5,2,1.0,False,none,5264.0,2.381689208984375
243,N-211A,4.5,2,1.0,False,none,131.2,5.6124736328125
244,N-211A,4.5,2,1.0,False,none,131.2,1.7263199462890626
245,N-220,1244.1,3,1.0,False,none,36286.2,2.0344532470703127
246,N-223,143.6,2,1.0,False,none,4187.8,1.0463436279296876
247,N-223,390.9,2,1.0,False,none,11402.5,1.11464697265625
248,N-223,267.3,2,1.0,False,none,7795.1,0.387302978515625
249,N-225,184.6,2,1.0,False,none,5383.6,15.1883349609375
250,N-225,251.4,2,1.0,False,none,7333.8,4.160353515625
251,N-225,226.8,2,1.0,False,none,6615.8,0.8128204345703125
252,N-225,124.7,2,1.0,False,none,3637.5,3.5724169921875
253,N-225A,2.4,2,1.0,False,none,70.2,6.22325439453125
254,N-230,126.5,2,1.0,False,none,3689.6,0.12367517852783202
255,N-230,134.5,4,1.0,True,comprehensive,3924.0,114.4248671875
256,N-230,118.5,4,1.0,True,comprehensive,3455.3,64.02562109375
257,N-232,158.4,2,1.0,False,none,4619.7,0.3575226135253906
258,N-232,136.0,2,1.0,False,none,3966.0,72.464609375
259,N-232,163.2,2,1.0,False,none,4761.1,133.743015625
260,N-232,537.9,2,1.0,False,none,15689.1,9.459
261,N-232,158.4,2,1.0,False,none,4619.7,3.313265869140625
262,N-232,158.4,2,1.0,False,none,4619.7,1.246544921875
263,N-232,254.6,2,1.0,False,none,7426.3,68.7138203125
264,N-232,153.5,2,1.0,False,none,4478.4,55.91087890625
265,N-232,45.2,2,1.0,False,none,1319.1,86.573796875
266,N-232A,6.3,2,1.0,False,none,183.5,0.523946533203125
267,N-232A,6.3,2,1.0,False,none,183.5,0.17424932861328124
