segment_id,route_segment,imd_total,daily_bev_traffic_2027,seasonal_multiplier,simulated_charging_rate,n_chargers_stochastic,is_tent,tent_tier
188,N-110A,9.5,0.3,1.0,0.1215,2,False,None
189,N-110A,147.5,5.1,1.0,0.121,2,False,None
190,N-111,4412.4,151.3,1.0,0.1265,2,False,None
191,N-111,322.8,11.1,1.0,0.13,2,False,None
192,N-111,243.4,8.3,1.0,0.13,2,False,None
193,N-111,6734.2,230.9,1.0,0.131,2,False,None
194,N-111,4412.4,151.3,1.0,0.123,2,False,None
195,N-111,22094.8,757.5,1.0,0.125,2,False,None
196,N-111A,27.0,0.9,1.0,0.1185,2,False,None
197,N-111R,199.2,6.8,1.0,0.121,2,False,None
198,N-113,5227.6,179.2,1.0,0.1295,4,True,Comprehensive
199,N-113,4300.8,147.5,1.0,0.127,2,False,None
200,N-113,4300.8,147.5,1.0,0.122,4,True,Comprehensive
201,N-113,3373.9,115.7,1.0,0.121,4,True,Comprehensive
202,N-113,4300.8,147.5,1.0,0.134,4,True,Comprehensive
203,N-120,2532.0,86.8,1.0,0.1165,2,False,None
204,N-120,1768.8,60.6,1.0,0.1305,2,False,None
205,N-120,4703.8,161.3,1.0,0.116,2,False,None
206,N-120,4754.3,163.0,1.0,0.1185,2,False,None
207,N-120,1965.2,67.4,1.0,0.123,2,False,None
208,N-120,376.8,12.9,1.0,0.128,2,False,None
209,N-120,4754.3,163.0,1.0,0.1265,2,False,None
210,N-120,4754.3,163.0,1.0,0.1195,4,True,Comprehensive
211,N-120,12319.5,422.4,1.0,0.12,4,True,Comprehensive
212,N-120,8672.2,297.3,1.0,0.1325,4,True,Comprehensive
213,N-120,4754.3,163.0,1.0,0.138,4,True,Comprehensive
214,N-120,9829.9,337.0,1.0,0.1365,2,False,None
215,N-120,4804.8,164.7,1.0,0.1135,2,False,None
216,N-120,4754.3,163.0,1.0,0.1345,2,False,None
217,N-120,5051.8,173.2,1.0,0.1335,2,False,None
218,N-120,4754.3,163.0,1.0,0.1325,2,False,None
219,N-120,6218.8,213.2,1.0,0.1265,2,False,None
220,N-120,4754.3,163.0,1.0,0.1145,2,False,None
221,N-125,8748.2,299.9,1.0,0.1275,4,True,Comprehensive
222,N-125,8748.2,299.9,1.0,0.1365,4,True,Comprehensive
223,N-126,6616.5,226.9,1.0,0.117,2,False,None
224,N-141,419.8,14.4,1.0,0.1155,2,False,None
225,N-145,13888.6,476.2,1.0,0.128,2,False,None
226,N-152,7859.8,269.5,1.0,0.13,4,True,Comprehensive
227,N-154,7164.2,245.6,1.0,0.1215,2,False,None
228,N-154,6762.8,231.9,1.0,0.1315,2,False,None
229,N-155,1952.5,66.9,1.0,0.1165,2,False,None
230,N-156,7462.0,255.8,1.0,0.139,2,False,None
231,N-156,5060.8,173.5,1.0,0.1105,2,False,None
232,N-1A,12290.0,421.4,1.0,0.141,2,False,None
233,N-1A,15031.0,515.3,1.0,0.1235,2,False,None
234,N-1A,4566.2,156.6,1.0,0.122,2,False,None
235,N-1A,3035.0,104.1,1.0,0.1255,2,False,None
236,N-1A,3481.6,119.4,1.0,0.124,2,False,None
237,N-1A,473.2,16.2,1.0,0.1365,2,False,None
238,N-1A,3481.6,119.4,1.0,0.129,2,False,None
239,N-1A,235.0,8.1,1.0,0.1205,2,False,None
240,N-1A,3481.6,119.4,1.0,0.1245,2,False,None
241,N-1A,3928.2,134.7,1.0,0.1265,2,False,None
242,N-1A,5264.0,180.5,1.0,0.124,2,False,None
243,N-211A,131.2,4.5,1.0,0.127,2,False,None
244,N-211A,131.2,4.5,1.0,0.141,2,False,None
245,N-220,36286.2,1244.1,1.0,0.129,3,False,None
246,N-223,4187.8,143.6,1.0,0.125,2,False,None
247,N-223,11402.5,390.9,1.0,0.1065,2,False,None
248,N-223,7795.1,267.3,1.0,0.1225,2,False,None
249,N-225,5383.6,184.6,1.0,0.1225,2,False,None
250,N-225,7333.8,251.4,1.0,0.1285,2,False,None
251,N-225,6615.8,226.8,1.0,0.1285,2,False,None
252,N-225,3637.5,124.7,1.0,0.126,2,False,None
253,N-225A,70.2,2.4,1.0,0.1035,2,False,None
254,N-230,3689.6,126.5,1.0,0.128,2,False,None
255,N-230,3924.0,134.5,1.0,0.1185,4,True,Comprehensive
256,N-230,3455.3,118.5,1.0,0.131,4,True,Comprehensive
257,N-232,4619.7,158.4,1.0,0.1335,2,False,None
258,N-232,3966.0,136.0,1.0,0.1315,2,False,None
259,N-232,4761.1,163.2,1.0,0.1365,2,False,None
260,N-232,15689.1,537.9,1.0,0.1215,2,False,None
261,N-232,4619.7,158.4,1.0,0.134,2,False,None
262,N-232,4619.7,158.4,1.0,0.12,2,False,None
263,N-232,7426.3,254.6,1.0,0.1185,2,False,None
264,N-232,4478.4,153.5,1.0,0.1195,2,False,None
265,N-232,1319.1,45.2,1.0,0.1325,2,False,None
266,N-232A,183.5,6.3,1.0,0.1245,2,False,None
267,N-232A,183.5,6.3,1.0,0.117,2,False,None
268,N-232A,77.0,2.6,1.0,0.132,2,False,None
269,N-232A,8.0,0.3,1.0,0.1365,2,False,None
270,N-232A,183.5,6.3,1.0,0.141,2,False,None
271,N-232A,290.0,9.9,1.0,0.1315,2,False,None
272,N-232A,183.5,6.3,1.0,0.136,2,False,None
273,N-232A,6.5,0.2,1.0,0.1215,2,False,None
274,N-232A,183.5,6.3,1.0,0.129,2,False,None
275,N-232A,67.5,2.3,1.0,0.1245,2,False,None
276,N-232A,183.5,6.3,1.0,0.1365,2,False,None
277,N-232A,17.5,0.6,1.0,0.13,2,False,None
278,N-232A,569.5,19.5,1.0,0.1295,2,False,None
279,N-232A,183.5,6.3,1.0,0.107,2,False,None
280,N-232A,4713.2,161.6,1.0,0.127,2,False,None
281,N-232A,2255.5,77.3,1.0,0.146,2,False,None
282,N-232A,183.5,6.3,1.0,0.133,2,False,None
283,N-232A,589.0,20.2,1.0,0.1285,2,False,None
284,N-240,2176.6,74.6,1.0,0.1275,2,False,None
285,N-240,3616.2,124.0,1.0,0.1225,2,False,None
286,N-240,12070.0,413.8,1.0,0.1205,4,True,Comprehensive
287,N-240,1574.9,54.0,1.0,0.1335,2,False,None
288,N-240,5838.2,200.2,1.0,0.1215,2,False,None
289,N-240,5838.2,200.2,1.0,0.129,2,False,None
