;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201003;Marzo de 2010;7;Castilla y León;47;Valladolid;26379;21202;4673;504;0
201003;Marzo de 2010;7;Castilla y León;49;Zamora;7986;5884;1934;168;0
201003;Marzo de 2010;8;Castilla - La Mancha;2;Albacete;23141;16138;6350;653;0
201003;Marzo de 2010;8;Castilla - La Mancha;13;Ciudad Real;28645;19919;8186;540;0
201003;Marzo de 2010;8;Castilla - La Mancha;16;Cuenca;9877;7090;2623;164;0
201003;Marzo de 2010;8;Castilla - La Mancha;19;Guadalajara;15623;12647;2895;81;0
201003;Marzo de 2010;8;Castilla - La Mancha;45;Toledo;43861;33647;9694;520;0
201003;Marzo de 2010;9;Cataluña;8;Barcelona;380367;310983;67373;2011;0
201003;Marzo de 2010;9;Cataluña;17;Girona;49160;37352;11606;202;0
201003;Marzo de 2010;9;Cataluña;25;Lleida;21657;17068;4469;120;0
201003;Marzo de 2010;9;Cataluña;43;Tarragona;55386;42360;12617;409;0
201003;Marzo de 2010;10;Comunitat Valenciana;3;Alicante/Alacant;117757;81730;32400;3627;0
201003;Marzo de 2010;10;Comunitat Valenciana;12;Castellón/Castelló;50872;41300;9376;196;0
201003;Marzo de 2010;10;Comunitat Valenciana;46;Valencia/Valéncia;167327;129855;35226;2246;0
201003;Marzo de 2010;11;Extremadura;6;Badajoz;44288;22758;14298;2059;5173
201003;Marzo de 2010;11;Extremadura;10;Cáceres;25230;14192;7001;544;3493
201003;Marzo de 2010;12;Galicia;15;Coruña, A;55402;40504;13705;1193;0
201003;Marzo de 2010;12;Galicia;27;Lugo;13442;9718;3429;295;0
201003;Marzo de 2010;12;Galicia;32;Ourense;14687;9657;4609;421;0
201003;Marzo de 2010;12;Galicia;36;Pontevedra;55647;40570;13970;1107;0
201003;Marzo de 2010;13;Madrid, Comunidad de;28;Madrid;354102;293697;58127;2278;0
201003;Marzo de 2010;14;Murcia, Región de;30;Murcia;90994;67717;21680;1597;0
201003;Marzo de 2010;15;Navarra, Comunidad Foral de;31;Navarra;36256;29557;6485;214;0
201003;Marzo de 2010;16;País Vasco;1;Araba/Álava;17634;14939;2636;59;0
201003;Marzo de 2010;16;País Vasco;20;Gipuzkoa;36880;31332;5348;200;0
201003;Marzo de 2010;16;País Vasco;48;Bizkaia;55543;46422;8780;341;0
201003;Marzo de 2010;17;Rioja, La;26;Rioja, La;17414;13993;3276;145;0
