40004 AGUILAFUENTE,                 155
40024 AYLLON,                   438
40032 BOCEGUILLAS,                  306
40040 CANTALEJO,                1163
40041 CANTIMPALOS,                201
40043 CARBONERO EL MAYOR,            1017
40057 COCA,                  718
40063 CUELLAR,               2130
40065 CHAÑE,                 165
40076 ESPINAR (EL),                2138
40086 FUENTEPELAYO,                 19
40088 FUENTERREBOLLO,                  95
40112 LASTRILLA (LA),                 484
40113 LOSA (LA),                285
40138 NAVA DE LA ASUNCION,                  534
40141 NAVALMANZANO,                  71
40145 NAVAS DE ORO,                118
40149 OLOMBRADA,               50
40152 OTERO DE HERREROS,                 18
40155 PALAZUELOS DE ERESMA,                 661
40162 PRADENA,               151
40170 RIAZA,                  231
40179 SANCHONUÑO,                176
40180 SANGARCIA,                 62
40181 REAL SITIO DE SAN ILDEFONSO,              1325
40185 SANTA MARIA LA REAL DE NIEVA,                  239
40194 SEGOVIA,            12041
40195 SEPULVEDA,             208
40203 TORRECABALLEROS,              319
40207 TRESCASAS,                 121
40208 TUREGANO,                   70
40216 VALVERDE DEL MAJANO,              433
40225 VILLACASTIN,                  287
40228 VILLAVERDE DE ISCAR,                    7
40906 SAN CRISTOBAL DE SEGOVIA,                438
42004 AGREDA,                479
42019 ALMARZA,                    65
42020 ALMAZAN,            1245
42025 ARCOS DE JALON,               283
42035 BERLANGA DE DUERO,                 58
42043 BURGO DE OSMA-CIUDAD DE OSMA,                   841
42055 CASAREJOS,                  18
42069 COVALEDA,                 202
42078 DURUELO DE LA SIERRA,          63
42095 GOLMAYO,               629
42096 GOMARA,                  23
42103 LANGA DE DUERO,             39
42129 NAVALENO,                   62
42134 OLVEGA,                  655
42144 QUINTANA REDONDA,                    39
42162 SAN ESTEBAN DE GORMAZ,                 647
42164 SAN LEONARDO DE YAGÜE,                 303
42165 SAN PEDRO MANRIQUE,                   86
42173 SORIA,               8924
42215 VINUESA,                   388
47004 ALAEJOS,                    57
47007 ALDEAMAYOR DE SAN MARTIN,                 574
47010 ARROYO DE LA ENCOMIENDA,               3087
47011 ATAQUINES,                  34
47015 BECILLA DE VALDERADUEY,                34
47020 BOBADILLA DEL CAMPO,                 46
47023 BOECILLO,                    640
47027 CABEZON DE PISUERGA,                   373
47030 CAMPASPERO,                 44
47035 CARPIO,                    88
47043 CASTROMONTE,                   125
47045 CASTRONUÑO,                 83
47050 CIGALES,                824
47052 CISTERNIGA,                 967
47053 COGECES DE ISCAR,                   9
47054 COGECES DEL MONTE,                   20
47061 ESGUEVILLAS DE ESGUEVA,                  48
47065 FRESNO EL VIEJO,                    26
47066 FUENSALDAÑA,                  150
47075 ISCAR,                   1167
47076 LAGUNA DE DUERO,              4199
47082 MATAPOZUELOS,                   94
47084 MAYORGA,                  100
47085 MEDINA DEL CAMPO,            3337
47086 MEDINA DE RIOSECO,              825
47087 MEGECES,                14
47090 MOJADOS,                  438
47093 MONTEMAYOR DE PILILLA,             30
47097 MOTA DEL MARQUES,                  29
47101 NAVA DEL REY,                155
47104 OLMEDO,                   998
47111 PEDRAJA DE PORTILLO (LA),                   74
47112 PEDRAJAS DE SAN ESTEBAN,                    405
47114 PEÑAFIEL,               1120
47122 PORTILLO,                  565
47123 POZAL DE GALLINAS,                  34
47124 POZALDEZ,                43
47129 QUINTANILLA DE ONESIMO,                269
47133 RENEDO DE ESGUEVA,               514
47139 RUEDA,                 57,
47145 SAN MIGUEL DEL ARROYO,                 30
47155 SANTOVENIA DE PISUERGA,               373
47158 SECA (LA),              62
47159 SERRADA,                  78
47161 SIMANCAS,                481
47165 TORDESILLAS,               1776
47171 TORRELOBATON,                  27
47175 TUDELA DE DUERO,                1201
47182 VALDESTILLAS,                 105
47184 VALORIA LA BUENA,                 45
47186 VALLADOLID,              35494
47193 VIANA DE CEGA,              130
47194 VILORIA,                   9
47197 VILLABRAGIMA,                122
47214 VILLALON DE CAMPOS,                  320
47217 VILLANUBLA,                  395
47218 VILLANUEVA DE DUERO,                  65
47231 ZARATAN,                    640
49003 ALCAÑICES,                  264
49007 ALMARAZ DE DUERO,                  6
49008 ALMEIDA DE SAYAGO,                 18
49021 BENAVENTE,              2612
49023 BERMILLO DE SAYAGO,                  277
49024 BOVEDA DE TORO (LA),                    38
49029 BURGANES DE VALVERDE,                     32
49033 CAMARZANA DE TERA,                302
49036 CARBAJALES DE ALBA,                   21
49053 CORESES,                   142
49054 CORRALES DEL VINO,                  72
49058 CUBO DE TIERRA DEL VINO (EL),                  28
49065 FERMOSELLE,                  34
49066 FERRERAS DE ABAJO,                 49
49071 FONFRIA,                  10
49080 FUENTELAPEÑA,                     15
49081 FUENTESAUCO,                   314
49085 GALENDE,                    101
49090 GEMA,                    60
49093 GUARRATE,                   38
49100 LUBIAN,                   6
49104 MAHIDE,                   4
49122 MONFARRACINOS,                 187
49125 MORALEJA DEL VINO,                  163
49126 MORALEJA DE SAYAGO,                  10
49127 MORALES DEL VINO,                 224
49128 MORALES DE REY,                 45
49129 MORALES DE TORO,                  93
49135 MUELAS DEL PAN,                     9
49136 MUGA DE SAYAGO,                184
49143 PALACIOS DE SANABRIA,                  56
49166 PUEBLA DE SANABRIA,                440
49176 RIOFRIO DE ALISTE,                   22
49187 SAN CRISTOBAL DE ENTREVIÑAS,                   106
49193 SAN PEDRO DE CEQUE,               18
49200 SANTA CRISTINA DE LA POLVOROSA,            106
49206 SANTIBAÑEZ DE VIDRIALES,                  86
49209 SAN VITERO,                   12
49214 TABARA,               80
49219 TORO,               1377
49242 VILLAFAFILA,                 35
49250 VILLALPANDO,                288
49260 VILLANUEVA DEL CAMPO,            56
49261 VILLARALBO,                   154
49268 VILLARRIN DE CAMPOS,              53
49275 ZAMORA,            9842
