node_name_voltage,pss_number,substation_code,electrical_system,autonomous_community,possible_connection_transport,possible_connection_distribution,possible_connection_overall,wscr_nodal_capacity_mw,wscr_nodal_margin_mw,wscr_limiting_criterion,static_generation_nodal_capacity_mw,static_generation_zone,static_generation_nodal_margin_mw,static_generation_zonal_margin_mw,static_generation_limiting_scope,static_storage_nodal_capacity_mw,static_storage_zone,static_storage_nodal_margin_mw,static_storage_zonal_margin_mw,static_storage_limiting_scope
SANTA MARIA 66,39835,50553,SEB,Islas Baleares,SI,SI,SI,109,53,WSCR_Nudo,93,E21_SEB,26,1,Est_Gen_Zona,96,E21_SEB,26,1,Est_Alm_Zona
SANTA MARIA DE GRADO 400,11024,50554,SEPE,Principado de Asturias,NO,SI,SI,921,921,WSCR_Nudo,2203,N/A,2203,N/A,Est_Gen_Nudo,2665,N/A,2665,N/A,Est_Alm_Nudo
SANTA MARINA 220,21155,50555,SEPE,Castilla y León,SI,SI,SI,165,165,WSCR_Nudo,126,N/A,50,N/A,Est_Gen_Nudo,155,N/A,80,N/A,Est_Alm_Nudo
SANTA POLA 220,24244,50556,SEPE,Comunidad Valenciana,NO,SI,SI,130,130,WSCR_Nudo,931,"E259_SEPE, E38_SEPE",926,1253,Est_Gen_Nudo,935,"E259_SEPE, E38_SEPE",930,1378,Est_Alm_Nudo
SANTA PONSA 220,29925,50557,SEB,Islas Baleares,NO,NO,NO,11,11,WSCR_Nudo,319,"E08_SEB, E09_SEB",319,319,Est_Gen_Nudo/Est_Gen_Zona,392,"E08_SEB, E09_SEB",392,392,Est_Alm_Nudo/Est_Alm_Zona
SANTA PONSA 132,29935,50557,SEB,Islas Baleares,NO,NO,NO,6,6,WSCR_Nudo,449,E08_SEB,449,449,Est_Gen_Nudo/Est_Gen_Zona,521,E08_SEB,521,521,Est_Alm_Nudo/Est_Alm_Zona
SANTA PONSA 66,39945,50557,SEB,Islas Baleares,NO,NO,NO,6,6,WSCR_Nudo,319,E09_SEB,319,319,Est_Gen_Nudo/Est_Gen_Zona,392,E09_SEB,392,392,Est_Alm_Nudo/Est_Alm_Zona
SANTANYI 66,39890,50558,SEB,Islas Baleares,NO,SI,SI,47,16,WSCR_Nudo,101,N/A,53,N/A,Est_Gen_Nudo,113,N/A,64,N/A,Est_Alm_Nudo
SANTIAGO 220,21180,50559,SEPE,Galicia,SI,SI,SI,462,435,WSCR_Nudo,532,E175_SEPE,437,455,Est_Gen_Nudo,596,E175_SEPE,501,462,Est_Alm_Zona
SANTIAGO DE COMPOSTELA 220,21175,50560,SEPE,Galicia,SI,SI,SI,304,262,WSCR_Nudo,760,N/A,676,N/A,Est_Gen_Nudo,875,N/A,791,N/A,Est_Alm_Nudo
SANTIPONCE 220,25155,50561,SEPE,Andalucía,SI,SI,SI,766,604,WSCR_Nudo,1361,N/A,826,N/A,Est_Gen_Nudo,1437,N/A,901,N/A,Est_Alm_Nudo
SANTIZ 220,22188,50562,SEPE,Castilla y León,SI,NO,SI,315,1,WSCR_Nudo,550,E179_SEPE,146,512,Est_Gen_Nudo,614,E179_SEPE,210,592,Est_Alm_Nudo
SANTURCE 400,12070,50563,SEPE,País Vasco,NO,NO,NO,1014,1014,WSCR_Nudo,2520,E145_SEPE,2520,2115,Est_Gen_Zona,2721,E145_SEPE,2721,2266,Est_Alm_Zona
SANTURCE 220,22190,50563,SEPE,País Vasco,SI,SI,SI,701,501,WSCR_Nudo,587,E145_SEPE,50,2115,Est_Gen_Nudo,658,E145_SEPE,50,2266,Est_Alm_Nudo
SAUCELLE 220,22195,50564,SEPE,Castilla y León,SI,SI,SI,450,448,WSCR_Nudo,423,N/A,156,N/A,Est_Gen_Nudo,514,N/A,247,N/A,Est_Alm_Nudo
SAX 400,14125,50565,SEPE,Comunidad Valenciana,SI,NO,SI,1018,517,WSCR_Nudo,1682,N/A,1181,N/A,Est_Gen_Nudo,2311,N/A,1810,N/A,Est_Alm_Nudo
SEGORBE 220,24245,50566,SEPE,Comunidad Valenciana,SI,SI,SI,200,0,WSCR_Nudo,627,"E183_SEPE, E35_SEPE",427,74,Est_Gen_Zona,754,"E183_SEPE, E35_SEPE",553,74,Est_Alm_Zona
SEGOVIA 400,14103,50567,SEPE,Castilla y León,SI,NO,SI,972,448,WSCR_Nudo,2361,N/A,1837,N/A,Est_Gen_Nudo,2499,N/A,1975,N/A,Est_Alm_Nudo
SENTMENAT 400,13060,50568,SEPE,Cataluña,NO,NO,NO,212,212,WSCR_Nudo,2296,E91_SEPE,2296,2288,Est_Gen_Zona,2896,E91_SEPE,2896,2822,Est_Alm_Zona
SENTMENAT 220,23295,50568,SEPE,Cataluña,NO,SI,SI,840,780,WSCR_Nudo,1480,E91_SEPE,1472,2288,Est_Gen_Nudo,1806,E91_SEPE,1732,2822,Est_Alm_Nudo
SERNA 400,12060,50569,SEPE,Comunidad Foral de Navarra,SI,NO,SI,1473,644,WSCR_Nudo,3253,E138_SEPE,2424,2293,Est_Gen_Zona,4132,E138_SEPE,3303,2959,Est_Alm_Zona
SERNA 220,22100,50569,SEPE,Comunidad Foral de Navarra,SI,SI,SI,539,219,WSCR_Nudo,1409,E138_SEPE,1065,2293,Est_Gen_Nudo,1627,E138_SEPE,1283,2959,Est_Alm_Nudo
SES VELES 66,39891,50570,SEB,Islas Baleares,NO,SI,SI,42,6,WSCR_Nudo,193,N/A,148,N/A,Est_Gen_Nudo,199,N/A,154,N/A,Est_Alm_Nudo
SESUE 220,23080,50571,SEPE,Aragón,SI,NO,SI,352,192,WSCR_Nudo,301,E271_SEPE,112,1046,Est_Gen_Nudo,308,E271_SEPE,112,1046,Est_Alm_Nudo
SIDEGASA 220,21183,50572,SEPE,Galicia,NO,SI,SI,212,212,WSCR_Nudo,270,E2_SEPE,-21,1048,Est_Gen_Nudo,270,E2_SEPE,-21,1510,Est_Alm_Nudo
SIDENOR 220,22202,50573,SEPE,País Vasco,NO,SI,SI,590,590,WSCR_Nudo,361,E282_SEPE,361,361,Est_Gen_Nudo/Est_Gen_Zona,422,E282_SEPE,422,481,Est_Alm_Nudo
SIERO 220,21185,50574,SEPE,Principado de Asturias,NO,SI,SI,445,427,WSCR_Nudo,601,E320_SEPE,246,384,Est_Gen_Nudo,721,E320_SEPE,246,384,Est_Alm_Nudo
SILLEDA 400,11038,50575,SEPE,Galicia,SI,NO,SI,676,497,WSCR_Nudo,2172,E306_SEPE,1994,2966,Est_Gen_Nudo,2405,E306_SEPE,2226,4368,Est_Alm_Nudo
SIMANCAS 220,24246,UFD-50660,SEPE,Comunidad de Madrid,NO,SI,SI,869,869,WSCR_Nudo,534,N/A,534,N/A,Est_Gen_Nudo,696,N/A,696,N/A,Est_Alm_Nudo
SOBRADELO 220,21190,50576,SEPE,Galicia,SI,NO,SI,419,419,WSCR_Nudo,494,E175_SEPE,455,455,Est_Gen_Zona,552,E175_SEPE,513,462,Est_Alm_Zona
SOLLER 66,39930,VS-7061,SEB,Islas Baleares,NO,SI,SI,35,35,WSCR_Nudo,82,E14_SEB,82,95,Est_Gen_Nudo,83,E14_SEB,83,97,Est_Alm_Nudo
SOLORZANO 400,11008,50577,SEPE,Cantabria,NO,SI,SI,278,278,WSCR_Nudo,2999,E73_SEPE,2999,2969,Est_Gen_Zona,3032,E73_SEPE,3032,2969,Est_Alm_Zona
SOLORZANO 220,21008,50577,SEPE,Cantabria,SI,SI,SI,170,108,WSCR_Nudo,596,"E73_SEPE, E8_SEPE",548,419,Est_Gen_Zona,610,"E73_SEPE, E8_SEPE",548,419,Est_Alm_Zona
SON MOIX 220,29905,50760,SEB,Islas Baleares,NO,NO,NO,21,21,WSCR_Nudo,478,E10_SEB,478,478,Est_Gen_Nudo/Est_Gen_Zona,535,E10_SEB,535,547,Est_Alm_Nudo
SON MOIX 66,39905,50760,SEB,Islas Baleares,NO,NO,NO,58,58,WSCR_Nudo,313,E10_SEB,313,478,Est_Gen_Nudo,355,E10_SEB,355,547,Est_Alm_Nudo
SON OMS 66,39845,50578,SEB,Islas Baleares,NO,SI,SI,131,101,WSCR_Nudo,144,N/A,121,N/A,Est_Gen_Nudo,151,N/A,121,N/A,Est_Alm_Nudo
SON ORLANDIS 220,29845,50579,SEB,Islas Baleares,NO,NO,NO,236,236,WSCR_Nudo,295,E11_SEB,295,255,Est_Gen_Zona,434,E11_SEB,434,384,Est_Alm_Zona
SON ORLANDIS 66,39850,50579,SEB,Islas Baleares,SI,NO,SI,217,167,WSCR_Nudo,153,E11_SEB,113,255,Est_Gen_Nudo,234,E11_SEB,184,384,Est_Alm_Nudo
