request_id,request_received_date,request_type,transport_node_name_voltage,transport_position,autonomous_community,requested_access_capacity_mw,publication_month_end_date,contest_node
AUT-43565-25,2025-09-28,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,ATARFE 220,ATF220-CSPA1,Andalucía,0.24,,NO
AUT-35993-24,2024-12-12,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,ATARFE 220,ATF220-CSPA1,Andalucía,1,,NO
AUT-43715-25,2025-10-01,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,ELS AUBALS 220,AUB220-TRP3,Cataluña,0.24,,NO
GENT-AC9-38610-25,2025-03-19,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,ARROYO DE LA VEGA 220,AVG220-C1AV1,Comunidad de Madrid,80.94,,NO
AUT-37279-25,2025-02-03,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,ARROYO DE LA VEGA 220,AVG220-C1AV1,Comunidad de Madrid,23,,NO
GENT-AC1-44518-25,2025-11-03,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,ALVARADO 220,AVR220-SCAL,Extremadura,23,,NO
GENT-40140-25,2025-05-16,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,ALVARADO 220,AVR220-SCAL,Extremadura,21.9,,NO
GENT-39299-25,2025-04-11,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,ALVARADO 220,AVR220-SCAL,Extremadura,22,,NO
GENT-40020-25,2025-05-09,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,ALVARADO 220,AVR220-SCAL,Extremadura,22,,NO
GENT-39082-25,2025-04-07,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,ALVARADO 220,AVR220-SCAL,Extremadura,23,,NO
AUT-34648-24,2024-10-31,Solicitud de consumo en régimen de autoconsumo para instalación de consumo conectada en posición de evacuación de generación.,ALVARADO 220,AVR220-SCAL,Extremadura,23,,NO
DEA-31179-24,2024-06-07,Solicitud de consumo solicitando permiso en posición con motivación dedicada a la conexión de consumo.,AVE ZARAGOZA 220,AVZ220-CON1,Aragón,150,,SI
DEA-31373-24,2024-06-14,Solicitud de consumo solicitando permiso en posición con motivación dedicada a la conexión de consumo.,AVE ZARAGOZA 220,AVZ220-CON1,Aragón,150,,SI
DEA-30126-24,2024-05-01,Solicitud de consumo solicitando permiso en posición con motivación dedicada a la conexión de consumo.,AVE ZARAGOZA 220,"AVZ220-CON1, AVZ220-CON2",Aragón,300,,SI
GENT-AC5-38964-25,2025-03-28,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AVE ZARAGOZA 220,AVZ220-CSAZ,Aragón,40,,SI
GENT-AC5-39242-25,2025-04-09,Solicitud de almacenamiento conectado a la red de transporte que consume energía de la red.,AVE ZARAGOZA 220,AVZ220-CSAZ,Aragón,41.39,,SI
