Nombre y tensión del nudo;Nº PSS;Código Subestación;Sistema Eléctrico;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;;;;;;;CRITERIO ESTÁTICO GENERACIÓN;;;;;;;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;;;;;;;CRITERIO DINÁMICO;;;;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;;;;;;;;;;;;;;NTJ;;;;Capacidad reservada para concurso por resolución SEE/posible concurso/NTJ/autoconsumo RDL 6 2022;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso
;;;;;A red de transporte;;A red de distribución;;Posibilidad de conexión a la RdT;Posibilidad de conexión a la RdD;Posibilidad de conexión;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen nodal;Margen Binudo;Margen Binudo';Margen no ocupado;Margen no ocupado';Criterio limitante;¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal ';Margen no ocupado;Margen no ocupado';Ámbito limitante (E_Nudo/E_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen nodal;Margen zonal;Margen zonal';Limitación interna por configuración del nudo;Margen no ocupado;Margen no ocupado';Ámbito limitante  (D_Nudo/D_Zona);¿Existe en la bolsa algún nudo adiccional con capacidad reservada?;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;Capacidad de acceso otorgada MGE (Situación M);Capacidad de acceso otorgada MGE (Situación M-1);Diferencia;Capacidad de acceso otorgada MGE durante M;Capacidad liberada MGE durante M;MW solicitados en nudo en 4 años anteriores [MWins];Condición b) 1.º);MW solicitados en 4 años anteriores  en nudos conectados al nudo [MWinst];Condición b) 2.º);NUDOS que cumplen condiciones para convocatoria de concurso;Fecha límite de reserva por posible resolución concurso;Resolución de concurso;Fecha de resolución;NTJ;Concurso celebrado y capacidad asignada;Capacidad de acceso NTJ para MGES RDL 11/2022;Capacidad de acceso NTJ para MPE RDL 11/2022;Generación;;Almacenamiento;;;
MIRASIERRA 220;24178;50374;SEPE;Comunidad de Madrid;;;✓;;NO;SI;SI;761; N/A ;  ;761;N/A;N/A;761;761;WSCR_Nudo;N/A;541;N/A;536;N/A;N/A;536;536;Est_Gen_Nudo;N/A;623;N/A;618;N/A;N/A;618;618;Est_Alm_Nudo;N/A;780; N/A ;775;N/A;N/A;N/A;775;775;D_Nudo;N/A;5;5;0;0;0;5;0;0;0;0;0;0;0;0;536;536;618;618;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;536;536;618;618;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;5;5;0;0;0;0; NO ;1.525; SI ; NO ;;SI;03/08/2022;;;;;536;536;618;618;Concurso;
MOGAN 66;39135;52084;SEC;Canarias;;;;✓;NO;SI;SI;12; N/A ;  ;12;N/A;N/A;12;12;WSCR_Nudo;N/A;121;E07_SEC;121;68;68;68;68;Est_Gen_Zona;NO;122;E07_SEC;122;68;68;68;68;Est_Alm_Zona;NO;65; N/A ;65;N/A;N/A;N/A;65;65;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;12;65;12;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;0;0;0;0;;0;0;65;12;0;0;65;12;0;0;0;0;0;0; NO ;281; NO ; NO ;;;;;;;;;;;;;
MOLINES 66;39831;50375;SEB;Islas Baleares;;;✓;;NO;SI;SI;59; N/A ; Riesgo interacciones ;0;N/A;N/A;0;0;WSCR_Nudo;N/A;91;N/A;58;N/A;N/A;58;58;Est_Gen_Nudo;N/A;117;N/A;58;N/A;N/A;58;58;Est_Alm_Nudo;N/A;219; N/A ;160;N/A;N/A;N/A;160;160;D_Nudo;N/A;59;0;59;0;59;0;59;0;0;0;0;0;0;0;58;0;58;0;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;0;0;0;;0;0;58;0;0;0;58;0;59;59;0;0;0;73; NO ;329; NO ; NO ;;;;;;;;;;;;;
MONCAYO 220;23168;50376;SEPE;Castilla y León;;✓;✓;;SI;SI;SI;555; N/A ;  ;280;N/A;N/A;280;280;WSCR_Nudo;N/A;558;E338_SEPE;243;324;324;243;243;Est_Gen_Nudo;NO;561;E338_SEPE;246;417;417;246;246;Est_Alm_Nudo;NO;1.111; N/A ;796;N/A;N/A;N/A;796;796;D_Nudo;N/A;315;15;275;25;300;315;0;855;0;855;0;855;810;45;243;243;246;246;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;243;243;246;246;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;315;355;-40;0;40;2.659; SI ;1.181; SI ; NO ;;SI;11/05/2023;;;;;243;243;246;246;Concurso;
MONTALBANEJO 400;14200;52079;SEPE;Castilla-La Mancha;;✓;;;SI;NO;SI;638; N/A ;  ;638;N/A;N/A;638;638;WSCR_Nudo;N/A;2.412;E322_SEPE;2412;3104;3104;2.412;2.412;Est_Gen_Nudo;SI;3.108;E322_SEPE;3108;3114;3114;3.108;3.108;Est_Alm_Nudo;SI;1.291; N/A ;1291;N/A;N/A;1.291;1.291;1.291;D_Nudo;N/A;0;0;0;0;0;0;0;129;0;129;0;129;129;0;1.291;638;1.291;638;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;1.291;638;1.291;638;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;888; SI ; NO ;;SI;03/08/2022;;;;;1291;638;1291;638;Concurso;
MONTBLANC 220;23172;50378;SEPE;Cataluña;;;✓;;NO;SI;SI;159; N/A ;  ;122;N/A;N/A;122;122;WSCR_Nudo;N/A;1.050;N/A;1004;N/A;N/A;1.004;1.004;Est_Gen_Nudo;N/A;1.126;N/A;1080;N/A;N/A;1.080;1.080;Est_Alm_Nudo;N/A;821; N/A ;775;N/A;N/A;N/A;775;775;D_Nudo;N/A;46;0;37;9;46;46;0;9;0;9;0;9;9;0;775;122;775;122;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;775;122;775;122;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;46;41;5;0;0;46; NO ;723; SI ; NO ;;SI;03/08/2022;;;;;775;122;775;122;Concurso;
MONTEARENAS 400;11045;50379;SEPE;Castilla y León;✓;✓;;;SI;NO;SI;1.490; N/A ;  ;1.074;N/A;N/A;1.074;1.074;WSCR_Nudo;N/A;1.933;E76_SEPE;1185;1184;1184;1.184;1.184;Est_Gen_Zona;SI;2.136;E76_SEPE;1185;1184;1184;1.184;1.184;Est_Alm_Zona;SI;0; N/A ;-951;N/A;N/A;N/A;0;0;D_Nudo;N/A;951;535;416;0;416;416;535;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;951;951;0;0;0;0; NO ;3.947; SI ; NO ;;;;SI;;0;0;0;0;0;0;NTJ;
MONTEARENAS 220;21085;50379;SEPE;Castilla y León;✓;;;;SI;NO;SI;852; N/A ;  ;667;N/A;N/A;667;667;WSCR_Nudo;N/A;1.677;E5_SEPE, E76_SEPE;1492;1184;1184;1.184;1.184;Est_Gen_Zona;SI;1.795;E5_SEPE, E76_SEPE;1611;1184;1184;1.184;1.184;Est_Alm_Zona;SI;805; N/A ;621;N/A;N/A;N/A;621;621;D_Nudo;N/A;185;0;185;0;185;185;0;0;0;0;0;0;0;0;621;621;621;621;D_Nudo;D_Nudo;D_Nudo;D_Nudo;621;621;621;621;Nudo de Transición Justa. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;185;185;0;0;0;0; NO ;563; SI ; NO ;;;;SI;;0;0;621;621;621;621;NTJ;
MONTEBELLO 220;24192;50380;SEPE;Comunidad Valenciana;;;✓;;NO;SI;SI;318; N/A ;  ;313;N/A;N/A;313;313;WSCR_Nudo;N/A;1.191;E37_SEPE;1183;1236;1236;1.183;1.183;Est_Gen_Nudo;NO;1.203;E37_SEPE;1196;1541;1541;1.196;1.196;Est_Alm_Nudo;NO;455; D50_SEPE ;448;-97;-97;N/A;0;0;D_Zona;NO;7;2;5;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0;D_Zona;D_Zona;D_Zona;D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;7;7;0;0;0;256; NO ;1.566; SI ; NO ;;;;;;;;;;;;;
MONTECILLO BAJO 220;25102;50381;SEPE;Andalucía;;;;;NO;NO;NO;167; N/A ;  ;167;N/A;N/A;167;167;WSCR_Nudo;N/A;364;E191_SEPE;364;920;920;364;364;Est_Gen_Nudo;NO;411;E191_SEPE;411;1785;1785;411;411;Est_Alm_Nudo;NO;1.183; N/A ;1183;N/A;N/A;N/A;1.183;1.183;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;364;167;411;167;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;364;167;411;167;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;230; NO ; NO ;;;;;;;;;;;;;
MONTESA 400;14079;51299;SEPE;Comunidad Valenciana;;✓;;;SI;NO;SI;869; N/A ;  ;869;N/A;N/A;869;869;WSCR_Nudo;N/A;1.998;N/A;1998;N/A;N/A;1.998;1.998;Est_Gen_Nudo;N/A;2.471;N/A;2471;N/A;N/A;2.471;2.471;Est_Alm_Nudo;N/A;84; N/A ;84;N/A;N/A;84;84;84;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;84;84;84;D_Nudo;D_Nudo;D_Nudo;D_Nudo;84;84;84;84;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;157; NO ; NO ;;SI;29/06/2021;;;;;84;84;84;84;Concurso;
MONTETORRERO 220;23175;50382;SEPE;Aragón;;;✓;;NO;SI;SI;275; N/A ;  ;23;N/A;N/A;23;23;WSCR_Nudo;N/A;2.200;N/A;1371;N/A;N/A;1.371;1.371;Est_Gen_Nudo;N/A;2.346;N/A;1516;N/A;N/A;1.516;1.516;Est_Alm_Nudo;N/A;623; N/A ;-206;N/A;N/A;N/A;0;0;D_Nudo;N/A;830;7;252;570;822;830;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;830;852;-23;0;23;184; NO ;1.976; SI ; NO ;;;;;;;;;;;;;
MONTOUTO 220;21087;50383;SEPE;Galicia;✓;;;;SI;NO;SI;237; N/A ;  ;169;N/A;N/A;169;169;WSCR_Nudo;N/A;494;E280_SEPE;426;27;0;27;0;Est_Gen_Zona;SI;505;E280_SEPE;437;27;0;27;0;Est_Alm_Zona;SI;1.169; N/A ;1100;N/A;N/A;N/A;1.100;1.100;D_Nudo;N/A;68;0;68;0;68;68;0;0;0;0;0;0;0;0;27;27;27;27;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;27;27;27;27;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;68;68;0;0;0;100; NO ;261; NO ; NO ;;;;;;;;;;;;;
MONZON 220;23180;50384;SEPE;Aragón;;;✓;;NO;SI;SI;360; N/A ;  ;205;N/A;N/A;205;205;WSCR_Nudo;N/A;554;N/A;106;N/A;N/A;106;106;Est_Gen_Nudo;N/A;606;N/A;159;N/A;N/A;159;159;Est_Alm_Nudo;N/A;1.269; N/A ;822;N/A;N/A;N/A;822;822;D_Nudo;N/A;447;161;155;131;287;447;0;0;0;0;0;0;0;0;106;106;159;159;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;106;106;159;159;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;447;447;0;0;0;137; NO ;891; SI ; NO ;;SI;19/06/2024;;;;;106;106;159;159;Concurso;
MORA 220;24177;50385;SEPE;Castilla-La Mancha;;;;;NO;NO;NO;222; N/A ;  ;222;N/A;N/A;222;222;WSCR_Nudo;N/A;331;E211_SEPE;331;401;401;331;331;Est_Gen_Nudo;NO;451;E211_SEPE;451;556;556;451;451;Est_Alm_Nudo;NO;1.258; N/A ;1258;N/A;N/A;N/A;1.258;1.258;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;331;222;451;222;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;331;222;451;222;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;19; NO ; NO ;;;;;;;;;;;;;
MORALEJA 400;14080;50386;SEPE;Comunidad de Madrid;;✓;;;SI;NO;SI;1.398; N/A ;  ;1.238;N/A;N/A;1.238;1.238;WSCR_Nudo;N/A;1.094;E127_SEPE;934;382;247;382;247;Est_Gen_Zona;SI;1.237;E127_SEPE;1077;525;381;525;381;Est_Alm_Zona;SI;151; N/A ;-9;N/A;N/A;N/A;0;0;D_Nudo;N/A;160;0;160;0;160;160;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;160;160;0;0;0;0; NO ;167; NO ; NO ;;;;;;;;;;;;;
MORALEJA 220;24180;50386;SEPE;Comunidad de Madrid;;✓;✓;;SI;SI;SI;1.144; N/A ;  ;674;N/A;N/A;674;674;WSCR_Nudo;N/A;686;E127_SEPE;135;382;382;135;135;Est_Gen_Nudo;NO;789;E127_SEPE;237;525;525;237;237;Est_Alm_Nudo;NO;695; N/A ;144;N/A;N/A;N/A;144;144;D_Nudo;N/A;552;82;470;0;470;552;0;621;0;469;152;621;517;104;135;135;144;144;Est_Gen_Nudo;Est_Gen_Nudo;D_Nudo;D_Nudo;135;135;144;144;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;552;552;0;0;0;167; NO ;754; SI ; NO ;;SI;03/08/2022;;;;;135;135;144;144;Concurso;
MORALETS 220;23190;50387;SEPE;Cataluña;✓;;;;SI;NO;SI;267; N/A ;  ;267;N/A;N/A;267;267;WSCR_Nudo;N/A;254;E26_SEPE;174;-15;-15;0;0;Est_Gen_Zona;NO;396;E26_SEPE;174;-15;-15;0;0;Est_Alm_Zona;NO;1.110; D15_SEPE ;889;699;699;N/A;699;699;D_Zona;NO;221;221;0;0;0;0;221;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;221;221;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
MORATA 400;14085;50388;SEPE;Comunidad de Madrid;;✓;;;SI;NO;SI;1.958; N/A ;  ;1.521;N/A;N/A;1.521;1.521;WSCR_Nudo;N/A;1.040;E128_SEPE;604;301;0;301;0;Est_Gen_Zona;SI;3.673;E128_SEPE;3237;2868;2525;2.868;2.525;Est_Alm_Zona;SI;0; N/A ;-436;N/A;N/A;0;0;0;D_Nudo;N/A;436;0;436;0;436;436;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;436;436;0;0;0;0; NO ;0; NO ; NO ;;;;;;;;;;;;;
MORATA 220;24185;50388;SEPE;Comunidad de Madrid;;✓;✓;✓;SI;SI;SI;1.071; N/A ;  ;702;N/A;N/A;702;702;WSCR_Nudo;N/A;841;E128_SEPE;473;301;301;301;301;Est_Gen_Zona;NO;1.048;E128_SEPE;680;2868;2868;680;680;Est_Alm_Nudo;NO;711; N/A ;343;N/A;N/A;N/A;343;343;D_Nudo;N/A;369;0;369;0;369;369;0;251;0;251;0;251;251;0;301;301;343;343;Est_Gen_Zona;Est_Gen_Zona;D_Nudo;D_Nudo;301;301;343;343;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;369;369;0;0;0;0; NO ;2.013; SI ; NO ;;SI;29/06/2021;;;;;301;301;343;343;Concurso;
MORELLA 400;14072;50389;SEPE;Comunidad Valenciana;✓;✓;;;SI;NO;SI;1.343; N/A ;  ;-38;N/A;N/A;0;0;WSCR_Nudo;N/A;4.911;N/A;3522;N/A;N/A;3.522;3.522;Est_Gen_Nudo;N/A;6.107;N/A;4718;N/A;N/A;4.718;4.718;Est_Alm_Nudo;N/A;214; N/A ;-1175;N/A;N/A;214;0;0;D_Nudo;N/A;1.389;8;1.380;0;1.380;1.389;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;WSCR_Nudo/D_Nudo;D_Nudo;WSCR_Nudo/D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;1.389;1.389;0;0;0;0; NO ;3.513; SI ; NO ;;;;;;;;;;;;;
MORERUELA 400;12069;52066;SEPE;Castilla y León;;✓;;;SI;NO;SI;670; N/A ;  ;620;N/A;N/A;620;620;WSCR_Nudo;N/A;1.535;N/A;1485;N/A;N/A;1.485;1.485;Est_Gen_Nudo;N/A;1.806;N/A;1756;N/A;N/A;1.756;1.756;Est_Alm_Nudo;N/A;726; N/A ;676;N/A;N/A;726;676;676;D_Nudo;N/A;50;0;50;0;50;50;0;11;0;11;0;11;11;0;676;620;676;620;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;676;620;676;620;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;50;50;0;0;0;0; NO ;99; NO ; NO ;;SI;03/08/2022;;;;;676;620;676;620;Concurso;
MORVEDRE 400;14096;50390;SEPE;Comunidad Valenciana;✓;;;;SI;NO;SI;848; N/A ; Riesgo interacciones ;848;N/A;N/A;848;848;WSCR_Nudo;N/A;1.939;E107_SEPE;771;769;11;769;11;Est_Gen_Zona;SI;2.510;E107_SEPE;1342;1339;502;1.339;502;Est_Alm_Zona;SI;443; N/A ;-725;N/A;N/A;N/A;0;0;D_Nudo;N/A;1.168;1.168;0;0;0;1.168;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;1.168;1.168;0;0;0;0; NO ;85; NO ; NO ;;;;;;;;;;;;;
MORVEDRE B 220;24222;50390;SEPE;Comunidad Valenciana;;✓;✓;✓;SI;SI;SI;320; N/A ;  ;318;N/A;N/A;318;318;WSCR_Nudo;N/A;760;E107_SEPE;758;769;769;758;758;Est_Gen_Nudo;NO;840;E107_SEPE;838;1339;1339;838;838;Est_Alm_Nudo;NO;874; N/A ;872;N/A;N/A;N/A;872;872;D_Nudo;N/A;2;0;2;0;2;2;0;0;0;0;0;0;0;0;758;318;838;318;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;758;318;838;318;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;2;2;0;0;0;0; NO ;15; NO ; NO ;;SI;29/06/2021;;;;;758;318;838;318;Concurso;
MOTORS 220;23191;50392;SEPE;Cataluña;;;✓;;NO;SI;SI;711; N/A ;  ;661;N/A;N/A;661;661;WSCR_Nudo;N/A;594;N/A;583;N/A;N/A;583;583;Est_Gen_Nudo;N/A;654;N/A;593;N/A;N/A;593;593;Est_Alm_Nudo;N/A;805; N/A ;745;N/A;N/A;N/A;745;745;D_Nudo;N/A;61;6;50;4;54;11;50;0;0;0;0;0;0;0;583;583;593;593;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;0;0;0;;0;0;583;583;0;0;593;593;61;61;0;0;0;155; NO ;420; NO ; NO ;;;;;;;;;;;;;
MUDARRA 400;12065;50393;SEPE;Castilla y León;✓;✓;;;SI;NO;SI;1.416; N/A ;  ;245;N/A;N/A;245;245;WSCR_Nudo;N/A;2.447;E79_SEPE;1275;672;374;672;374;Est_Gen_Zona;SI;2.541;E79_SEPE;1370;766;469;766;469;Est_Alm_Zona;SI;0; N/A ;-1171;N/A;N/A;N/A;0;0;D_Nudo;N/A;1.171;0;1.171;0;1.171;1.171;0;40;0;40;0;40;40;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;1.171;1.171;0;0;0;0; NO ;889; SI ; NO ;;;;;;;;;;;;;
MUDARRA 220;22127;50393;SEPE;Castilla y León;✓;;✓;;SI;SI;SI;584; N/A ; Superación valor máx Icc ;0;N/A;N/A;0;0;WSCR_Nudo;N/A;1.216;E79_SEPE;612;672;672;612;612;Est_Gen_Nudo;NO;1.312;E79_SEPE;708;766;766;708;708;Est_Alm_Nudo;NO;901; N/A ;297;N/A;N/A;N/A;297;297;D_Nudo;N/A;604;0;584;20;604;604;0;25;0;0;25;25;25;0;297;0;297;0;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;297;0;297;0;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;604;604;0;0;0;55; NO ;0; NO ; NO ;;SI;03/08/2022;;;;;297;0;297;0;Concurso;
MUDARRITA 220;22125;50394;SEPE;Castilla y León;;;;;NO;NO;NO;25; N/A ; Superación valor máx Icc ;25;N/A;N/A;25;25;WSCR_Nudo;N/A;847;N/A;847;N/A;N/A;847;847;Est_Gen_Nudo;N/A;915;N/A;915;N/A;N/A;915;915;Est_Alm_Nudo;N/A;814; N/A ;814;N/A;N/A;N/A;814;814;D_Nudo;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;814;25;814;25;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;814;25;814;25;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0; NO ;227; NO ; NO ;;;;;;;;;;;;;
MUDEJAR 400;13064;50395;SEPE;Aragón;;✓;;;SI;NO;SI;1.834; N/A ;  ;-200;N/A;N/A;0;0;WSCR_Nudo;N/A;3.096;N/A;1062;N/A;N/A;1.062;1.062;Est_Gen_Nudo;N/A;3.497;N/A;1463;N/A;N/A;1.463;1.463;Est_Alm_Nudo;N/A;1.261; N/A ;-773;N/A;N/A;420;0;0;D_Nudo;N/A;2.034;0;2.034;0;2.034;2.034;0;75;0;0;75;75;75;0;154;0;154;0;D_Nudo;WSCR_Nudo/D_Nudo;D_Nudo;WSCR_Nudo/D_Nudo;154;0;154;0;Nudo de Transición Justa. ;0;0;0;0;0;0;0;0;2.034;2.034;0;0;0;3.111; SI ;0; NO ; NO ;;;;SI;;154;0;154;0;154;0;NTJ;Orden TED/1182/2021, Orden TED/1146/2022 y Orden TED/345/2024
MUELA 400;14075;50396;SEPE;Comunidad Valenciana;✓;;;;SI;NO;SI;1.249; N/A ;  ;1.249;N/A;N/A;1.249;1.249;WSCR_Nudo;N/A;3.277;E339_SEPE;2269;1208;1208;1.208;1.208;Est_Gen_Zona;NO;4.085;E339_SEPE;2269;1208;1208;1.208;1.208;Est_Alm_Zona;NO;23; N/A ;-1794;N/A;N/A;N/A;0;0;D_Nudo;N/A;1.816;1.816;0;0;0;280;1.536;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;1.816;1.816;0;0;0;0; NO ;157; NO ; NO ;;;;;;;;;;;;;
MUELLE GRANDE 66;39140;50397;SEC;Canarias;;;✓;;NO;SI;SI;100; N/A ;  ;70;N/A;N/A;70;70;WSCR_Nudo;N/A;143;N/A;116;N/A;N/A;116;116;Est_Gen_Nudo;N/A;147;N/A;116;N/A;N/A;116;116;Est_Alm_Nudo;N/A;57; N/A ;26;N/A;N/A;N/A;26;26;D_Nudo;N/A;31;0;30;1;31;1;30;0;0;0;0;0;0;0;26;26;26;26;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;0;0;0;;0;0;26;26;0;0;26;26;31;31;0;0;0;92; NO ;136; NO ; NO ;;;;;;;;;;;;;
MUNIESA 400;13034;50398;SEPE;Aragón;✓;;;;SI;NO;SI;937; N/A ;  ;-153;N/A;N/A;0;0;WSCR_Nudo;N/A;2.769;N/A;1679;N/A;N/A;1.679;1.679;Est_Gen_Nudo;N/A;3.082;N/A;1992;N/A;N/A;1.992;1.992;Est_Alm_Nudo;N/A;551; N/A ;-539;N/A;N/A;551;0;0;D_Nudo;N/A;1.090;0;1.090;0;1.090;1.090;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;WSCR_Nudo/D_Nudo;D_Nudo;WSCR_Nudo/D_Nudo;0;0;0;0;;0;0;0;0;0;0;0;0;1.090;1.090;0;0;0;130; NO ;0; NO ; NO ;;;;;;;;;;;;;
MURCIA 220;24186;50399;SEPE;Región de Murcia;;;✓;;NO;SI;SI;93; N/A ;  ;93;N/A;N/A;93;93;WSCR_Nudo;N/A;679;E39_SEPE;679;1574;1574;679;679;Est_Gen_Nudo;SI;689;E39_SEPE;689;1642;1642;689;689;Est_Alm_Nudo;SI;451; D67_SEPE ;451;-52;-52;N/A;0;0;D_Zona;SI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D_Zona;D_Zona;D_Zona;D_Zona;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;6; NO ;70; NO ; NO ;;;;;;;;;;;;;
MURTERAR 220;29715;50400;SEB;Islas Baleares;✓;;;;SI;NO;SI;170; N/A ; Riesgo interacciones ;1;N/A;N/A;1;1;WSCR_Nudo;N/A;369;E20_SEB;244;123;123;123;123;Est_Gen_Zona;NO;413;E20_SEB;244;123;123;123;123;Est_Alm_Zona;NO;219; N/A ;50;N/A;N/A;N/A;50;50;D_Nudo;N/A;244;75;169;0;169;75;169;0;0;0;0;0;0;0;50;1;50;1;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;0;0;0;0;;50;1;0;0;50;1;0;0;244;244;0;0;0;666; SI ;0; SI ; NO ;;;;;;;;;;;;;
