Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	02 Aragón		Pernoctaciones	Total		1999M08	525.213
Total Nacional	02 Aragón		Pernoctaciones	Total		1999M07	371.017
Total Nacional	02 Aragón		Pernoctaciones	Total		1999M06	288.239
Total Nacional	02 Aragón		Pernoctaciones	Total		1999M05	262.090
Total Nacional	02 Aragón		Pernoctaciones	Total		1999M04	278.526
Total Nacional	02 Aragón		Pernoctaciones	Total		1999M03	283.858
Total Nacional	02 Aragón		Pernoctaciones	Total		1999M02	245.466
Total Nacional	02 Aragón		Pernoctaciones	Total		1999M01	224.051
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2026M01	339.055
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M12	342.101
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M11	315.386
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M10	412.034
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M09	421.031
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M08	592.019
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M07	467.361
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M06	380.567
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M05	372.994
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M04	380.920
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M03	368.468
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M02	375.104
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M01	302.654
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2024M12	318.115
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2024M11	303.940
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2024M10	377.799
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2024M09	384.476
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2024M08	583.309
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2024M07	462.006
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2024M06	376.307
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2024M05	358.106
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2024M04	307.044
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2024M03	452.442
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2024M02	347.543
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2024M01	307.278
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2023M12	317.589
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2023M11	281.042
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2023M10	388.461
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2023M09	392.578
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2023M08	558.243
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2023M07	446.206
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2023M06	352.130
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2023M05	293.627
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2023M04	407.635
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2023M03	371.136
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2023M02	359.031
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2023M01	298.673
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2022M12	320.577
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2022M11	254.493
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2022M10	388.260
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2022M09	378.690
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2022M08	569.441
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2022M07	442.823
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2022M06	346.006
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2022M05	303.138
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2022M04	398.775
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2022M03	335.333
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2022M02	326.272
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2022M01	294.783
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2021M12	312.410
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2021M11	243.130
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2021M10	392.201
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2021M09	376.588
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2021M08	634.252
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2021M07	442.884
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2021M06	261.099
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2021M05	161.359
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2021M04	125.889
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2021M03	103.192
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2021M02	75.636
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2021M01	65.356
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2020M12	66.963
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2020M11	69.702
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2020M10	190.854
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2020M09	234.065
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2020M08	376.372
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2020M07	251.035
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2020M06	76.400
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2020M05	18.645
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2020M04	0
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2020M03	172.708
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2020M02	392.789
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2020M01	342.644
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2019M12	368.245
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2019M11	286.167
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2019M10	361.450
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2019M09	389.430
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2019M08	633.362
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2019M07	455.811
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2019M06	380.141
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2019M05	321.118
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2019M04	378.105
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2019M03	401.872
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2019M02	336.705
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2019M01	259.249
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2018M12	319.926
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2018M11	274.257
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2018M10	370.773
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2018M09	390.774
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2018M08	606.261
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2018M07	427.131
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2018M06	340.554
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2018M05	301.485
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2018M04	347.476
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2018M03	428.215
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2018M02	360.966
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2018M01	330.150
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2017M12	345.841
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2017M11	256.398
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2017M10	395.285
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2017M09	397.952
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2017M08	595.257
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2017M07	430.853
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2017M06	323.812
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2017M05	299.638
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2017M04	439.236
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2017M03	383.333
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2017M02	347.819
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2017M01	291.804
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2016M12	315.479
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2016M11	239.389
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2016M10	377.197
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2016M09	361.249
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2016M08	561.901
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2016M07	415.364
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2016M06	316.801
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2016M05	280.483
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2016M04	259.556
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2016M03	436.192
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2016M02	329.188
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2016M01	273.294
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2015M12	278.444
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2015M11	231.444
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2015M10	327.666
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2015M09	325.233
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2015M08	495.641
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2015M07	353.442
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2015M06	278.442
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2015M05	272.842
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2015M04	315.006
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2015M03	344.239
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2015M02	272.650
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2015M01	226.320
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2014M12	271.959
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2014M11	197.307
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2014M10	285.697
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2014M09	298.553
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2014M08	462.845
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2014M07	324.333
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2014M06	256.402
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2014M05	256.864
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2014M04	300.243
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2014M03	279.459
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2014M02	259.151
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2014M01	236.618
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2013M12	250.322
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2013M11	209.515
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2013M10	283.504
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2013M09	295.625
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2013M08	443.236
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2013M07	316.250
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2013M06	254.690
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2013M05	247.083
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2013M04	211.420
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2013M03	369.248
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2013M02	235.303
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2013M01	215.059
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2012M12	235.687
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2012M11	196.325
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2012M10	285.631
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2012M09	289.408
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2012M08	429.821
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2012M07	310.825
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2012M06	248.538
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2012M05	237.728
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2012M04	287.615
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2012M03	274.606
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2012M02	284.837
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2012M01	224.739
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2011M12	227.069
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2011M11	190.702
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2011M10	314.597
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2011M09	301.529
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2011M08	443.083
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2011M07	351.272
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2011M06	291.313
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2011M05	253.036
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2011M04	321.792
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2011M03	318.935
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2011M02	299.965
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2011M01	257.733
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2010M12	289.378
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2010M11	198.786
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2010M10	328.115
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2010M09	291.881
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2010M08	448.813
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2010M07	327.487
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2010M06	276.486
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2010M05	252.681
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2010M04	323.432
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2010M03	368.712
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2010M02	316.045
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2010M01	317.876
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2009M12	259.151
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2009M11	201.053
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2009M10	324.684
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2009M09	305.216
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2009M08	448.623
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2009M07	337.281
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2009M06	272.385
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2009M05	272.398
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2009M04	304.563
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2009M03	303.119
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2009M02	294.617
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2009M01	257.303
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2008M12	284.807
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2008M11	219.522
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2008M10	295.473
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2008M09	396.486
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2008M08	632.584
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2008M07	485.214
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2008M06	368.507
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2008M05	337.614
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2008M04	287.837
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2008M03	447.796
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2008M02	366.951
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2008M01	322.109
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2007M12	307.207
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2007M11	275.933
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2007M10	360.522
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2007M09	358.395
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2007M08	516.017
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2007M07	396.859
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2007M06	327.197
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2007M05	261.045
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2007M04	358.738
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2007M03	312.373
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2007M02	306.569
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2007M01	243.657
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2006M12	265.885
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2006M11	240.564
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2006M10	311.431
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2006M09	322.393
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2006M08	491.913
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2006M07	347.638
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2006M06	278.256
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2006M05	249.115
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2006M04	342.057
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2006M03	324.206
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2006M02	314.156
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2006M01	293.030
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2005M12	258.977
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2005M11	211.306
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2005M10	296.686
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2005M09	307.860
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2005M08	479.572
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2005M07	352.532
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2005M06	266.330
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2005M05	261.833
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2005M04	238.808
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2005M03	376.739
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2005M02	274.390
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2005M01	238.847
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2004M12	254.997
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2004M11	200.446
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2004M10	311.030
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2004M09	296.559
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2004M08	462.985
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2004M07	333.210
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2004M06	266.459
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2004M05	236.560
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2004M04	291.976
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2004M03	292.403
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2004M02	281.671
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2004M01	248.793
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2003M12	243.026
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2003M11	188.273
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2003M10	265.061
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2003M09	300.721
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2003M08	462.778
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2003M07	322.028
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2003M06	258.895
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2003M05	263.582
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2003M04	291.923
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2003M03	298.750
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2003M02	247.392
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2003M01	239.431
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2002M12	264.974
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2002M11	208.106
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2002M10	262.873
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2002M09	305.049
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2002M08	471.566
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2002M07	325.399
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2002M06	255.771
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2002M05	239.928
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2002M04	218.411
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2002M03	341.831
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2002M02	262.359
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2002M01	212.879
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2001M12	232.988
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2001M11	192.879
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2001M10	273.447
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2001M09	292.390
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2001M08	475.303
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2001M07	323.930
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2001M06	244.982
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2001M05	212.052
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2001M04	291.459
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2001M03	261.048
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2001M02	238.459
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2001M01	236.488
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2000M12	242.667
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2000M11	177.074
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2000M10	246.871
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2000M09	292.947
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2000M08	488.726
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2000M07	327.923
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2000M06	240.392
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2000M05	223.318
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2000M04	281.299
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2000M03	229.712
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2000M02	228.153
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2000M01	229.368
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	1999M12	239.024
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	1999M11	169.674
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	1999M10	255.061
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	1999M09	294.530
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	1999M08	466.808
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	1999M07	315.699
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	1999M06	249.160
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	1999M05	224.904
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	1999M04	250.814
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	1999M03	249.480
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	1999M02	210.904
