establecimiento,tipo,categoria,nombre,municipio,web,telefono,wikidata,imagen municipio,poblacion municipio,longitud,latitud
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,CAMINO MÉDULAS I,Ponferrada,www.hotelruralcaminomedulas.com,987426900,http://www.wikidata.org/entity/Q12164,https://www.wikidata.org/wiki/Q12164#/media/File:Ayto_ponferrada_2005.jpg,63052,-6.6050014,42.54682919906008
Alojam. Turismo Rural,Casa Rural de Alojamiento Compartido,2 Estrellas,RIBERA DEL CANTERO,Ponferrada,,987791949,http://www.wikidata.org/entity/Q12164,https://www.wikidata.org/wiki/Q12164#/media/File:Ayto_ponferrada_2005.jpg,63052,-6.600107099999998,42.55247169906008
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,MIRALMONTE,Ponferrada,,619723561,http://www.wikidata.org/entity/Q12164,https://www.wikidata.org/wiki/Q12164#/media/File:Ayto_ponferrada_2005.jpg,63052,-6.6149593,42.54385369906009
Alojam. Turismo Rural,Casa Rural,2 Estrellas,FLORENCIA,Posada de Valdeón,,681153190,http://www.wikidata.org/entity/Q1635220,https://www.wikidata.org/wiki/Q1635220#/media/File:Posada_de_Valdeón.jpg,420,-4.930715,43.146633999058636
Alojam. Turismo Rural,Hotel Rural,2 Estrellas,PICOS DE EUROPA,Posada de Valdeón,www.picosdeeuropa.org,987740593,http://www.wikidata.org/entity/Q1635220,https://www.wikidata.org/wiki/Q1635220#/media/File:Posada_de_Valdeón.jpg,420,-4.922411,43.15081899905862
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,ABEDUL,Puebla de Lillo,WWW.SUSARON.NET,654300300,http://www.wikidata.org/entity/Q1615418,https://www.wikidata.org/wiki/Q1615418#/media/File:VistaLillo.JPG,666,-5.2734611,43.00782119905894
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,CASA MAMPODRE,Puebla de Lillo,,987731027,http://www.wikidata.org/entity/Q1615418,https://www.wikidata.org/wiki/Q1615418#/media/File:VistaLillo.JPG,666,-5.2734611,43.00782119905894
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,HOSPITAL DEL CAMINANTE I,Puebla de Lillo,WWW.HOSPITALDELCAMINANTE.COM,646232367,http://www.wikidata.org/entity/Q1615418,https://www.wikidata.org/wiki/Q1615418#/media/File:VistaLillo.JPG,666,-5.274403,43.00784599905894
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,ARROYO MURIAS,Puebla de Lillo,,987731027,http://www.wikidata.org/entity/Q1615418,https://www.wikidata.org/wiki/Q1615418#/media/File:VistaLillo.JPG,666,-5.2734611,43.00782119905894
Alojam. Turismo Rural,Casa Rural de Alquiler,2 Estrellas,PEÑA POLINOSA,Puebla de Lillo,,987731027,http://www.wikidata.org/entity/Q1615418,https://www.wikidata.org/wiki/Q1615418#/media/File:VistaLillo.JPG,666,-5.2734611,43.00782119905894
