id_terraza,id_local,id_distrito_local,desc_distrito_local,wikidata_distrito,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
2758,10002364,1,Centro,http://www.wikidata.org/entity/Q1763376,103,CORTES,11004160,1,88906495,CALLE,ALCALA,NUM,35,28014,"440777,59","4474441,52",1,Puerta Calle,1,Abierto,10,,PB,,,,OTOTOI,1,Anual,1,Abierta,"38,38","38,38",26/06/2015,11004160,1,88906495,CALLE,ALCALA,NUM,35,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,12,12,42,
2759,270261773,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,1306,NUMANCIA,11099412,1,715625,CALLE,SIERRA DE CUERDA LARGA,NUM,9,28038,"444007,56","4472565,48",1,Puerta Calle,1,Abierto,20,,PB,,,,PUERTA BISAGRA,1,Anual,1,Abierta,"57,97","47,2",26/06/2015,11099412,1,715625,CALLE,SIERRA DE CUERDA LARGA,NUM,9,,Plaza peatonal,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:00:00,10:00:00,00:00:00,0,0,30,24,100,
2760,280059461,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,1303,PALOMERAS BAJAS,20082193,1,554750,AVENIDA,PABLO NERUDA,NUM,81,28018,"444315,55","4470277,48",1,Puerta Calle,1,Abierto,100,,PB,,,,BAR FREIDURIA NUCITA GALLINEJA-ENTRESIJOS,2,Estacional,1,Abierta,"38,34",,26/06/2015,20082193,1,554750,AVENIDA,PABLO NERUDA,NUM,81,A,Acera,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,,13,,40,A
2771,170001945,17,Villaverde,http://www.wikidata.org/entity/Q919536,1703,BUTARQUE,20166850,1,2879,CALLE,BERROCAL,NUM,1,28021,"442480,52","4466665,49",1,Puerta Calle,1,Abierto,20,,PB,,,,TRUJILLO,1,Anual,1,Abierta,"37,58","37,58",29/06/2015,20166850,1,2879,CALLE,BERROCAL,NUM,1,,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,12,4,48,
2775,270540256,4,Salamanca,http://www.wikidata.org/entity/Q1773521,402,GOYA,11014671,1,397400,CALLE,JORGE JUAN,NUM,54,28001,"442306,58","4474983,51",1,Puerta Calle,1,Abierto,30,,PB,,,,MARAVILLAS III MUJIGATO,1,Anual,1,Abierta,"16,9","16,9",30/06/2015,20149153,1,610450,CALLE,PRINCIPE DE VERGARA,NUM,6,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,7,7,21,
2777,270442962,15,Ciudad Lineal,http://www.wikidata.org/entity/Q1763694,1503,QUINTANA,11109424,1,19200,CALLE,ALCALDE LOPEZ CASERO,NUM,18,28027,"444385,57","4476134,48",1,Puerta Calle,1,Abierto,10,,PB,,,,EL PALETO,2,Estacional,1,Abierta,"5,76",,02/07/2015,11109424,1,19200,CALLE,ALCALDE LOPEZ CASERO,NUM,18,,Acera,10:00:00,01:00:00,,,10:00:00,01:30:00,,,0,,4,,8,
2778,270524920,6,Tetuán,http://www.wikidata.org/entity/Q1773540,606,BERRUGUETE,11036565,1,488000,CALLE,MARQUES DE VIANA,NUM,3,28039,"440724,61","4479128,54",1,Puerta Calle,1,Abierto,30,,PB,,,,LOS AROS III,1,Anual,1,Abierta,"61,36","61,36",02/07/2015,11036565,1,488000,CALLE,MARQUES DE VIANA,NUM,3,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:00:00,10:00:00,00:00:00,0,0,22,22,68,
2779,270180918,17,Villaverde,http://www.wikidata.org/entity/Q919536,1701,SAN ANDRES,11123571,1,275300,AVENIDA,ESPINELA,NUM,39,28021,"439696,53","4466079,52",1,Puerta Calle,4,Cerrado,10,,PB,,,,EVELIO,2,Estacional,1,Abierta,"16,2",,03/07/2015,11123571,1,275300,AVENIDA,ESPINELA,NUM,39,,Acera,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,,5,,20,
2780,20001407,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,202,ACACIAS,11008521,1,88906673,CALLE,EMBAJADORES,NUM,78,28012,"440432,59","4472835,53",1,Puerta Calle,1,Abierto,20,,PB,,,,DONER KEBAP POLLO ASADO,1,Anual,1,Abierta,"12,69","12,69",03/07/2015,31042021,1,88906673,CALLE,EMBAJADORES,NUM,78,B,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,5,5,16,
2781,280057951,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,1303,PALOMERAS BAJAS,11095071,1,144000,CALLE,CARLOS MARTIN ALVAREZ,NUM,34,28018,"443672,56","4471221,49",1,Puerta Calle,1,Abierto,10,,PB,,,,BAR GALICIA,1,Anual,1,Abierta,"18,9","18,9",06/07/2015,11095071,1,144000,CALLE,CARLOS MARTIN ALVAREZ,NUM,34,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,5,5,20,
2782,270405618,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,1303,PALOMERAS BAJAS,11095614,1,117400,AVENIDA,BUENOS AIRES,NUM,26,28038,"444560,56","4471156,47",1,Puerta Calle,1,Abierto,10,,PB,,,,BAR RESTAURANTE AKI ME QUEDO,1,Anual,1,Abierta,"29,16","29,16",06/07/2015,11095614,1,117400,AVENIDA,BUENOS AIRES,NUM,26,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,9,9,36,
2784,285035712,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,1303,PALOMERAS BAJAS,11095540,1,739100,CALLE,TENIENTE MUÑOZ DIAZ,NUM,15,28018,"444263,56","4471405,48",1,Puerta Calle,4,Cerrado,10,,PB,,,,BAR WENDIGO,1,Anual,1,Abierta,"10,5","10,5",06/07/2015,11095540,1,739100,CALLE,TENIENTE MUÑOZ DIAZ,NUM,15,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,3,3,12,
2785,130001523,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,1305,PORTAZGO,11098390,1,512475,CALLE,MOHERNANDO,NUM,6,28038,"444882,56","4471891,47",1,Puerta Calle,1,Abierto,30,,PB,,,,BAR LA TAPERIA,1,Anual,1,Abierta,"46,98","46,98",06/07/2015,11098390,1,512475,CALLE,MOHERNANDO,NUM,6,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,12,12,48,
2786,280057795,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,1303,PALOMERAS BAJAS,11096117,1,446150,CALLE,FELIPE DE DIEGO,NUM,9,28018,"443780,55","4470091,48",1,Puerta Calle,1,Abierto,20,,PB,,,,BAR ALMANÁ,2,Estacional,1,Abierta,"22,5",,06/07/2015,11096117,1,446150,CALLE,FELIPE DE DIEGO,NUM,9,,Acera,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,,22,,25,
2787,130001480,13,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,1305,PORTAZGO,31018644,1,369200,CALLE,HUMANES,NUM,61,28038,"445303,55","4471758,46",1,Puerta Calle,1,Abierto,10,,PB,,,,FREIDURÍA MADRID,1,Anual,1,Abierta,"52,92","36,68",06/07/2015,31018644,1,369200,CALLE,HUMANES,NUM,61,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,18,12,72,
2788,270472988,5,Chamartín,http://www.wikidata.org/entity/Q1766348,504,HISPANOAMERICA,11025175,1,782600,CALLE,VICTOR DE LA SERNA,NUM,33,28016,"443034,59","4478592,51",1,Puerta Calle,1,Abierto,30,,PB,,,,SANPAS CAFETERIA BAR,2,Estacional,1,Abierta,"19,95",,06/07/2015,11025175,1,782600,CALLE,VICTOR DE LA SERNA,NUM,33,,Acera,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,,7,,28,
2789,270436166,5,Chamartín,http://www.wikidata.org/entity/Q1766348,504,HISPANOAMERICA,11025125,1,217000,CALLE,COSTA RICA,NUM,28,28016,"442962,59","4478832,51",1,Puerta Calle,1,Abierto,70,,PB,,,,GOBOLO,1,Anual,1,Abierta,"71,19",42,06/07/2015,11025125,1,217000,CALLE,COSTA RICA,NUM,28,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,1,1,17,10,66,
2790,270208537,20,San Blas,http://www.wikidata.org/entity/Q2001937,2007,CANILLEJAS,11137210,1,88906495,CALLE,ALCALA,NUM,638,28022,"448445,57","4477779,43",1,Puerta Calle,1,Abierto,10,,PB,,,,RESTAURANTE CAFETERIA EL TENEDOR DE ORO,1,Anual,1,Abierta,"22,05","22,05",06/07/2015,11137210,1,88906495,CALLE,ALCALA,NUM,638,,Acera,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,12,12,30,
2791,80000574,8,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,803,PEÑA GRANDE,20073929,1,1152,PLAZA,PEÑA HORCAJO,NUM,11,28035,"438769,63","4481795,57",1,Puerta Calle,1,Abierto,20,,PB,,,,LOS GRANAINOS IV,1,Anual,1,Abierta,88,"49,7",06/07/2015,20073929,1,1152,PLAZA,PEÑA HORCAJO,NUM,11,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,27,15,108,
2792,80000138,8,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,806,VALVERDE,20058680,1,1431,AVENIDA,CAMPO DE CALATRAVA,NUM,17,28034,"441413,63","4483617,55",1,Puerta Calle,1,Abierto,120,,PB,,,,CAFETERIA 3 OLIVOS,2,Estacional,1,Abierta,27,,06/07/2015,20058680,1,1431,AVENIDA,CAMPO DE CALATRAVA,NUM,17,A,Calle peatonal,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,,6,,24,A
2793,280022919,5,Chamartín,http://www.wikidata.org/entity/Q1766348,505,NUEVA ESPAÑA,11026409,1,610450,CALLE,PRINCIPE DE VERGARA,NUM,280,28016,"442647,6","4478993,51",1,Puerta Calle,1,Abierto,40,,PB,,,,EL GRAN AZUL,1,Anual,1,Abierta,"96,73","21,47",06/07/2015,11026409,1,610450,CALLE,PRINCIPE DE VERGARA,NUM,280,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,30,12,86,
2794,270088054,5,Chamartín,http://www.wikidata.org/entity/Q1766348,502,PROSPERIDAD,11022282,1,172300,CALLE,CLARA DEL REY,NUM,81,28002,"443374,59","4477695,5",1,Puerta Calle,1,Abierto,60,,PB,,,,CASA ESPUMOSA,1,Anual,1,Abierta,"14,1","14,1",06/07/2015,11022282,1,172300,CALLE,CLARA DEL REY,NUM,81,,Acera,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,8,8,17,
