;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios;
201302;Febrero de 2013;10;Comunitat Valenciana;46;Valencia/Valéncia;150104,93;110301,02;3318,04;6623,77;0;
201302;Febrero de 2013;11;Extremadura;6;Badajoz;46694,22;2518,23;14179,27;2415,34;4919,37;
201302;Febrero de 2013;11;Extremadura;10;Cáceres;27727,94;15742,97;7755,06;1094,49;3135,42;
201302;Febrero de 2013;12;Galicia;15;Coruña, A;62074,17;47726,14;12457,73;1779,21;0;
201302;Febrero de 2013;12;Galicia;27;Lugo;15720,97;11934,97;3377,7;497,31;0;
201302;Febrero de 2013;12;Galicia;32;Ourense;15410,74;10603,42;4166,53;640,79;0;
201302;Febrero de 2013;12;Galicia;36;Pontevedra;57557,11;42963,72;13477,7;2105,59;0;
201302;Febrero de 2013;13;Madrid, Comunidad de;27;Madrid;344730,72;276544,72;51637,19;6647,71;0;
201302;Febrero de 2013;14;Murcia, Región de;30;Murcia;77591,73;56177,69;17369,63;4044,41;0;
201302;Febrero de 2013;15;Navarra, Comunidad Foral de;31;Navarra;39521,2;32771,01;5933,01;87,17;0;
201302;Febrero de 2013;16;País Vasco;1;Araba/Álava;188,79;15333,22;2577,34;159,33;0;
201302;Febrero de 2013;16;País Vasco;20;Gipuzkoa;36145,7;3083,69;5077,67;353,34;0;
201302;Febrero de 2013;16;País Vasco;47;Bizkaia;59972,24;50572,14;7605,04;85,06;0;
201302;Febrero de 2013;17;Ceuta;51;Ceuta;3117,55;1574,45;1315,62;227,47;0;
201302;Febrero de 2013;18;Rioja, La;26;Rioja, La;17732,91;14577,37;2727,32;417,22;0;
201302;Febrero de 2013;19;Melilla;52;Melilla;2767,39;1556,91;1077,2;222,27;0;
201303;Marzo de 2013;1;Andalucía;;4;Almería;34662,71;20589,19;10159,12;2249,85;1664,55
201303;Marzo de 2013;1;Andalucía;;11;Cádiz;75514,2;42781,96;22850,3;5644,91;4237,03
201303;Marzo de 2013;1;Andalucía;;14;Córdoba;54229,87;28226,98;14974,81;2138,7;8889,38
201303;Marzo de 2013;1;Andalucía;;18;Granada;54124,17;29023;16066,27;2846,36;6188,54
201303;Marzo de 2013;1;Andalucía;;21;Huelva;30913,63;16071,37;9504,88;1624,8;3712,58
201303;Marzo de 2013;1;Andalucía;;23;Jaén;42103,15;21466,7;12025,5;1820,05;6790,9
201303;Marzo de 2013;1;Andalucía;;29;Málaga;92837,06;56187,74;26661,89;5551,78;4435,65
201303;Marzo de 2013;1;Andalucía;;41;Sevilla;125527,75;70414,08;35010,95;6075,89;14026,83
201303;Marzo de 2013;2;Aragón;;22;Huesca;9674,29;7717,41;1741,86;215,02;0
201303;Marzo de 2013;2;Aragón;;44;Teruel;6929,27;5389,76;1394,82;144,69;0
201303;Marzo de 2013;2;Aragón;;50;Zaragoza;53288,42;43256,39;8715,39;1316,64;0
201303;Marzo de 2013;3;Asturias,;Principado de;33;Asturias;59727,55;45285,7;12623,55;1818,3;0
201303;Marzo de 2013;4;Balears, I;lles;7;Balears, Illes;69338,71;49089,23;18811,77;1437,71;0
201303;Marzo de 2013;5;Canarias;;35;Palmas, Las;62225,63;38481,03;18636,44;5108,16;0
201303;Marzo de 2013;5;Canarias;;38;Santa Cruz de Tenerife;56840,16;34878,7;17891,49;4069,97;0
201303;Marzo de 2013;6;Cantabria;;39;Cantabria;32895,66;26083,53;5875,24;936,89;0
201303;Marzo de 2013;7;Castilla y;León;5;Ávila;8239,52;5713,02;2170,74;355,76;0
201303;Marzo de 2013;7;Castilla y;León;9;Burgos;21211,16;17074,11;3645,53;491,52;0
201303;Marzo de 2013;7;Castilla y;León;24;León;27790,66;21752,27;5340,37;698,02;0
201303;Marzo de 2013;7;Castilla y;León;34;Palencia;8160,67;6270,54;1631,65;258,48;0
201303;Marzo de 2013;7;Castilla y;León;37;Salamanca;16247,09;11709,72;3768,89;768,48;0
201303;Marzo de 2013;7;Castilla y;León;40;Segovia;7295,38;5876,65;1248,92;169,81;0
201303;Marzo de 2013;7;Castilla y;León;42;Soria;4800,98;3970,81;732,29;97,88;0
201303;Marzo de 2013;7;Castilla y;León;47;Valladolid;27898,07;22395,57;4627,65;874,85;0
201303;Marzo de 2013;7;Castilla y;León;49;Zamora;8240,28;5850,73;2051,29;338,26;0
201303;Marzo de 2013;8;Castilla -;La Mancha;2;Albacete;23722,32;16845,25;5452,03;1425,04;0
201303;Marzo de 2013;8;Castilla -;La Mancha;13;Ciudad Real;31645,69;22535,73;7540,87;1569,09;0
201303;Marzo de 2013;8;Castilla -;La Mancha;16;Cuenca;10914,38;8005,34;2406,55;502,49;0
201303;Marzo de 2013;8;Castilla -;La Mancha;19;Guadalajara;15013;11785,32;2819,17;408,51;0
201303;Marzo de 2013;8;Castilla -;La Mancha;45;Toledo;44591,66;33081,1;9673,44;1837,12;0
201303;Marzo de 2013;9;Cataluña;;8;Barcelona;320250,94;249612,27;62673,84;7964,83;0
201303;Marzo de 2013;9;Cataluña;;17;Girona;41132,28;30650,2;9518,16;963,92;0
201303;Marzo de 2013;9;Cataluña;;25;Lleida;21155,18;16590,7;4036,07;528,41;0
201303;Marzo de 2013;9;Cataluña;;43;Tarragona;47144,49;34448,48;11153,15;1542,86;0
201303;Marzo de 2013;10;Comunitat;Valenciana;3;Alicante/Alacant;93049,04;60225,32;26361,66;6462,06;0
201303;Marzo de 2013;10;Comunitat;Valenciana;12;Castellón/Castelló;35238,91;25097,05;8829,24;1312,62;0
201303;Marzo de 2013;10;Comunitat;Valenciana;46;Valencia/Valéncia;147678,58;107855,16;33116,85;6706,57;0
201303;Marzo de 2013;11;Extremadur;a;6;Badajoz;45611,31;24258,52;14021,16;2431,59;4900,04
201303;Marzo de 2013;11;Extremadur;a;10;Cáceres;26899,41;14970,23;7725;1107,28;3096,9
201303;Marzo de 2013;12;Galicia;;15;Coruña, A;60572,56;46193,45;12452,42;1926,69;0
201303;Marzo de 2013;12;Galicia;;27;Lugo;15302,53;11416,18;3377,41;508,94;0
201303;Marzo de 2013;12;Galicia;;32;Ourense;14968,1;10172,56;4148,24;647,3;0
201303;Marzo de 2013;12;Galicia;;36;Pontevedra;57003,28;41421,25;13472,8;2109,23;0
201303;Marzo de 2013;13;Madrid, Co;munidad de;28;Madrid;336129,13;278023,67;51132,85;6972,61;0
201303;Marzo de 2013;14;Murcia, Re;gión de;30;Murcia;73499,2;52389,03;17047,65;4062,52;0
201303;Marzo de 2013;15;Navarra, C;omunidad Foral de;31;Navarra;38116,16;31521,62;5880,27;714,27;0
201303;Marzo de 2013;16;País Vasco;;1;Araba/Álava;17823,29;15078,79;2572,55;171,95;0
201303;Marzo de 2013;16;País Vasco;;20;Gipuzkoa;34659,11;29199,38;5096,38;363,35;0
201303;Marzo de 2013;16;País Vasco;;48;Bizkaia;58569,49;49082,01;8642,58;844,9;0
201303;Marzo de 2013;17;Rioja, La;;26;Rioja, La;17639,76;14416,14;2802,36;421,26;0
201303;Marzo de 2013;18;Ceuta;;51;Ceuta;3009,38;1566,29;1143,52;299,57;0
201303;Marzo de 2013;19;Melilla;;52;Melilla;2664,39;1459;981,42;223,97;0
