;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201902;Febrero de 2019;;TOTAL;;;1599467,73;1085589,28;402603,37;64429,26;46645,59
201903;Marzo de 2019;1;Andalucía;4;Almería;24361,19;14098,48;7774,42;1350,44;1136,4
201903;Marzo de 2019;1;Andalucía;11;Cádiz;50847,43;25415,14;18482,32;3520,67;3420,8
201903;Marzo de 2019;1;Andalucía;14;Córdoba;34772,28;13441;12092,99;1691,72;7540,27
201903;Marzo de 2019;1;Andalucía;18;Granada;38326,33;17978,73;13502,32;2022,77;4818,21
201903;Marzo de 2019;1;Andalucía;21;Huelva;21762,65;10181,36;7426,36;1122,07;3029,82
201903;Marzo de 2019;1;Andalucía;23;Jaén;29394,41;12124,07;9859,95;1255,35;6146,38
201903;Marzo de 2019;1;Andalucía;29;Málaga;61253,31;36092,16;18695,96;3067,82;3392,72
201903;Marzo de 2019;1;Andalucía;41;Sevilla;81563,63;36626,67;28607,33;4905,95;11410,63
201903;Marzo de 2019;2;Aragón;22;Huesca;5181,1;4032,64;1022,02;126,01;0
201903;Marzo de 2019;2;Aragón;44;Teruel;3090,59;2239,65;777,41;73,53;0
201903;Marzo de 2019;2;Aragón;50;Zaragoza;25134,42;19268,36;5129,59;735,35;0
201903;Marzo de 2019;3;Asturias, Principado de;33;Asturias;28186,45;19806,81;7148,02;1231,43;0
201903;Marzo de 2019;4;Balears, Illes;7;Balears, Illes;60541,5;46929,15;13031,35;580,7;0
201903;Marzo de 2019;5;Canarias;35;Palmas, Las;45151,45;30465,27;12053,44;2630,53;0
201903;Marzo de 2019;5;Canarias;38;Santa Cruz de Tenerife;38451,93;23598,73;12216,85;2628,45;0
201903;Marzo de 2019;6;Cantabria;39;Cantabria;17101,05;12187,51;4331,87;580,97;0
201903;Marzo de 2019;7;Castilla y León;5;Ávila;4639,36;2891,31;1528,33;219,38;0
201903;Marzo de 2019;7;Castilla y León;9;Burgos;10212,03;7390,14;2518,4;303,06;0
201903;Marzo de 2019;7;Castilla y León;24;León;13119,46;9040,4;3572,98;505,64;0
201903;Marzo de 2019;7;Castilla y León;34;Palencia;4409,36;3124,03;1122,08;163,25;0
201903;Marzo de 2019;7;Castilla y León;37;Salamanca;8917,27;5616,54;2864,14;435;0
201903;Marzo de 2019;7;Castilla y León;40;Segovia;3601,45;2641,28;843,35;116,82;0
201903;Marzo de 2019;7;Castilla y León;42;Soria;2124,79;1631,34;447,96;45,36;0
201903;Marzo de 2019;7;Castilla y León;47;Valladolid;13180,41;9748,86;2949,84;481,01;0
201903;Marzo de 2019;7;Castilla y León;49;Zamora;4714,82;2889,56;1575,88;249,38;0
201903;Marzo de 2019;8;Castilla - La Mancha;2;Albacete;12588,86;7439,2;4336,41;811,94;0
201903;Marzo de 2019;8;Castilla - La Mancha;13;Ciudad Real;15995,26;8486,03;6189,67;1316,89;0
201903;Marzo de 2019;8;Castilla - La Mancha;16;Cuenca;5203,37;3276,23;1629,66;297,41;0
201903;Marzo de 2019;8;Castilla - La Mancha;19;Guadalajara;8587,36;6342,47;1995,68;248,67;0
201903;Marzo de 2019;8;Castilla - La Mancha;45;Toledo;21982,77;12876,83;7747,2;1356,56;0
201903;Marzo de 2019;9;Cataluña;8;Barcelona;169617,96;130913,13;34533,45;4165,99;0
201903;Marzo de 2019;9;Cataluña;17;Girona;25596,37;18734,9;6208,6;650,59;0
201903;Marzo de 2019;9;Cataluña;25;Lleida;11814,33;8760,46;2676,53;375,82;0
201903;Marzo de 2019;9;Cataluña;43;Tarragona;29231,49;21061,94;7343,21;823,94;0
201903;Marzo de 2019;10;Comunitat Valenciana;3;Alicante/Alacant;60674,99;38428,07;18753,38;3485,57;0
201903;Marzo de 2019;10;Comunitat Valenciana;12;Castellón/Castelló;18493,94;12258,11;5461,26;773,47;0
201903;Marzo de 2019;10;Comunitat Valenciana;46;Valencia/Valéncia;76512,65;49990,15;22037,51;4478,78;0
201903;Marzo de 2019;11;Extremadura;6;Badajoz;31879,85;13366,76;12723,87;1618,15;4167,87
201903;Marzo de 2019;11;Extremadura;10;Cáceres;18203,29;8016,96;6983,76;779,89;2419,95
201903;Marzo de 2019;12;Galicia;15;Coruña, A;30982,07;21535,39;8100,8;1344,22;0
201903;Marzo de 2019;12;Galicia;27;Lugo;7521,07;4885,37;2309,05;326,23;0
201903;Marzo de 2019;12;Galicia;32;Ourense;8094,28;4936,6;2812,75;344,93;0
201903;Marzo de 2019;12;Galicia;36;Pontevedra;30711,37;20540,69;9002,28;1165,98;0
201903;Marzo de 2019;13;Madrid, Comunidad de;28;Madrid;181389,67;145144,07;31101,5;5138,43;0
201903;Marzo de 2019;14;Murcia, Región de;30;Murcia;45466,26;31606,59;11340,54;2510,78;0
201903;Marzo de 2019;15;Navarra, Comunidad Foral de;31;Navarra;16577,98;13037,33;3231,26;308,96;0
201903;Marzo de 2019;16;País Vasco;1;Araba/Álava;8592,93;7132,83;1324,31;135,79;0
201903;Marzo de 2019;16;País Vasco;20;Gipuzkoa;16117,75;13299,91;2578,36;239,48;0
201903;Marzo de 2019;16;País Vasco;48;Bizkaia;27797,05;22133,03;5138,54;525,48;0
201903;Marzo de 2019;17;Rioja, La;26;Rioja, La;8275,52;6348,3;1722,86;204,32;0
201903;Marzo de 2019;18;Ceuta;51;Ceuta;2351,66;1063,37;1014,42;273,38;0
201903;Marzo de 2019;19;Melilla;52;Melilla;1894,16;970,66;725,39;197,49;0
201903;Marzo de 2019;;TOTAL;;;1522192,93;1002044,57;408597,41;63941,8;47483,05
201904;Abril de 2019;1;Andalucía;4;Almería;24268,03;13806,46;8022,57;1336,18;1100,93
201904;Abril de 2019;1;Andalucía;11;Cádiz;48338,28;22803,72;18655,12;3484,54;3390,57
201904;Abril de 2019;1;Andalucía;14;Córdoba;36184,49;13299,73;13443,69;1633,61;7801,26
201904;Abril de 2019;1;Andalucía;18;Granada;38322,29;17060,22;14310,82;1990,26;4958,67
201904;Abril de 2019;1;Andalucía;21;Huelva;19412,09;8489,17;7029,68;1076,15;2816,49
201904;Abril de 2019;1;Andalucía;23;Jaén;30325,51;11850,66;10847,33;1235,45;6386,06
201904;Abril de 2019;1;Andalucía;29;Málaga;57295,57;31181,7;19599,19;2990,39;3519,21
201904;Abril de 2019;1;Andalucía;41;Sevilla;80573,76;34521,29;29781,56;4801;11463,05
201904;Abril de 2019;2;Aragón;22;Huesca;4968,06;3731,29;1102,6;133,74;0
201904;Abril de 2019;2;Aragón;44;Teruel;2973,21;2058,35;845,51;69,08;0
201904;Abril de 2019;2;Aragón;50;Zaragoza;25281,37;18756,74;5809,32;714,61;0
201904;Abril de 2019;3;Asturias, Principado de;33;Asturias;27769,8;18888,98;7695,33;1185,49;0
201904;Abril de 2019;4;Balears, Illes;7;Balears, Illes;37248,14;26664,24;10024,88;558,72;0
201904;Abril de 2019;5;Canarias;35;Palmas, Las;45717,59;29529,13;13597,93;2588,34;0
201904;Abril de 2019;5;Canarias;38;Santa Cruz de Tenerife;39385,22;23504,16;13284,83;2592,79;0
201904;Abril de 2019;6;Cantabria;39;Cantabria;15886,76;10722,98;4597,86;564,54;0
201904;Abril de 2019;7;Castilla y León;5;Ávila;4543,6;2662,92;1673,13;207,55;0
201904;Abril de 2019;7;Castilla y León;9;Burgos;10110,51;7023,13;2788,93;298,02;0
201904;Abril de 2019;7;Castilla y León;24;León;12572,68;8183,35;3898,06;491,01;0
201904;Abril de 2019;7;Castilla y León;34;Palencia;4103,54;2713,65;1229,35;160,54;0
201904;Abril de 2019;7;Castilla y León;37;Salamanca;8852,48;5344,42;3083,5;419,17;0
201904;Abril de 2019;7;Castilla y León;40;Segovia;3370,42;2360,61;895,62;114,19;0
201904;Abril de 2019;7;Castilla y León;42;Soria;2123,13;1585,32;497;40,62;0
201904;Abril de 2019;7;Castilla y León;47;Valladolid;13225,76;9433,84;3324,4;466,23;0
201904;Abril de 2019;7;Castilla y León;49;Zamora;4582,19;2610,67;1726,39;245,13;0
