cuenca_hidrografica,embalse_nombre,mes,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cantábrico Occidental,Salime,1,137.0,216.5,229.5,141.0,209.0,124.0,173.8,143.0,189.25,139.25
Cantábrico Occidental,Salime,2,156.5,253.5,255.5,213.0,230.25,182.75,195.0,218.75,185.75,229.25
Cantábrico Occidental,Salime,3,177.0,232.25,248.5,210.0,238.4,209.0,229.5,191.75,204.4,206.2
Cantábrico Occidental,Salime,4,203.25,256.8,244.8,222.25,230.75,218.75,247.0,202.8,219.25,185.0
Cantábrico Occidental,Salime,5,240.2,255.25,230.75,250.75,250.4,239.2,247.0,234.25,237.0,192.0
Cantábrico Occidental,Salime,6,242.5,248.5,199.25,235.2,249.25,251.75,258.0,232.25,215.0,214.8
Cantábrico Occidental,Salime,7,196.0,243.4,144.8,204.75,249.25,255.0,248.0,200.4,194.0,205.5
Cantábrico Occidental,Salime,8,157.0,223.5,103.5,181.5,219.4,227.6,211.5,178.0,178.25,177.8
Cantábrico Occidental,Salime,9,153.75,188.5,78.2,177.2,193.75,179.0,167.0,151.5,163.6,137.75
Cantábrico Occidental,Salime,10,147.4,143.0,80.5,167.75,163.0,121.2,143.4,117.6,141.75,113.75
Cantábrico Occidental,Salime,11,152.0,165.75,112.0,140.5,150.2,94.25,154.0,171.25,145.75,109.8
Cantábrico Occidental,Salime,12,171.25,137.6,135.8,118.8,143.5,101.0,145.5,247.2,154.2,151.25
Cantábrico Occidental,Tanes,1,27.0,27.0,29.75,27.25,27.5,26.4,25.2,21.75,22.75,23.5
Cantábrico Occidental,Tanes,2,29.25,28.0,29.5,27.0,28.75,29.5,23.5,23.5,25.75,25.5
Cantábrico Occidental,Tanes,3,30.75,28.75,32.0,31.0,30.6,30.5,26.25,28.5,27.4,27.6
Cantábrico Occidental,Tanes,4,33.25,32.8,33.0,33.0,33.0,33.25,29.75,29.6,28.75,28.75
Cantábrico Occidental,Tanes,5,34.4,34.5,33.75,34.75,34.8,33.8,31.4,31.75,31.5,32.0
Cantábrico Occidental,Tanes,6,36.0,36.0,36.25,35.6,36.0,34.25,33.0,32.75,32.8,33.0
Cantábrico Occidental,Tanes,7,34.0,35.4,33.8,31.75,35.75,35.0,32.6,32.8,32.75,32.5
Cantábrico Occidental,Tanes,8,29.25,32.5,29.25,28.75,31.8,31.6,28.75,28.75,28.5,30.4
Cantábrico Occidental,Tanes,9,24.0,27.75,23.4,25.4,27.75,27.5,28.25,25.0,25.6,26.0
Cantábrico Occidental,Tanes,10,19.4,22.6,17.5,21.0,25.5,21.8,23.2,23.4,28.25,24.5
Cantábrico Occidental,Tanes,11,24.5,24.5,16.0,18.75,25.8,24.25,28.0,24.25,25.75,25.0
Cantábrico Occidental,Tanes,12,26.0,26.0,27.4,27.0,26.5,23.0,25.0,21.4,23.8,23.75
Cantábrico Oriental,Añarbe,1,35.8,35.75,32.25,34.5,30.0,29.0,33.8,28.5,28.75,30.25
Cantábrico Oriental,Añarbe,2,32.75,35.25,34.75,34.75,32.75,32.5,33.75,31.75,26.75,32.5
Cantábrico Oriental,Añarbe,3,31.5,34.0,33.0,34.4,34.2,33.5,34.0,29.0,32.4,32.4
Cantábrico Oriental,Añarbe,4,31.5,35.4,34.4,33.25,34.5,34.75,34.25,28.0,34.5,29.75
Cantábrico Oriental,Añarbe,5,35.4,36.0,33.25,31.75,32.8,33.2,34.0,30.75,34.75,28.0
Cantábrico Oriental,Añarbe,6,35.0,36.5,34.0,29.4,32.75,31.5,33.0,34.5,33.0,28.2
Cantábrico Oriental,Añarbe,7,32.8,34.8,34.6,28.5,31.25,30.0,33.6,31.2,30.0,29.5
Cantábrico Oriental,Añarbe,8,30.75,32.25,33.0,27.0,29.0,28.6,31.0,30.0,29.25,29.8
Cantábrico Oriental,Añarbe,9,28.5,30.5,30.8,26.0,27.5,30.25,29.0,29.25,27.6,28.25
Cantábrico Oriental,Añarbe,10,27.0,28.2,29.25,25.75,26.25,28.8,27.2,28.0,32.25,28.0
Cantábrico Oriental,Añarbe,11,29.0,31.5,28.0,24.75,27.0,32.5,28.0,30.5,31.75,29.4
Cantábrico Oriental,Añarbe,12,35.75,33.2,31.8,31.0,27.0,32.75,29.0,31.2,30.0,30.25
Cantábrico Oriental,Ibiur,1,3.2,8.5,7.0,7.25,4.0,6.0,7.2,6.25,7.0,8.0
Cantábrico Oriental,Ibiur,2,4.75,7.75,8.0,8.0,4.75,7.0,8.0,7.75,7.0,8.0
Cantábrico Oriental,Ibiur,3,5.0,8.0,8.0,8.0,7.2,7.0,8.0,7.25,7.4,7.4
Cantábrico Oriental,Ibiur,4,5.25,8.0,8.2,8.0,8.0,7.0,8.0,7.0,7.25,7.0
Cantábrico Oriental,Ibiur,5,7.0,8.0,7.0,7.5,7.4,7.0,8.0,7.0,8.0,7.0
Cantábrico Oriental,Ibiur,6,7.0,8.0,7.0,7.0,7.0,6.25,8.0,7.0,7.2,7.0
Cantábrico Oriental,Ibiur,7,7.0,7.4,7.0,6.25,7.0,6.0,7.0,6.6,7.0,6.5
Cantábrico Oriental,Ibiur,8,6.0,7.0,6.0,6.75,6.6,5.8,7.0,6.0,6.75,6.0
Cantábrico Oriental,Ibiur,9,6.0,6.75,6.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0
Cantábrico Oriental,Ibiur,10,5.2,6.0,5.25,5.0,6.0,5.0,6.2,5.4,6.0,5.0
Cantábrico Oriental,Ibiur,11,5.0,6.25,5.0,5.0,5.0,5.0,6.0,6.25,6.0,5.2
Cantábrico Oriental,Ibiur,12,6.75,7.6,6.2,5.0,5.0,5.5,6.0,7.0,6.6,7.5
Cantábrico Oriental,Ordunte,1,15.4,20.5,22.0,21.25,10.25,13.8,22.0,16.0,21.25,22.0
Cantábrico Oriental,Ordunte,2,21.25,22.0,22.0,22.0,14.0,21.25,22.0,22.0,20.25,22.0
Cantábrico Oriental,Ordunte,3,22.0,22.0,22.0,22.0,21.2,22.0,22.0,21.25,21.6,22.0
Cantábrico Oriental,Ordunte,4,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.4,22.0,21.0
Cantábrico Oriental,Ordunte,5,22.0,21.75,21.5,21.75,21.6,20.6,22.0,21.5,21.75,18.5
Cantábrico Oriental,Ordunte,6,21.25,22.0,19.5,20.2,19.25,19.0,22.0,20.25,19.8,17.0
Cantábrico Oriental,Ordunte,7,19.2,22.4,17.6,18.0,17.5,17.5,20.2,18.6,17.0,16.25
Cantábrico Oriental,Ordunte,8,17.0,22.0,15.5,16.25,15.2,15.2,18.0,17.0,15.75,14.2
Cantábrico Oriental,Ordunte,9,15.5,19.75,13.8,14.2,12.5,13.25,16.25,15.25,13.8,12.5
Cantábrico Oriental,Ordunte,10,13.4,15.8,11.0,12.0,10.75,11.8,14.4,13.4,15.0,11.0
Cantábrico Oriental,Ordunte,11,13.0,16.25,9.75,10.25,9.2,11.5,14.0,16.0,17.0,10.8
Cantábrico Oriental,Ordunte,12,17.75,22.0,14.8,11.0,9.75,19.25,14.5,21.8,19.6,22.0
Cantábrico Oriental,San Antón,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Cantábrico Oriental,San Antón,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.75
Cantábrico Oriental,San Antón,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,5.0
Cantábrico Oriental,San Antón,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Cantábrico Oriental,San Antón,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,4.0
Cantábrico Oriental,San Antón,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
Cantábrico Oriental,San Antón,7,4.4,5.0,5.0,5.0,5.0,4.25,5.0,5.0,4.75,4.0
Cantábrico Oriental,San Antón,8,4.0,5.0,5.0,4.75,4.0,4.0,5.0,4.25,4.25,4.0
Cantábrico Oriental,San Antón,9,4.0,4.5,3.4,4.0,4.0,4.25,4.75,4.0,4.0,4.0
Cantábrico Oriental,San Antón,10,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.5,4.0
Cantábrico Oriental,San Antón,11,4.0,4.75,4.0,4.0,4.4,5.0,4.0,4.75,5.0,4.6
Cantábrico Oriental,San Antón,12,4.75,5.0,4.6,5.0,5.0,5.0,4.25,5.0,5.0,5.0
Cuenca Mediterránea Andaluza,Benínar,1,12.0,15.0,8.25,4.0,4.0,8.0,5.0,14.0,7.0,5.75
Cuenca Mediterránea Andaluza,Benínar,2,12.0,14.0,8.75,5.0,4.0,9.0,5.0,14.75,7.0,7.0
Cuenca Mediterránea Andaluza,Benínar,3,11.25,15.75,8.75,5.2,4.0,9.75,9.5,14.0,7.0,7.0
Cuenca Mediterránea Andaluza,Benínar,4,11.0,19.4,7.6,6.25,4.0,10.5,11.5,13.0,7.0,7.0
Cuenca Mediterránea Andaluza,Benínar,5,10.6,19.25,6.5,6.0,3.8,10.0,14.4,13.25,7.0,7.0
Cuenca Mediterránea Andaluza,Benínar,6,9.5,17.5,5.5,6.0,3.75,9.5,15.25,12.0,6.4,6.8
Cuenca Mediterránea Andaluza,Benínar,7,8.2,15.4,5.0,5.0,3.0,8.0,14.0,10.8,6.0,6.0
Cuenca Mediterránea Andaluza,Benínar,8,7.25,13.0,4.0,4.75,3.0,7.6,12.5,10.0,5.5,6.0
Cuenca Mediterránea Andaluza,Benínar,9,6.75,12.0,4.0,4.0,3.0,6.75,11.0,9.25,5.0,5.5
Cuenca Mediterránea Andaluza,Benínar,10,6.0,10.8,4.0,4.0,5.0,6.0,10.8,8.4,5.0,5.0
Cuenca Mediterránea Andaluza,Benínar,11,11.25,9.5,3.0,4.0,6.2,6.0,11.75,7.5,5.0,5.0
Cuenca Mediterránea Andaluza,Benínar,12,15.0,8.8,4.0,4.0,7.0,5.0,13.5,7.0,5.0,5.0
Cuenca Mediterránea Andaluza,Béznar,1,47.4,46.5,42.0,39.75,36.75,29.0,24.2,48.0,38.0,40.5
Cuenca Mediterránea Andaluza,Béznar,2,47.0,47.25,43.0,40.0,36.0,29.0,25.5,48.0,39.0,43.0
Cuenca Mediterránea Andaluza,Béznar,3,46.5,46.75,45.5,39.6,36.4,29.0,30.5,47.5,40.8,45.0
Cuenca Mediterránea Andaluza,Béznar,4,45.75,46.6,46.4,39.0,36.0,28.5,35.5,46.4,44.5,44.75
Cuenca Mediterránea Andaluza,Béznar,5,45.6,46.75,48.25,38.75,36.4,27.4,41.4,47.0,47.75,45.0
Cuenca Mediterránea Andaluza,Béznar,6,44.5,46.25,48.75,37.2,36.0,25.75,46.0,46.5,49.0,44.8
Cuenca Mediterránea Andaluza,Béznar,7,42.8,46.2,46.4,35.25,34.0,24.0,46.8,44.2,46.75,42.75
Cuenca Mediterránea Andaluza,Béznar,8,40.5,44.5,44.0,35.0,31.8,21.8,46.5,41.75,44.25,40.2
Cuenca Mediterránea Andaluza,Béznar,9,38.5,43.0,41.4,35.0,29.5,20.0,44.75,39.75,41.8,40.0
Cuenca Mediterránea Andaluza,Béznar,10,40.2,41.8,39.75,36.0,27.75,20.0,43.6,38.4,39.75,38.5
Cuenca Mediterránea Andaluza,Béznar,11,45.5,40.75,39.5,37.0,27.2,20.5,44.25,37.0,38.75,37.0
Cuenca Mediterránea Andaluza,Béznar,12,45.75,42.0,40.6,37.8,29.0,22.25,47.25,37.0,38.8,35.5
Cuenca Mediterránea Andaluza,Casasola,1,16.0,13.75,11.0,10.0,6.0,9.0,9.0,12.0,11.75,12.75
Cuenca Mediterránea Andaluza,Casasola,2,16.0,13.25,11.5,10.0,6.0,9.5,9.0,12.0,14.0,13.0
Cuenca Mediterránea Andaluza,Casasola,3,15.5,18.25,12.0,9.4,6.0,10.5,13.0,12.0,13.0,12.8
Cuenca Mediterránea Andaluza,Casasola,4,13.25,21.4,12.0,8.25,6.0,11.0,15.5,11.6,15.0,12.0
Cuenca Mediterránea Andaluza,Casasola,5,13.0,21.25,12.0,8.0,5.8,11.0,18.8,11.0,16.75,12.0
Cuenca Mediterránea Andaluza,Casasola,6,13.0,21.0,11.75,8.0,5.0,10.25,20.0,11.0,16.8,12.0
Cuenca Mediterránea Andaluza,Casasola,7,12.2,19.8,11.0,7.75,5.0,10.0,19.6,10.4,16.0,12.0
Cuenca Mediterránea Andaluza,Casasola,8,12.0,18.75,10.5,7.0,5.0,9.8,19.0,10.0,16.0,11.4
Cuenca Mediterránea Andaluza,Casasola,9,12.0,18.0,10.0,6.6,5.0,10.0,18.75,10.5,15.6,11.0
Cuenca Mediterránea Andaluza,Casasola,10,11.2,16.2,10.0,6.0,5.0,10.0,18.0,10.0,14.0,11.0
Cuenca Mediterránea Andaluza,Casasola,11,16.25,14.0,10.0,6.0,5.0,9.25,18.25,10.0,12.5,10.2
Cuenca Mediterránea Andaluza,Casasola,12,14.5,11.2,10.0,6.0,8.5,9.0,12.75,10.0,12.0,10.0
Cuenca Mediterránea Andaluza,Charco Redondo,1,56.2,47.75,63.0,44.75,45.75,36.2,28.0,56.25,35.0,15.75
Cuenca Mediterránea Andaluza,Charco Redondo,2,52.75,50.5,69.5,44.25,47.0,35.0,25.5,58.0,33.75,20.25
Cuenca Mediterránea Andaluza,Charco Redondo,3,49.75,65.75,72.5,44.6,48.6,37.5,47.0,57.5,31.2,31.2
Cuenca Mediterránea Andaluza,Charco Redondo,4,47.25,81.2,70.4,47.0,49.25,38.0,61.25,57.0,30.25,34.75
Cuenca Mediterránea Andaluza,Charco Redondo,5,47.0,80.5,68.25,47.0,49.4,40.8,64.4,56.0,29.75,33.25
Cuenca Mediterránea Andaluza,Charco Redondo,6,46.5,80.25,65.5,46.6,46.5,40.5,64.0,55.5,29.8,31.0
Cuenca Mediterránea Andaluza,Charco Redondo,7,45.2,78.2,60.2,46.75,42.5,40.0,62.6,53.6,28.25,29.5
Cuenca Mediterránea Andaluza,Charco Redondo,8,41.75,73.0,54.5,45.0,37.0,37.0,59.75,48.5,24.5,24.4
Cuenca Mediterránea Andaluza,Charco Redondo,9,37.75,70.5,49.8,44.8,32.75,33.25,56.0,43.75,20.0,21.0
Cuenca Mediterránea Andaluza,Charco Redondo,10,37.0,69.8,46.25,44.5,29.0,33.0,53.2,40.2,16.5,21.0
Cuenca Mediterránea Andaluza,Charco Redondo,11,44.25,67.25,44.0,45.75,26.4,32.25,56.25,38.5,14.5,20.6
Cuenca Mediterránea Andaluza,Charco Redondo,12,47.5,64.4,45.8,45.0,37.0,30.0,58.5,37.2,14.8,18.5
Cuenca Mediterránea Andaluza,Concepción,1,53.0,55.25,33.0,45.25,37.25,54.8,32.0,54.75,32.5,41.25
Cuenca Mediterránea Andaluza,Concepción,2,51.75,56.75,36.0,48.75,37.0,55.75,31.25,54.0,46.5,49.25
Cuenca Mediterránea Andaluza,Concepción,3,50.0,56.25,40.0,52.8,38.0,58.5,53.5,53.0,48.6,54.4
Cuenca Mediterránea Andaluza,Concepción,4,47.75,60.8,39.8,58.75,38.25,60.0,60.75,51.0,55.75,57.75
Cuenca Mediterránea Andaluza,Concepción,5,45.6,62.0,40.0,58.0,50.2,59.8,61.8,48.5,58.0,57.5
Cuenca Mediterránea Andaluza,Concepción,6,42.5,61.0,37.25,54.8,57.25,57.25,59.5,44.0,58.6,54.0
Cuenca Mediterránea Andaluza,Concepción,7,37.0,56.6,32.2,49.0,53.5,52.5,54.4,37.2,54.5,48.5
Cuenca Mediterránea Andaluza,Concepción,8,31.0,50.5,25.5,43.5,47.8,46.6,48.25,30.5,49.0,42.2
Cuenca Mediterránea Andaluza,Concepción,9,25.5,45.5,20.2,38.0,41.25,41.0,43.5,25.5,43.2,36.75
Cuenca Mediterránea Andaluza,Concepción,10,23.6,41.0,18.0,34.75,36.75,35.8,42.4,21.6,38.5,32.75
Cuenca Mediterránea Andaluza,Concepción,11,47.75,37.5,18.75,38.25,34.8,33.75,51.25,19.5,36.75,29.2
Cuenca Mediterránea Andaluza,Concepción,12,54.25,34.0,39.4,38.6,52.75,32.5,54.25,23.0,36.0,26.25
Cuenca Mediterránea Andaluza,Conde Guadalhorce,1,45.2,60.75,44.0,49.25,31.5,32.0,21.6,57.0,45.75,38.0
Cuenca Mediterránea Andaluza,Conde Guadalhorce,2,45.0,62.75,48.5,51.0,31.25,34.75,22.0,58.75,49.0,42.5
Cuenca Mediterránea Andaluza,Conde Guadalhorce,3,45.25,63.75,51.75,53.6,33.0,41.5,39.75,59.25,50.2,45.8
